id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category
14,促進甲狀腺激素(T3/T4)分泌的主要調控激素是？,(A)促腎上腺皮質激素(ACTH),(B)黃體生成激素(LH),(C)促甲狀腺激素(TSH),(D)抗利尿激素(ADH),C,TSH由腦下垂體前葉分泌，作用是促進甲狀腺合成與釋放T3與T4。,甲狀腺的生理學 鄭琮霖
15,甲狀腺功能亢進(Hyperthyroidism)可能引起哪種症狀？,(A)體重增加、心跳變慢,(B)易疲倦、怕冷,(C)血糖降低、皮膚乾燥,(D)心跳加快、食慾增加、體重下降,D,甲狀腺功能亢進的特徵包括活動力增加、對熱耐受性差、多汗、心跳加快、食慾上升但體重下降。,甲狀腺的生理學 鄭琮霖
16,"關於Hypercortisolism (Cushing syndrome)庫興氏症候群的敘述,下列何者為不正確？",(A)最常見造成Cushing syndrome的原因是屬於外因性(Exogenous),(B)腎上腺腺瘤(Adrenal adenoma)造成的Cushing syndrome是屬於ACTH independent,(C)腦下垂體腺瘤(Pituitary adenoma)導致的Cushing syndrome是ACTH dependent,(D)肺小細胞肺癌(Small cell carcinoma)導致的Cushing syndrome是屬於ACTH independent,D,非腦下垂體腫瘤（如肺小細胞肺癌）分泌異位性ACTH造成的Cushing症候群，屬於ACTH dependent。,腎上腺病理學 簡竹君
17,"下列關於Hyperaldosteronism (高醛固酮症)的描述,何者不正確？",(A)最常見的原因是醛固酮分泌腺瘤Aldosterone-producing adenoma,(B)醛固酮分泌腺瘤(Aldosterone-producing adenoma)顯微鏡下可見spironolactone bodies,(C)臨床最常見的症狀為高血壓(Hypertension),(D)會因為低血鉀(Hypokalemia)而出現肌肉無力及感覺異常(paresthesia),A,最常見的原因是Iatrogenic醫源性(給類固醇)，在排除外因後，有70%是由Cushing's disease(腦下垂體腺瘤)造成。,腎上腺疾病:庫欣氏症候群及腎上腺機能不足 李美月
18,"關於腎上腺皮質機能低下症(Adrenocortical insufficiency)的敘述,以下何者不正確？",(A) Waterhouse-Friderichsen syndrome 和急性細菌感染有關,(B)造成 Addison disease 最常見的原因是 Autoimmune adrenalitis,(C)常見臨床表現為低血壓(Hypotension)和低血鉀(Hypokalemia),(D)結核菌感染(Tuberculosis)是可能的原因,C,醛固酮分泌不足會導致高血鉀(Hyperkalemia)、低血鈉與低血壓，因此(C)錯誤。,腎上腺病理學 簡竹君
19,"若發育出可與自身多價抗原產生強烈交聯作用的B細胞,下列何者較不可能是正常情況下其自我耐受性的形成過程？","(A)中央耐受性形成時,此種B細胞可能經過受器編輯,又再經過株落刪除","(B)在骨髓中,此種B細胞會優先進行受器編輯機制改造受器","(C)進入次級淋巴組織時,B細胞在次級免疫反應時為了達到受器的親和力成熟,進行體細胞高度突變,再次產生此種自體反應B細胞","(D)在次級淋巴組織如脾臟中,此種B細胞之免疫球蛋白輕鍊基因進行再次重組,合併之前的重鍊基因,表現新的受器",D,脾臟走周邊耐受性機制。因為周邊RAG基因已經關閉(turn off)，無法再重組，因此只能進行株落刪除(clonal deletion)與凋亡，無法進行受器編輯(Receptor editing)。,內分泌系統的自體免疫調節 陳怡菁
20,"有關 FoxP3 基因的重要性及影響,下列敘述何者正確？","(A)此基因缺損或突變,極可能造成第一型自體免疫多腺症候群(APS-1)疾病的發生","(B)此基因缺損或突變,極可能造成IPEX症候群的發生","(C)此基因的表現,主要是影響之胸腺髓質細胞(mTEC)上的自體組織特異性抗原的表現","(D)此基因的表現,主要在直接影響效應T細胞(effector T cell)受到抗原呈現細胞的共同刺激效果",B,FOXP3基因主要影響CD4+CD25+調節性T細胞(Treg)的功能，缺陷對應到IPEX症候群。APS-1則是AIRE基因缺陷。,內分泌系統的自體免疫調節 陳怡菁
21,"關於第一型糖尿病(type 1 diabetes mellitus)之發生,下列敘述何者正確？","(A)是一種全身性自體免疫疾病,將影響身上許多組織","(B) MHC class II 的HLA基因型表現 HLA-DR2者,較健康正常者易於得到此症","(C)患者能產生自體反應之B細胞及T細胞,免疫病理主要來自自體反應T細胞,自體反應B細胞則是作為抗原呈現細胞之用","(D)患者最主要的免疫病理機制是產生與自體胰島細胞抗原反應之抗體,影響胰島素的製造而致病",C,(A)第一型糖尿病屬於器官特異性自體免疫疾病。(B)HLA-DR2對第一型糖尿病具有保護作用(Protection)，DR3/DR4才是危險基因。(D)主要導致胰島細胞破壞的是CD8+ T細胞的毒殺作用，抗體多為伴隨產物。,內分泌系統的自體免疫調節 陳怡菁
22,"一名BMI34的45歲男性,近期確診為第2型糖尿病,無心血管或腎臟疾病,最合適的第一線口服或注射藥物為？",(A) Metformin,(B) Insulin,(C) GLP-1 agonist,(D) Sulfonylurea,A,Metformin是第2型糖尿病合併肥胖、胰島素阻抗患者的典型第一線首選口服藥物。,口服降血糖藥 李美月
23,哪一類降血糖藥物在腎功能不全患者使用時需特別小心或調整劑量？,(A) Sulfonylureas,(B) DPP-4 抑制劑,(C) Metformin,(D)以上皆是,D,SU類在老人及腎功能不全易蓄積導致低血糖；DPP-4除了Linagliptin外皆需依腎功能調整；Metformin在eGFR<30時禁用。因此三者皆需小心或調整。,口服降血糖藥 李美月
24,下列哪一種口服降血糖藥物最容易造成低血糖？,(A) Metformin,(B) DPP-4 抑制劑,(C) SGLT2 抑制劑,(D) Sulfonylureas,D,"磺醯脲類(Sulfonylureas, SU)因為促進胰島素分泌，是最容易且最嚴重造成低血糖的口服降血糖藥。",口服降血糖藥 李美月
25,"下列關於胰島素在正常生理狀況下的功能,何者正確？",(A)促進肝臟糖質分解(glycogenolysis),(B)抑制脂肪合成(lipogenesis),(C)促進葡萄糖進入肌肉與脂肪細胞,(D)刺激升糖素(glucagon)分泌,C,胰島素能促進葡萄糖進入肌肉與脂肪細胞作為能量、促進脂肪與蛋白質合成、抑制糖原分解、並抑制升糖素分泌。,口服降血糖藥 李美月
26,"病人接受基礎-餐時(basal-bolus) 胰島素治療,下列組合最合理？",(A) NPH + insulin lispro,(B) Insulin glargine + insulin aspart,(C) Insulin detemir + insulin regular,(D) Insulin glargine + insulin NPH,B,Basal-Bolus組合包含長效基礎型（如Glargine/Detemir）與餐前施打的速效型（如Aspart/Lispro）或短效型胰島素。,口服及注射降血糖藥Medications 李美月
27,"65 歲男性,罹患第2型糖尿病10年,近來使用 basal-bolus regimen (insulin glargine + insulin lispro)。早上空腹血糖常高達 190 mg/dL,餐後血糖控制良好, HbA1c 7.8%。下列哪項調整最適合？",(A)增加晚餐後 lispro 劑量,(B)減少早餐前 lispro 劑量,(C)增加 insulin glargine 劑量,(D)改用 premixed insulin,C,速效(Lispro)控制餐後血糖，長效(Glargine)負責控制基礎空腹血糖。空腹血糖高代表基礎劑量不足，應調高長效胰島素劑量。,口服及注射降血糖藥Medications 李美月
28,"ACTH 高且皮質醇低,ACTH 刺激測試反應不足,最可能診斷？",(A)中樞型腎上腺功能不全,(B)藥物造成的類固醇抑制,(C)原發性腎上腺功能不全,(D)假性低皮質醇血症,C,高ACTH伴隨皮質醇低下，且Cosyntropin刺激測試後反應低下(Subnormal)，代表病灶在腎上腺本身，屬於原發性腎上腺功能不全。,腎上腺疾病:庫欣氏症候群及腎上腺機能不足 李美月
29,下列哪一感染與 Addison disease 最相關？,(A)肺炎鏈球菌,(B)肝炎病毒,(C)結核菌感染,(D)巨細胞病毒,C,在慢性原發性腎上腺功能不全(Addison's disease)的感染病因中，結核菌(Tuberculosis)是最為經典且重要的病原體。,腎上腺疾病:庫欣氏症候群及腎上腺機能不足 李美月
30,"慢性 adrenal insufficiency 病患感染導致休克,最適處理方式？",(A)去氧腎上腺素與抗生素,(B) IV hydrocortisone 與生理食鹽水,(C) ACTH 測試後決定治療,(D)注射長效類固醇,B,此為腎上腺危象(Adrenal crisis)引起的休克。應立即給予Hydrocortisone(同時具糖皮質素與部分鹽皮質素作用)並補足生理食鹽水。此時對升壓劑反應差，且不應因做測試而延誤急救。,腎上腺疾病:庫欣氏症候群及腎上腺機能不足 李美月
31,"關於糖尿病患者之營養補充建議,下列何者最適當？","(A)應常規補充維生素與礦物質,以改善血糖控制","(B)補充鉻,或肉桂與蘆薈等草本成分,可作為血糖穩定之建議策略","(C)服用 Metformin者,應定期檢測維生素B12狀態,以預防缺乏","(D)建議例行補充β-胡蘿蔔素,以減少氧化壓力與神經病變風險",C,長期服用Metformin與維生素B12缺乏具有相關性，應定期監測。ADA指南不推薦常規補充微量元素、草本植物或β-胡蘿蔔素來管理血糖。,內分泌營養學 黃孟娟
32,"下列關於糖尿病及肥胖相關之體重管理建議,下列何者最適當？",(A) Prediabetes (糖尿病前期)減少體重至少3-7%有助於降低進展為第2型法,(B) Diabetes (糖尿病)減少體重至少5%以上有助於血糖、血脂及血壓的改善,"(C)對於BMI >=30.0 的肥胖患者,飲食運動調整、藥物治療與代謝手術均可考慮",(D)以上皆是,D,根據指引，糖尿病前期減重3-7%、糖尿病減重>=5%皆能帶來顯著臨床效益；當華人BMI>=30(肥胖)時，飲食、運動、藥物及手術皆為可採行的治療策略。,內分泌營養學 黃孟娟
33,"關於糖尿病病人碳水化合物攝取之衛教與管理,下列何者最適當？","(A)病人可透過碳水化合物總克數監測、六大類食物份數代換或醣類計算指導,來協助血糖控制與自我管理","(B)只要避免甜點與含糖飲料,即無需監測每日總碳水化合物攝取量","(C)水果與全穀類富含膳食纖維,在衛教時可不納入醣類計算","(D)奶類富含乳糖,在衛教時可不納入醣類計算",A,六大類食物中，主食、水果、奶類皆富含醣類會影響血糖，皆必須納入醣類計算(carbohydrate counting)中，不能僅靠避開甜點飲料。,內分泌營養學 黃孟娟
34,"關於核子醫學敘述,何者最不適當？","(A)主要特色是利用示蹤劑的原理,呈現功能性影像",(B)核子醫學甲狀腺掃描可以協助偵測異位性甲狀腺組織,"(C)針對甲狀腺掃描,Pinhole準直儀可以有放大的效果","(D)平面影像即可精準做病灶定位。單光子射出電腦斷層技術(SPECT)收集影像很花時間,實在沒有必要",D,SPECT/CT能夠大幅增進病灶定位的精確度（例如精確定位極微小的parathyroid adenomas），在臨床上非常必要。,內分泌系統的放射免疫分析與核醫影像學 張晉銓
35,"關於RIA和IRMA的比較,何者最不適當？",(A) RIA 中同位素標記抗原;IRMA 中同位素標記抗體,"(B)在IRMA中,標記抗體是過量的,而且不存在競爭性結合複雜的反應,所以反應速度較RIA快","(C) RIA 為非競爭結合,劑量反應曲線為正相關的直線關係;IRMA為競爭抑制,測得的放射線活性與受檢抗原成反比","(D) RIA 應用多株抗體,親和力和特異性要求較高,但用量很少;IRMA中標記抗體和固相抗體用量較多,一般使用來源豐富、特異性較高的單株抗體",C,RIA為競爭結合原理，測得活性與受檢抗原成反比；IRMA為直接結合（非競爭），活性與受檢抗原成正比。選項C的敘述完全顛倒，故不適當。,內分泌系統的放射免疫分析與核醫影像學 張晉銓
36,"副甲狀腺功能亢進症的核醫診斷工具,最常使用哪種示蹤劑？",(A) Tc-99m MDP,(B) Tc-99m Sestamibi,(C) I-123,(D) Ga-68 DOTATATE,B,副甲狀腺的Oxyphil cells富含粒線體，而Tc-99m Sestamibi (MIBI)會特異性附著在粒線體，常用於副甲狀腺亢進病灶之定位。,內分泌系統的放射免疫分析與核醫影像學 張晉銓
37,"關於核子醫學1-123 MIBG 掃描的敘述,何者最為適當？",(A)通常不需要任何藥物前處理,(B)對甲狀腺腫瘤特異性極高,(C)可評估嗜鉻細胞瘤與副神經節瘤(paraganglioma),"(D)半衰期長,主要用於治療而非診斷",C,MIBG是norepinephrine類似物，會被吸收到交感節前細胞質內儲存小泡，可用於評估髓質來源的嗜鉻細胞瘤。術前需給予SSKI(碘片)進行甲狀腺保護阻斷。,內分泌系統的放射免疫分析與核醫影像學 張晉銓
38,"關於 Tc-99m pertechnetate 之甲狀腺造影,何者最為適當？",(A)可反映甲狀腺結節的功能狀態,(B)可被甲狀腺有機化,(C)可以準確估算甲狀腺攝取碘的能力,(D)對兒童具有較高的輻射劑量,A,Tc-99m pertechnetate具有輻射劑量低、計數率高的優點（適合兒童），可反映結節功能狀態，但其缺點為「無法被有機化（not organified）」。,內分泌系統的放射免疫分析與核醫影像學 張晉銓
39,"關於 Graves' disease的敘述,下列何者最為適當？",(A)為甲狀腺低下的常見原因,(B)可在掃描中看到斑塊狀冷結節,(C)通常合併甲狀腺縮小與低 RAIU,"(D)常見於中年人,甲狀腺彌漫性腫大,%RAIU顯著升高",D,Graves' disease為甲狀腺亢進主因，影像特徵為瀰漫性腫大(diffusely enlarged)且%RAIU顯著升高(通常達50%-80%)。,內分泌系統的放射免疫分析與核醫影像學 張晉銓
40,"對於嗜鉻細胞瘤(Pheochromocytoma),下列敘述何者錯誤？",(A)這類病人建議使用離子性顯影劑,(B)病人可能沒有症狀,(C)腫瘤有可能是惡性,(D)磁振造影在正反相位成像(In-Phase/Out-of-Phase Imaging)看不到訊號喪失,A,嗜鉻細胞瘤患者若使用離子性顯影劑(ionic contrast)具有誘發高血壓危象(hypertensive crisis)的風險，因此臨床建議使用非離子性顯影劑(nonionic)。,內分泌疾病的電腦斷層和核磁共振影像學 (骨骼影像學) 蔡欣學
41,下列敘述何者為誤？,"(A)下視丘是間腦的一部分,位於丘腦之下","(B)腦下垂體的微腺瘤(microadenoma),指的是2公分以下","(C)如果下視丘與腦下垂體有懷疑的病灶,顯影的磁振造影檢查是首選",(D)磁振造影可以清楚看到下視丘及腦下垂體的構造,B,在腦下垂體腺瘤中，微腺瘤(microadenoma)定義上指的是直徑小於 1 cm（而不是2公分）。,內分泌疾病的電腦斷層和核磁共振影像學 (骨骼影像學) 蔡欣學
42,下列哪一項疾病可以被下岩樣竇採樣 Inferior petrosal sinus sampling 診斷？,(A)胰島細胞腫瘤 Pancreatic islet cell tumors,(B)腎上腺腺瘤 Adrenal adenoma,(C)嗜鉻細胞瘤 Pheochromocytoma,(D)腦下垂腺腺瘤 Pituitary adenoma,D,下岩樣竇採樣(BIPSS)用來測量腦下垂體激素(ACTH)的輸出量，主要用以鑑別與診斷腦下垂體腺瘤(Cushing's disease)或異位性分泌。,內分泌疾病的電腦斷層和核磁共振影像學 (骨骼影像學) 蔡欣學
43,"下列關於影像診斷學的敘述,何者錯誤？",(A)評估腦下垂體腫瘤不須使用磁振造影 MRI檢查,(B)不同的解剖構造需要不同的影像學檢查,(C)可以提供正確的病灶偵測跟分期,(D)電腦斷層是一個評估腎上腺腫瘤良惡性的好工具,A,針對下視丘、腦下垂體區域的解剖構造與病灶評估，磁振造影(MRI)是臨床首選的檢查工具。,內分泌疾病的電腦斷層和核磁共振影像學 (骨骼影像學) 蔡欣學
44,"下列對於腎上腺腺瘤 adrenal adenoma 的描述,何者錯誤？",(A)通常小於三公分,(B)未打顯影劑的電腦斷層(CT)檢查多呈現大於20HU 的數值,(C)絕對顯影喪失比例(Absolute percentage of enhancement loss)大於50%(或 60%),(D)在正反相位成像大多看到訊號喪失,B,富含脂質的良性腎上腺腺瘤(Adrenal adenoma)，在未施打顯影劑的CT(unenhanced CT)下，衰減值典型上會「小於等於 10 HU」。,內分泌疾病的電腦斷層和核磁共振影像學 (骨骼影像學) 蔡欣學
45,"對於 Multiple endocrine neoplasia (MEN) 1 敘述,何者為真？",(A)第十一對染色體缺失(Chromosome 11 defect),(B)體染色體隱性(Autosomal Recessive),(C)又稱 Sipple Syndrome,"(D)主要症狀為原發性副甲狀腺功能亢進(Primary Hyperparathyroidism)、嗜鉻細胞瘤(Pheochromocytoma)、和甲狀腺髓樣癌(Medullary Thyroid Cancer, MTC)",A,MEN 1 (Wermer syndrome) 屬於體染色體顯性遺傳，由第11對染色體(11q13)缺陷所致。Sipple syndrome指的是MEN 2A。,內分泌疾病的電腦斷層和核磁共振影像學 (骨骼影像學) 蔡欣學
46,下列哪一項影像學特徵不是惡性甲狀腺結節較為常見的超音波影像學發現？,(A)低回音性結節 Hypoechoic nodule.,(B)微細鈣化點 Microcalcifications.,(C)彗星尾巴 Comet tail sign,(D)不規則邊界 Irregular border,C,超音波下出現「彗星尾巴」特徵(Comet tail artifact)是強烈支持為良性結節的影像學發現。,內分泌疾病的電腦斷層和核磁共振影像學 (骨骼影像學) 蔡欣學
47,"對於甲狀腺超音波導引細針穿刺(ultrasound guided fine needle aspiration),下列敘述何者錯誤？",(A)選用超音波探頭7.5-15MHz 比選用2-5 MHz 來的適當,(B)選用細針 18gauge 的針頭是適當的粗細,(C)是一安全且有效診斷甲狀腺惡性結節的檢查,(D)血腫是穿刺後可能發生的併發症,B,細針穿刺(FNA)所選用的適當細針粗細範圍應為 22- to 27-gauge。18-gauge 太粗了。,內分泌疾病的電腦斷層和核磁共振影像學 (骨骼影像學) 蔡欣學
48,"對於內分泌腫瘤的影像學特徵,下列何者錯誤？","(A)甲狀腺腫瘤若有結節內血流 intranodular blood flow,比較有可能是惡性",(B)胰臟的胰島素瘤大多血管豐富 hypervascular,(C)依賴 ACTH 的庫欣症候群 ACTH-dependent Cushing's syndrome 大多數可以看到單側的腎上腺增生 unilateral adrenal hyperplasia,(D)胃泌素瘤 Gastrinoma 通常不位於胰臟的尾部 Pancreatic tail,C,ACTH-dependent庫欣症候群是由於ACTH過量，會同時刺激雙側的腎上腺皮質，因此影像上典型會看到雙側瀰漫性增生(bilateral diffuse hyperplasia)。,內分泌疾病的電腦斷層和核磁共振影像學 (骨骼影像學) 蔡欣學
49,"關於甲狀腺功能異常(Thyroid Dysfunction)的敘述,何者最為正確？",(A)成人甲狀腺功能低下症(Hypothyroidism) 常見突眼(exophthalmos),(B)呆小病(Cretinism)因缺乏甲狀腺素(thyroid hormone)造成智力遲緩與生長遲滯,(C)黏液水腫(Myxedema)為甲狀腺功能亢進(hyperthyroidism) 引起的水腫,(D)大多數甲狀腺功能低下患者血中促甲狀腺激素(TSH)會下降,B,(A)突眼多見於甲狀腺亢進(Graves)。(C)黏液水腫是開發於嬰幼兒之後的成人甲狀腺低下表現(Gull disease)。(D)大多數低下患者因為缺乏回饋抑制，血中TSH會上升。,甲狀腺病理學 許又中
50,"一位年輕女性出現突眼(exophthalmos)、心悸(palpitations)與體重減輕,甲狀腺切片組織學顯示高度增生、濾泡細胞排列呈乳突狀但無毛玻璃狀核。最可能的診斷為？",(A)乳突狀甲狀腺癌 (Papillary thyroid carcinoma),(B)葛雷夫氏病(Graves disease),(C)橋本氏甲狀腺炎(Hashimoto thyroiditis),(D)亞急性甲狀腺炎(Subacute thyroiditis),B,突眼、心悸、體重減輕合併組織學上經典的瀰漫性乳突狀增生(膠質邊緣呈鋸齒抽吸狀)，為Graves disease的典型表現。,甲狀腺病理學 許又中
51,"一位40歲女性因頸部無痛性腫塊就醫,切片病理顯示大量乳突結構，分支明顯且具有纖細的纖維血管核心。最可能診斷為？",(A)濾泡狀癌(Follicular carcinoma),(B)乳突狀甲狀腺癌 (Papillary thyroid carcinoma),(C)髓樣癌(Medullary thyroid carcinoma),(D)葛雷夫氏病(Graves disease),B,頸部無痛性腫塊，組織學上呈現分支發達的Papillary carcinoma結構，對應乳突狀甲狀腺癌。,甲狀腺病理學 許又中
52,"關於下列甲狀腺腫瘤(thyroid neoplasms)與基因突變(genetic mutations)的配對,何者最為正確？",(A) Papillary carcinoma - RET/NTRK rearrangement or BRAF V600E mutation,(B) Medullary carcinoma - PAX8-PPARY fusion gene,(C) Follicular carcinoma - RET mutation,(D) Anaplastic carcinoma commonly shows PSA positivity,A,Papillary甲狀腺癌經典的基因變異包含RET或NTRK的易位融合，以及BRAF點突變(BRAF V600E)。Medullary應配RET mutation；Follicular配PAX8-PPARY fusion。,甲狀腺病理學 許又中
53,"一位60歲男性有高血鈣(hypercalcemia)與低血磷(hypophosphatemia),X光顯示骨質疏鬆。副甲狀腺切片顯示單一病灶,由均一的主細胞(chief cells)組成;無明顯脂肪。最可能診斷為？",(A)副甲狀腺增生(Parathyroid hyperplasia),(B)副甲狀腺癌(Parathyroid carcinoma),(C)副甲狀腺腺瘤(Parathyroid adenoma),(D)髓樣癌(Medullary thyroid carcinoma),C,高血鈣低血磷(副甲狀腺亢進)伴隨單一、邊界清晰的 soft tan nodule，組織學由均一主細胞組成且內部缺乏脂肪，符合副甲狀腺腺瘤特徵。,副甲狀腺病理學 許又中
54,"關於副甲狀腺腺瘤(Parathyroid adenoma)的敘述,下列何者最為正確？","(A)常見多發性病灶,侵犯四個腺體",(B)組織學常見囊膜侵犯(capsular invasion),"(C)通常由主細胞(chief cells) 構成,病灶邊緣可見壓迫正常組織",(D)病灶中脂肪含量明顯高於正常副甲狀腺組織,C,副甲狀腺腺瘤典型以「單一腺體」病變為主，病灶邊緣可見一層被壓迫的正常非新生物副甲狀腺組織(A rim of compressed non-neoplastic tissue)，且內部脂質比正常組織少。,副甲狀腺病理學 許又中
55,對於甲狀腺亢進的描述何者為非？,(A)好發於女性,(B)葛雷夫氏症最常見,(C)好發年齡在超過60歲者,(D)可使用藥物或碘131治療,C,甲狀腺亢進(如Graves' disease)的典型好發發病年齡通常分布在 20 到 40 歲之間，並非以大於60歲為主群。,甲狀腺高能症及低能症 盧介祥
56,對於甲狀腺低下的描述何者為非？,(A)好發於女性年齡在超過60歲者,(B)可能是先天性或與自體免疫疾病有關,(C)可發生於開刀、藥物或碘131治療後,(D)不用治療,D,甲狀腺功能低下必須接受長期的甲狀腺激素替代療法（例如口服 levothyroxine）並常規監測功能，絕非不用治療。,甲狀腺高能症及低能症 盧介祥
57,對於亞臨床症狀甲狀腺低下的描述何者為非？,(A)最常見的原因是橋本氏疾病(Hashimoto's disease).,(B)常見好發於女性.,(C)實驗室檢查可見到TSH和FT4 高.,(D)可能與甲狀腺功能早期衰退有關.,C,亞臨床甲狀腺功能低下(Subclinical hypothyroidism)在實驗室檢查的定義是：血清 TSH 偏高，但是週邊 Free T4 與 T3 濃度完全處在「正常範圍」內。,甲狀腺高能症及低能症 盧介祥
58,下列何種甲狀腺癌最常見？,(A)乳突細胞癌,(B)濾泡細胞癌,(C)髓質細胞癌,(D)未分化細胞癌,A,乳突細胞癌(Papillary cancer)是目前最常見的甲狀腺惡性腫瘤，大約佔了所有病例的 80% 到 85%。,甲狀腺腫及甲狀腺癌 盧介祥
