id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,ai_explanation
11,關於胃腸平滑肌尖波（spike）與收縮的關係，下列何者正確？,尖波去極化主要由鉀離子內流造成,尖波再極化主要由鈣離子外流造成,平滑肌膜電位達間值後產生尖波，通常可引發肌肉收縮,慢波本身一定會造成平滑肌收縮,C,(A)去極化為Ca²⁺內流 (B)再極化為K⁺外流 (D)漫波沒達到spike 就不會收縮,生理學V1-V3 黃炯偉 消化系統生理學,胃腸平滑肌的尖波是由膜電位的去極化引起的，這一過程主要是由鈣離子的內流所驅動。當平滑肌膜電位達到一定的閾值時，尖波的產生會引發肌肉的收縮，這是消化過程中非常重要的一環。尖波的再極化則是由鉀離子的外流所造成。慢波本身並不會直接引起收縮，只有當其達到尖波的閾值時，才會引發收縮。因此，選項C正確地描述了尖波與收縮之間的關係。
12,關於食道蠕動（esophageal peristalsis），下列何者正確？,食道蠕動主要由第七對腦神經顏面神經支配,食道蠕動期間，上食道括約肌與下食道括約肌皆會收縮,吞嚥中樞活化後，迷走神經是食道蠕動的重要調控神經,食道蠕動只發生於橫紋肌區域，平滑肌區域不會發生蠕動,C,(A)為迷走神經 (B)都放鬆 (D)食道整條都會蠕動，因此包含橫紋肌與平滑肌,生理學V1-V3 黃炯偉 消化系統生理學,食道蠕動是由迷走神經調控的，這是吞嚥過程中非常重要的神經機制。當吞嚥中樞被激活時，迷走神經會促進食道的蠕動運動，幫助食物從咽部推送至胃部。食道的蠕動運動涉及到橫紋肌和平滑肌的協同作用，而在蠕動過程中，上食道括約肌和下食道括約肌會放鬆，以便食物能夠順利通過。因此，選項C正確地描述了食道蠕動的調控機制。
13,關於胃蠕動與胃排空（gastric peristalsis and emptying），下列何者正確？,胃的節律產生區主要位於胃竇,胃基本電節律約為每分鐘3-4 次,促胰液素、膽囊收縮素與GIP 會加速胃排空,交感神經活化會促進胃平滑肌收縮,B,(A)Pacemaker 主要位在胃體 (C)均會抑制胃排空 (D)交感神經抑制胃平滑肌,生理學V1-V3 黃炯偉 消化系統生理學,胃的基本電節律（BER）是指胃平滑肌的自發性電活動，通常約為每分鐘3-4次，這一節律主要由胃體的起搏器細胞產生。這些電活動促進胃的蠕動運動，幫助食物的混合與排空。促胰液素、膽囊收縮素和GIP等激素則會抑制胃的排空，因為它們的主要功能是促進消化過程中的其他生理反應，而非加速胃排空。交感神經的活化則會抑制胃平滑肌的收縮，進一步減緩胃的排空。因此，選項B正確地描述了胃的基本電節律。
14,關於小腸分節運動（segmentation）的功能，下列何者正確？,分節運動主要負責快速將食糜推進至直腸,分節運動主要由局部內環平滑肌收缩，使內容物來回混合,分節運動主要發生於禁食狀態，由motilin直接驅動,分節運動會使近端腸段直徑增加，遠端腸段直徑下降,B,(A)推進大腸 (C)分節運動是發生在進食而非禁食 (D)是大腸蠕動，且為近端直徑縮小，遠端直徑上升,生理學V1-V3 黃炯偉 消化系統生理學,小腸的分節運動是一種重要的消化過程，主要由局部的內環平滑肌收縮所驅動，這種運動使得腸道內容物能夠來回混合，促進消化和吸收。與快速推進食糜至直腸的蠕動運動不同，分節運動的主要功能是增加食物與消化酵素的接觸面，從而提高消化效率。分節運動通常在進食狀態下發生，而非禁食狀態，因此選項B正確地描述了分節運動的功能。
15,"關於移行性運動複合波（migrating motor complex, MMC），下列何者正確？",MMC 主要發生在進食後，用於促進營養吸收,MMC 主要發生於禁食狀態，可由胃向遠端迴腸推進,MMC 完全由交感神經控制，與腸神經系統無關,MMC 的產生主要由胃泌素控制,B,MMC 主要發生於禁食狀態，空腹時，胃到迴腸的週期性蠕動,生理學V1-V3 消化道生理學 黃炯瑋,移行性運動複合波（MMC）是一種在禁食狀態下發生的腸道運動，主要功能是清除腸道內的殘留物，並促進腸道的自我清潔。MMC的運動模式是周期性的，通常從胃開始向遠端的迴腸推進，這一過程有助於維持腸道的健康和功能。MMC的產生並不完全依賴於交感神經，而是受到腸神經系統的調控，因此選項B正確地描述了MMC的特性。
16,關於唾液分泌（salivary secretion），下列何者正確？,唾液分泌主要由內分泌激素控制，神經調節較不重要,副交感神經經由顏面神經與舌咽神經促進唾液分泌,交感神經刺激會造成大量稀薄唾液分泌,唾液不含任何消化酵素，因此不參與消化,B,顏面神經與舌咽神經刺激可以增加唾液分泌,生理學V1-V3 消化道生理學 黃炯瑋,唾液分泌的調控主要依賴於神經系統，尤其是副交感神經的作用。副交感神經通過顏面神經和舌咽神經來促進唾液的分泌，這一過程對於食物的初步消化至關重要。交感神經的刺激則會導致唾液的分泌量減少，並且通常是稀薄的唾液。唾液中含有多種消化酵素，如澱粉酶，這使得唾液在消化過程中扮演了重要角色。因此，選項B正確地描述了唾液分泌的調控機制。
17,關於胃腺細胞與分泌物的配對，下列何者正確？,壁細胞分泌胃蛋白酶原與黏液,主細胞分泌胃酸與內因子,類腸嗜鉻細胞分泌組織胺,黏液細胞主要分泌胃泌素,C,"Parietal cell：HCl and Intrinsic factor, Chief cell：Pepsinogen",生理學V1-V3 消化道生理學 黃炯瑋,胃腺細胞的功能各異，壁細胞主要負責分泌胃酸（HCl）和內因子（intrinsic factor），這對於維持胃的酸性環境和維生素B12的吸收至關重要。主細胞則分泌胃蛋白酶原（pepsinogen），這是一種消化酵素的前體。類腸嗜鉻細胞則分泌組織胺，這對於胃酸的分泌有促進作用。黏液細胞主要分泌黏液，並不分泌胃泌素。因此，選項C正確地描述了類腸嗜鉻細胞的功能。
18,關於胰臟分泌（pancreatic secretion），下列何者正確？,胰臟腺泡細胞主要分泌HCO₃⁻，導管上皮細胞主要分泌消化酵素,促胰液素主要促進胰臟導管分泌HCO₃⁻,膽囊收縮素主要抑制胰臟消化酵素分泌,胰臟消化酵素只負責脂肪消化，與蛋白質及醣類無關,B,"Secretin刺激導管分泌HCO₃⁻, CCK刺激胰臟酵素分泌",生理學V1-V3 消化道生理學 黃炯瑋,胰臟的分泌功能非常重要，腺泡細胞主要負責分泌消化酵素，而導管上皮細胞則主要分泌碳酸氫根（HCO₃⁻），這有助於中和進入小腸的胃酸。促胰液素（secretin）是刺激胰臟導管分泌HCO₃⁻的主要激素，而膽囊收縮素（CCK）則主要促進胰臟消化酵素的分泌。因此，選項B正確地描述了胰臟的分泌機制。
19,關於胰蛋白酶活化，下列何者正確？,胰蛋白酶原可由小腸刷狀緣的腸激酶活化為胰蛋白酶,胰蛋白酶原在胃腔內由胃酸直接活化為胰蛋白酶,胰蛋白酶活化後只能分解醣類，不能參與蛋白質消化,胰蛋白酶無法活化其他胰臟酵素原,A,Enterokinase(在小腸刷狀緣)把trypsinogen變成trypsin，trypsin在接下來回去活化其它胰臟酵素原,生理學V1-V3 消化道生理學 黃炯瑋,胰蛋白酶原（trypsinogen）是一種前體，必須經過活化才能發揮其消化功能。這一過程主要在小腸的刷狀緣進行，由腸激酶（enterokinase）將其轉化為活性形式的胰蛋白酶（trypsin）。活化後的胰蛋白酶不僅能夠分解蛋白質，還能進一步活化其他胰臟酵素原，這使得其在消化過程中扮演了關鍵角色。因此，選項A正確地描述了胰蛋白酶的活化過程。
20,關於碳水化合物吸收，下列何者正確？,葡萄糖（glucose）主要經由鈉依賴性葡萄糖共同運輸蛋白1（SGLT1）進入小腸上皮細胞,果糖（fructose）主要經由SGLT1 與Na⁺共同進入小腸上皮細胞,葡萄糖由小腸上皮細胞進入血液側主要依賴CFTR,,A,葡萄糖用SGLT-1 進入小腸上皮，果糖用GLUT5 進入細胞,生理學V1-V3 消化道生理學 黃炯瑋,碳水化合物的吸收是消化生理學中的重要課題。葡萄糖的吸收主要依賴鈉依賴性葡萄糖共同運輸蛋白1（SGLT1），這是一種主動運輸機制，能夠在鈉離子濃度梯度的驅動下將葡萄糖從腸腔轉運至小腸上皮細胞內。相對而言，果糖則主要透過促進擴散的方式進入細胞，這是由GLUT5攜帶的。葡萄糖進入血液的過程則主要依賴於葡萄糖轉運蛋白（GLUT2），而非CFTR。因此，選項A是正確的，因為它準確描述了葡萄糖的吸收過程。
21,有關消化道激素的分泌刺激與負回饋調節，下列何者正確？,腸泌素（Secretin）分泌受胃酸刺激增加，並促進胃酸分泌,胃泌素（Gastrin）分泌受胃蛋白質及pH 上升刺激，分泌後促進胃酸,體抑素（Somatostatin）受胃腔蛋白質刺激而增加分泌，並促進胃酸釋放,膽囊收縮素（CCK）分泌受脂肪及蛋白質刺激，並促進膽囊收縮,D,脂肪、胺基酸進入十二指腸後，會使I cells 分泌CCK 促進膽囊收縮,生理學V1-V3 消化道生理學 黃炯瑋,消化道激素在調節消化過程中扮演著關鍵角色。膽囊收縮素（CCK）是由小腸中的I細胞分泌的，當脂肪和胺基酸進入十二指腸時，這些物質會刺激I細胞釋放CCK，進而促進膽囊的收縮，釋放膽汁以幫助脂肪的消化。相對地，腸泌素和體抑素的功能主要是調節胃酸的分泌，並不直接促進胃酸的分泌。因此，選項D是正確的，因為它準確描述了CCK的作用及其刺激來源。
22,何者不是 portal triad 一部分？,肝靜脈 (hepatic vein),膽管 (bile duct),門靜脈 (portal vein),肝動脈 (hepatic artery),A,解剖的東西，不可能忘記吧,生理學V4 消化系統生理學(III) 黃釧峰,Portal triad是指肝臟內的三個主要結構，包括肝動脈、門靜脈和膽管。肝靜脈則是從肝臟流出血液的血管，並不屬於portal triad的一部分。肝動脈負責供應肝臟的氧血，而門靜脈則負責將來自腸道的營養血液帶入肝臟進行代謝。因此，選項A是正確的答案，因為肝靜脈並不屬於portal triad。
23,臨床上肝臟傷害引起肝功能異常常用的指標酵素AST/ALT 在肝臟主要的功能為？,脂質合成 (lipid synthesis),葡萄糖新生 (gluconeogenesis),胺基酸合成代謝 (amino acid metabolism),解毒 (detoxification),C,共筆p.15。AST（天門冬胺酸轉胺酶，GOT）與 ALT（丙氨酸轉胺酶，GPT）在生物體內屬於轉胺酶（Transaminases），而轉胺酶的核心功能是催化胺基轉移，是胺基酸合成與分解代謝中不可或缺的步驟,生理學V4 消化系統生理學(III) 黃釧峰,AST（天門冬胺酸轉胺酶）和ALT（丙氨酸轉胺酶）是肝臟功能的重要指標酵素，主要參與胺基酸的代謝過程。這些酵素在肝臟中催化胺基轉移反應，對於胺基酸的合成和分解至關重要。當肝臟受損時，這些酵素會釋放到血液中，導致血液中AST和ALT的濃度上升，成為臨床上評估肝功能的指標。因此，選項C是正確的，因為它準確描述了AST和ALT在肝臟中的主要功能。
24,肝臟是人體白蛋白 (albumin) 製造最主要的器官，白蛋白在人體的生理功能不包含哪些？,維持血管滲透壓,攜帶藥物,免疫調節,抗腫瘤新生,D,"共筆p.18,19。常考的記憶題",生理學V4 消化系統生理學(III) 黃釧峰,白蛋白是由肝臟合成的重要蛋白質，主要功能包括維持血管內的膠體滲透壓，攜帶各種物質如藥物和脂肪酸等。然而，白蛋白並不直接參與免疫調節或抗腫瘤新生的過程。選項D提到的抗腫瘤新生並不是白蛋白的功能，因此是正確的答案。白蛋白的缺乏可能導致水腫等臨床問題，但其在免疫系統中的角色並不明確。
25,一位患者因茶色尿(tea color urine)來求診，何者非可能原因？,猛爆性肝炎 (fulminant hepatitis),溶血性貧血 (hemolytic anemia),膽管癌 (cholangiocarcinoma),急性膽囊炎 (acute cholecystitis),B,茶色尿是由於血液中「結合型膽紅素（Conjugated bilirubin）」過高，經由尿液排出（膽紅素尿）所致，而溶血性貧血屬於Unconjugated bilirubin，故不會造成茶色尿,生理學V4 消化系統生理學(III) 黃釧峰,茶色尿的出現通常是由於血液中結合型膽紅素的濃度升高，這通常與肝臟疾病或膽道阻塞有關。猛爆性肝炎、膽管癌和急性膽囊炎都可能導致結合型膽紅素的增加，從而引起茶色尿。然而，溶血性貧血則是由於未結合型膽紅素的增加，這種膽紅素不會通過腎臟排出，因此不會導致茶色尿。因此，選項B是正確的，因為它不符合茶色尿的可能原因。
26,"關於liver enzyme aspartate aminotransferase (AST, GOT)及alanine aminotransferase (ALT, GPT) 以下敘述何者為非？",AST 非肝臟專一酵素,ALT 存在於 cytoplasm 及mitochondrial 中,AST half life 較 ALT 短,急性肝炎早期 ALT > AST,BD 皆對,(B)應更正為AST，ALT 僅存於細胞質之中 (D)急性肝炎早期AST 會比ALT 高,生理學V4 消化系統生理學(III) 黃釧峰,AST和ALT是肝臟功能的重要指標酵素。AST並非肝臟專一性酵素，因為它也存在於心臟和肌肉等其他組織中，而ALT則主要存在於肝臟的細胞質中。AST的半衰期通常較ALT短，這意味著在急性肝炎的早期階段，AST的濃度可能會比ALT高。因此，選項B和D的描述都是正確的，這使得這道題目的答案為BD皆對。
27,何者非反映肝臟傷害引起膽汁鬱積 (cholestasis) 相關的酵素？,Alkaline phosphatase (ALP),Gamma glutamyl transpeptidase (r-GT),5'-nucleotidase,aspartate aminotransferase (AST),D,記憶題，看共筆p.42,生理學V4 消化系統生理學(III) 黃釧峰,膽汁鬱積是指膽汁的流動受阻，通常會導致一些特定酵素的升高，如鹼性磷酸酶（ALP）、伽瑪谷氨酰轉肽酶（r-GT）和5'-核苷酸酶，這些酵素的升高通常反映了肝臟的膽汁排泄功能受損。相對而言，天門冬胺酸轉胺酶（AST）並不特異於膽汁鬱積，因為它也可以因其他肝臟損傷或疾病而升高。因此，選項D是正確的，因為它不反映膽汁鬱積的相關酵素。
28,在離體小腸平滑肌實驗中，若將灌流液完全更換為「無鈣離子（Ca2+-free）」的緩衝液，平滑肌的自發性收縮會迅速停止並舒張至最低點，請問關於此現象的生理機轉，下列敘述何者正確？,缺乏細胞外Ca2+會使間質細胞（ICC）無法產生慢波（Slow waves）,平滑肌收縮主要依賴肌質網（SR）釋放Ca2+，與細胞外Ca2+無關,缺乏細胞外Ca2+導致動作電位期間Ca2+無法內流，進而無法活化肌球蛋白輕鏈激酶 (MLCK),無鈣環境會直接抑制交感神經釋放去甲腎上腺素（Norepinephrine）,C,胃腸道平滑肌的收縮高度依賴細胞外Ca2+的內流，而非(B)所說的由細胞內SR進行鈣離子的釋放,生理學實驗V1 消化系統生理學實驗 鄭琮霖,在平滑肌的收縮過程中，細胞外鈣離子的內流是至關重要的。當灌流液中缺乏鈣離子時，平滑肌的自發性收縮會迅速停止，因為動作電位期間無法獲得足夠的鈣離子來活化肌球蛋白輕鏈激酶（MLCK），這是平滑肌收縮的關鍵酵素。選項C正確地描述了這一生理機轉，強調了細胞外鈣離子在平滑肌收縮中的重要性。
29,胃腸道平滑肌具有自主神經的電位波動，稱為慢波(Slow waves)。在實驗中，即使切斷所有連結小腸的外在神經(Extrinsic nerves)，慢波依然存在。請問慢波的產生源自於消化道壁內的哪一種特殊細胞？其電位變化的核心機轉為何？,黏膜下神經叢(Meissner’s plexus)；交感神經節後纖維釋放去甲腎上腺素,肌間神經叢(Auerbach’s plexus)；副交感神經節後纖維釋放乙醯膽鹼,"卡哈爾氏間質細胞(Interstitial Cells of Cajal, ICC)；細胞膜上起搏離子通道的週期性開啟",,C,可參考M112 生理學共筆P19 有關ICC之介紹；ICC作為pacemaker可產生週期性電位，其電位主要由鈣離子調控，而這種週期性的電位變化稱為Slow waves或Basic electrical rhythm(BER),生理學實驗V2 消化系統生理學實驗 鄭琮霖,慢波是胃腸道平滑肌的自發性電位波動，主要由卡哈爾氏間質細胞（ICC）產生。這些細胞作為起搏器，能夠產生週期性的電位變化，這些變化主要由鈣離子的流入調控。即使在切斷外在神經的情況下，ICC仍能持續產生慢波，這顯示出其在消化道的自主性和重要性。慢波的存在對於平滑肌的收縮和消化過程的調節至關重要，因此選項C是正確的。
30,在消化生理實驗中，常選擇「兔(Rabbit)」或「天竺鼠(Guinea pig)」的離體迴腸(Ileum)作為實驗樣本，而非大白鼠(Rat)的胃。從比較生理學的角度來看，下列何者是選擇小腸(迴腸)作為觀察平滑肌自發性蠕動與藥物反應的最佳理由？,兔的小腸樣本具有發達且規律的自發性節律收縮(慢波與動態蠕動)，且對自律神經藥物敏感度高，利於離體定量分析,兔子的迴腸完全沒有神經分佈，單純反映平滑肌特性,囓齒類動物的胃主要為非腺體胃(Non-glandular stomach)，缺乏平滑肌,,A,兔子的體型適中，便於取樣觀察，且剛取下來的兔腸仍會自己蠕動，代表存在自己的節律系統，與人體腸段調控機制較相似,生理學實驗V3 消化系統生理學實驗 鄭琮霖,在消化生理學的實驗中，選擇兔或天竺鼠的迴腸作為樣本的原因主要在於其平滑肌的自發性蠕動特性。兔的小腸具有良好的自發性節律收縮，這使得它在實驗中能夠提供穩定且可重複的數據。此外，兔子對於自律神經藥物的敏感度較高，這使得研究者能夠更有效地觀察藥物對平滑肌的影響。相比之下，大白鼠的胃並不適合用於此類實驗，因為其生理特性與兔子有顯著差異。這些因素使得兔子成為理想的實驗對象，能夠更好地模擬人體的生理反應。
31,臨床上有一種疾病稱為「重症肌無力(Myasthenia gravis)」，患者因體內產生對抗抗體而導致骨骼肌無力。但在臨床生理實驗中發現，使用抗膽鹼酯酶藥物(Anticholinesterase)治療該疾病時，患者常會伴隨出現腹痛、腹瀉等腸胃道蠕動亢進的副作用。結合本次實驗，請問這可以用下列哪一個理由來解釋？,骨骼肌與腸道平滑肌的乙醯膽鹼受體完全相同，皆為NM 型,抗膽鹼酯酶藥物會抑制ACh 的降解，使突觸間隙的ACh 濃度上升，同時活化了骨骼肌的NM 受體與胃腸平滑肌的M3 受體,該藥物會直接活化交感神經系統，抑制胃腸運動,,B,抗膽鹼酯酶藥物(Anticholinesterase)會抑制乙醯膽鹼酯酶的活性，導致副交感神經末梢釋放的乙醯膽鹼(Ach)無法被及時分解，進而過度刺激腸胃道平滑肌上的蕈毒鹼型受體(M 受體)，引發腸胃蠕動亢進、腹痛與腹瀉等全身性副交感神經亢進的副作用,生理學實驗V4 消化系統生理學實驗 鄭琮霖,重症肌無力是一種由於抗體攻擊神經肌肉接頭的疾病，導致骨骼肌無力。在治療中使用抗膽鹼酯酶藥物可以抑制乙醯膽鹼的降解，從而增加突觸間隙中乙醯膽鹼的濃度。這不僅能夠改善骨骼肌的功能，還會影響腸道平滑肌，因為腸道平滑肌上也有乙醯膽鹼的受體。當乙醯膽鹼濃度上升時，腸道平滑肌的M3受體被過度刺激，導致腸道蠕動亢進，進而引發腹痛和腹瀉等副作用。這一現象顯示了神經系統在調控肌肉活動中的複雜性，並強調了藥物對不同肌肉類型的影響。
32,在控制其他條件不變下，將離體腸道平滑肌的環境溫度由25°C 逐漸提升至接近體溫的35°C。實驗觀察到平滑肌的基礎張力下降，但自發性收縮的頻率與幅度卻比低溫時更具規律與效率。請問25°C 提升至35°C 時，張力與收縮變化的主要生理機轉為何？,溫度升高增加細胞膜對K+的通透性，導致細胞持續過極化,接近正常體溫可提供細胞內代謝酵素(如Na+-K+ ATPase 及各類激酶)最佳活化能，維持正常的電位節律與肌絲滑動,低溫(25°C)會刺激副交感神經末梢釋放大量的乙醯膽鹼,,B,35°C 較25°C 更接近人體正常體溫，接近酵素最佳作用溫度，可維持正常電位節律與肌絲滑動,生理學實驗V5 消化系統生理學實驗 鄭琮霖,在生理學中，溫度對平滑肌的功能有著重要影響。當環境溫度從25°C提升至35°C時，平滑肌的基礎張力下降，但自發性收縮的頻率與幅度卻變得更為規律和有效。這主要是因為接近正常體溫能夠促進細胞內代謝酵素的活性，這些酵素如Na+-K+ ATPase和各類激酶在正常體溫下能夠發揮最佳功能。這樣的變化有助於維持正常的電位節律和肌絲滑動，從而提高平滑肌的收縮效率。這一現象強調了體溫在生理過程中的關鍵角色，並且為實驗設計提供了重要的考量因素。
33,實驗中將平滑肌短暂置於pH=5.0 的極端酸性環境中，平滑肌張力迅速消失。將其洗滌並換回pH=7.4 的正常緩衝液後，發現其收縮功能極難恢復。請問下列何者最可能是造成此「不可逆損傷」的主要原因？,酸性環境活化了乙醯膽鹼酯酶(AChE)，導致ACh 被完全破壞,氫離子(H+)與Ca2+競爭活化肌鈣蛋白(Troponin),酸性環境促使細胞內cGMP 大量堆積，導致持久性舒張,極端pH 值導致細胞膜通道蛋白或細胞內關鍵酵素(如ATPase)發生不可逆的蛋白質變性(Denaturation),D,酸性環境導致的蛋白質變性不可逆，即使將環境換回正常的pH 值，變性的酵素仍無法恢復正常作用,生理學實驗V6 消化系統生理學實驗 鄭琮霖,在生理學實驗中，平滑肌暴露於極端酸性環境(pH=5.0)會導致其張力迅速消失，並且在恢復至正常pH後，收縮功能難以恢復。這種不可逆損傷的主要原因是酸性環境導致的蛋白質變性。當pH值過低時，細胞膜通道蛋白和關鍵酵素如ATPase會發生結構變化，這種變性是不可逆的，無法通過恢復正常pH來修復。這一現象強調了pH值對細胞功能的重要性，並且在實驗設計中必須謹慎考量環境條件，以避免對細胞造成不可逆的損傷。
