id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,teacher,ai_explanation
11,which one is incorrect about the ideal fused position for ankle fusion?,Sagittal plane in 90 degrees,5 degree hind foot valgus,foot in 10 degrees external rotation,talus anterior shift,D,,足踝關節創傷、疾病及重建,黃鵬如,
12,Which one is the absolute contraindication for total ankle replacement?,significant osteoporosis,severe mal-alignment,active infection,talus AVN(avascular necrosis),C,以上兩張分別為絕對與相對禁忌症，ABD皆為相對禁忌症,足踝關節創傷、疾病及重建,黃鵬如,
13,Which of the following is correct:,"The low motor neuron system consists of anterior horn cell, peripheral nerve, neuromuscular junction and muscle",All muscle fibers of one motor unit are of the same fiber type,Calcium ions are not a necessary element for triggering muscle fiber contraction.,Denervation followed by re-innervation would finally result in muscle fiber type grouping.,C,(C)選項錯誤，鈣離子為促使肌肉纖維收縮的必要因素,肌肉疾病,梁文貞,
14,Which of the following is wrong?,"The major items of physical/neurological examinations for neuromuscular diseases include muscle strength, muscle tone and deep tendon reflex",The babies with neuromuscular diseases usually show increased muscle tone (hypertonia),"Except for structural defects of muscle fiber, energy depletion can also cause muscle symptoms including weakness",The patients with neuromuscular diseases can show extra-muscular and extra-neurological manifestations.,B,選錯誤的，答案是： (B) 嬰兒患有神經肌肉疾病通常表現為肌張力增加（hypertonia）為錯誤,肌肉疾病,梁文貞,
15,Which of the following is correct?,"Standing-up from squatting posture mainly involves extension of three joints (ankle, knee and hip)","For the boys with Duchenne muscular dystrophy showing positive Gowers’ sign, the gluteal muscles are usually the first and most severely affected",Myopathic face with high-arched palate is a characteristic feature of congenital myopathy and congenital muscular dystrophy,All above are correct.,D,,肌肉疾病,梁文貞,
16,Which of the following statements about soft tissue injury mechanisms is correct?,"Acute injuries usually develop gradually, with pain appearing months later.",Chronic injuries are typically marked by a strong and short-lived inflammatory response.,"Acute injuries often occur suddenly, are associated with a classic inflammatory reaction, and tend to progress toward resolution.",Chronic injuries usually last less than three weeks and recover quickly.,C,急性傷害： 突然發生，會出現強烈的急性發炎反應，適當處理下，通常會完全恢復。,骨科學復健,曾昱璇,
17,Which of the following best describes a Grade II ligament sprain?,"Negligible structural damage, minimal inflammation, and rapid full recovery.",Partial ligament rupture with significant pain and inflammation; recovery usually within 4–6 weeks but pain may persist for months.,Complete rupture with negligible risk of reinjury and full proprioceptive recovery.,Prolonged healing time without instability or proprioceptive impairment.,B,A 應為Grade 1 C 應為Grade 3 D 有韌帶損傷就會有proprioceptive impairment,骨科學復健,曾昱璇,
18,Which of the following statements about muscle injuries is correct?,"Intramuscular contusions are mild, heal quickly, and rarely cause complications such as myositis ossificans.","Muscular strains usually occur at the musculotendinous junction due to overstretching or peak contraction, especially during eccentric activity.","After an acute strain, full contractile strength is usually restored within one week without long-term limitations.",Delayed-onset muscle soreness typically appears immediately after exercise and is unrelated to eccentric contractions.,B,,骨科學復健,曾昱璇,
19,Which of the following statements about aspirin is correct?,It can be replace colchicine in the treatment of acute gout.,Its antipyretic effect is due to inhibition of hypothalamic PGE₂.,It prevents thrombosis by inhibiting PGI₂ in vascular endothelial cells.,Use of aspirin in adults with influenza increases the risk of Reye’s syndrome.,B,(B) Aspirin是脂溶性的，可穿過 BBB，作用在下視丘，抑制 PGE2的作用，避免體溫上升。,非類固醇抗炎藥物藥理學,陳柏任,
20,Which of the following statements about acetaminophen toxicity is incorrect ?,Taking 30 tablets at once can cause fatal hepatic necrosis.,The antidote for acetaminophen overdose is N-acetylcysteine (NAC).,Increasing oxidized glutathione levels in liver helps detoxification.,Long-term use may lead to chronic nephrotoxicity.,C,(C) Glutathione要達到detoxification的效果必須要是reduced form，如同NAC的作用就是還原glutathione，才可以解Acetaminophen過量的問題，也就是(B)的概念。,非類固醇抗炎藥物藥理學,陳柏任,
21,"Among the following NSAIDs, which shows stronger COX-2 selectivity ?",Ibuprofen ​,Meloxicam ​,Mefenamic acid ​,Indomethacin,B,（A）Ibuprofen：非選擇性，COX-1/COX-2 都抑制。 （B）Meloxicam： COX-2 選擇性（本題最強）。 （C）Mefenamic acid：非選擇性，對 COX-1/COX-2 相近。 （D）Indomethacin：偏 COX-1，胃腸副作用較多。,非類固醇抗炎藥物藥理學,陳柏任,
22,Which of the following is a risk least likely to occur with the use of celecoxib ?,Gastrointestinal ulcer ​,Hypertension ​,Drug interaction with warfarin ​,Thrombosis,A,,非類固醇抗炎藥物藥理學,陳柏任,
23,Which of the following statements about pegloticase is correct ?,It is a recombinant uricase used to inhibit uric acid biosynthesis.,It may cause nephrolithiasis in patients with G6PD deficiency.,It converts uric acid into allantoin and H₂O₂,Intravenous administration requires no special precautions.,C,"(A)​Pegloticase converts uric acid to allantoin, it doesn’t inhibit uric acid biosynthesis. (B)​One of its ADR is nephrolithiasis but it has nothing to do with G6PG deficiency. G6PD deficiency patients are unable to reduce H2O2. (C)​Correct (D)​IV ≥ 2hrs",非類固醇抗炎藥物藥理學,陳柏任,
24,Which of the following statements about drugs used in gout is incorrect ?,Allopurinol carries the risk of Stevens–Johnson syndrome.,Febuxostat is suitable for patients with renal impairment.,Probenecid can be used directly during an acute gout attack.,Colchicine has little effect on uric acid excretion.,C,"C)錯誤。 Probenecid 是一種促尿酸排泄藥物 (uricosuric agent)，屬於「降尿酸藥物」(Urate-Lowering Therapy, ULT)。",非類固醇抗炎藥物藥理學,陳柏任,
25,"Thoracolumbar fractures types, except?",Compression fracture ​,Burst fracture ​,Change fracture ​,Fracture dislocation,C,Chance fracture，非Change fracture。,脊椎疾患,呂衍謀,
26,Common spine disorders not include?,degeneration ​,deformities ​,kyphosis ​,cirrhosis,D,"Cirrhosis 是黃疸, 並非spine disorder, 故選D",脊椎疾患,呂衍謀,
27,A 60 years patient with low back pain and radiography showed a forward slipping of one vertebral body upon the adjacent level is known as?,spondylolisthesis ​,spondylolysis ​,spondylosis ​,spondylitis,A,萬年考古，spondylolisthesis (脊椎滑脫)的定義就是相鄰脊椎的異位。,脊椎疾患,呂衍謀,
28,"If the DAS28 score in patients with rheumatoid arthritis is 3.8, which of the following disease activities is correct?",High ​,Moderate ​,Low ​,Remission,B,,類風濕性關節炎和反覆性風濕症,顏正賢,
29,"According to the 2010 ACR/EULAR Classification Criteria for Rheumatoid Arthritis, which of the following is wrong?","Disease duration = 8 weeks, score= 1","Normal CRP and abnormal ESR, score= 1","Low positive RF and high positive anti-CCP antibody, score= 2",Low positive RF means RF titer ≦ 3 times the upper limit of normal,C,"根據2010準則診斷RA至少要6分，一看關節數、二看抗體、三看 ESR/CRP、四看持續週數；高抗體就 3 分、低抗體 2 分，>6 週才加 1 分。 (A) 病程持續大於等於六週即可得一分，正確。 (B) 只要 CRP 或 ESR 其中一項異常即可給一分，正確。 (C) Low positive RF and high positive anti-CCP antibody, score = 2 → 錯誤​ 當 RF 為低陽性但 anti-CCP 為高陽性時，評分應依最高值給分，因此應為三分，而非二分。這題錯在沒有採取高者分數。 (D) 低陽性定義為抗體濃度小於或等於正常上限三倍，正確。",類風濕性關節炎和反覆性風濕症,顏正賢,
30,Which of the following is not the clinical manifestation of adult-onset Still’s disease?,Leukocytosis,Hepatosplenomegaly,Pleuritis,High titer of anti-nuclear antibody,D,,類風濕性關節炎和反覆性風濕症,顏正賢,"The correct answer is D, as a high titer of anti-nuclear antibody is not a typical clinical manifestation of adult-onset Still's disease, while leukocytosis, hepatosplenomegaly, and pleuritis are commonly observed."
31,Which joint is rarely involved in patients with rheumatoid arthritis?,Wrist,Proximal interphalangeal joint,Distal interphalangeal joint,Metacarpal phalangeal joint,C,RA常侵犯的其中幾種關節：MCP、C-spine、knee、hip 下圖紅圈是評估RA時觀察的關節,類風濕性關節炎和反覆性風濕症,顏正賢,"The correct answer is C, as the distal interphalangeal joint is rarely involved in rheumatoid arthritis, unlike the other joints listed."
32,Which of the following is incorrect in patients with palindromic rheumatism?,Frequent bone erosion,Periarticular inflammation,Mild synovitis,May progress to RA,A,反覆性風濕症和風濕性關節炎不同的是在於其多為關節囊外的症狀，如關節旁發炎、皮下水腫及腱鞘炎等等，也因此較不會造成骨頭的侵蝕。,類風濕性關節炎和反覆性風濕症,顏正賢,"The correct answer is A, as palindromic rheumatism typically does not cause frequent bone erosion, which distinguishes it from rheumatoid arthritis."
33,Which disease should be excluded during the diagnosis of juvenile idiopathic arthritis?,Ankylosing spondylitis,Reactive arthritis,Rheumatoid factor-negative polyarthritis,Psoriatic arthritis,B,如圖所示，診斷juvenile idiopathic arthritis時須要排除Reactive arthritis。,類風濕性關節炎和反覆性風濕症,顏正賢,"The correct answer is B, as reactive arthritis must be excluded when diagnosing juvenile idiopathic arthritis."
34,"For scoliosis occurring above the sixth thoracic vertebra, which type of brace should be used for correction?",Boston brace,Milwaukee brace,Taylor brace,Knight brace,B,Scoliosis的背架可以選用CTLSO或TLSO，主要是依照scoliosis apex位置決定，以T8為界，apex在T8以上的椎節用CTLSO，反之則用TLSO。依題幹敘述apex在T6所以應選用CTLSO，也就是Milwaukee brace,輔助支架及義肢,黃怡靜,"The correct answer is B, as the Milwaukee brace is appropriate for scoliosis with an apex above the sixth thoracic vertebra."
35,"Regarding orthoses commonly used for peripheral nerve injuries, which of the following statements is incorrect?","For cubital tunnel syndrome, a long arm orthosis can be used to fix the elbow at 45 degrees of flexion.","For carpal tunnel syndrome, a wrist cock-up orthosis can be used to fix the wrist at 45 degrees of extension.","In the case of Benediction sign caused by ulnar nerve injury, a figure-of-eight splint can be used to hold the 4th and 5th MCP joints in slight flexion.","For patients with multiple nerve injuries or brachial plexus lesions, an exoskeletal device similar to a prosthesis can be used, utilizing a shoulder harness and scapular movements to generate elbow motion.",B,老師講義上的題目,輔助支架及義肢,黃怡靜,"The correct answer is B, as the wrist cock-up orthosis is typically used to keep the wrist in a neutral position, not at 45 degrees of extension."
36,"Regarding amputation, which of the following statements is the least appropriate?","Amputation refers to a state of limb loss, and can be classified as congenital limb deficiency or acquired amputation.",Congenital limb deficiency occurs more frequently in the lower limbs than in the upper limbs; acquired amputations occur much more often in the upper limbs than in the lower limbs.,"In terms of amputation site, upper limb amputations are mostly caused by trauma, with finger amputations being the most common.","In recent years, due to advances in reconstructive and replantation surgery as well as increased awareness of occupational safety, the proportion of traumatic amputations has gradually declined.",B,此題為 114 國考題。 先天性肢體缺損較常見於上肢。而後天截肢則多發生於下肢，主因是血管疾病。,輔助支架及義肢,黃怡靜,"The correct answer is B, as congenital limb deficiencies are more common in the upper limbs, while acquired amputations are more frequent in the lower limbs."
37,"Mr. Lin is 22-year-old soldier. He serves in the marine corps. He suffered from recurrent anterior uveitis for more than one year. Now he complains of lower back pain when getting out of bed in the morning. And swelling, pain and tenderness of right knee joint results in difficulty in walking. He consults rheumatologist and ankylosing spondylitis was diagnosed. Now what is the most suitable biologic agent for his lumbago with anterior uveitis?",adalimumab,secukinumab,tocilizumab,rituximab,A,要記得anterior uveitis是ankylosing spondylitis的骨頭外症狀，治療可以用TNF-alpha blocker,脊椎關節病變,歐燦騰,"The correct answer is A, as adalimumab is a TNF-alpha blocker suitable for treating ankylosing spondylitis with associated anterior uveitis."
38,Which statement does not belong to the SpA features of ASAS classification criteria for axial spondyloarthropathy?,Age at onset > 40 years,Good response to NSAID (non-steroidal anti-inflammatory drugs) for lumbago,Arthritis of left knee joint and right ankle joint,"Back pain usually happened at night, but improved by taking exercise",A,如表所示，發作年齡小於45歲才正確。,脊椎關節病變,歐燦騰,"The correct answer is A, as the ASAS classification criteria specify that the age at onset should be less than 45 years."
39,Which statement about reactive arthritis is wrong?,Reactive arthritis is usually triggered by gastrointestinal or genitourinary tract infection.,90% of patients have negative HLA-B27 test.,"Reactive arthritis is often self-limiting, can become chronic, and can have both peripheral arthritis and axial spondyloarthritis.",TNF (Tumor Necrosis Factor) Inhibitor is used for treatment of chronic reactive arthritis.,B,根據圖表所示，Reactive arthritis 病人仍有40-80%會HLA-B27(+),脊椎關節病變,歐燦騰,"The correct answer is B, as a significant percentage of patients with reactive arthritis test positive for HLA-B27, contrary to the statement."
40,Which statement about IgG4-related disease (IgG4-RD) is wrong?,"Most patients have elevated serum IgG4 concentrations. When elevated at baseline, the serum IgG4 concentration is a useful biomarker of disease activity.","The hallmark pathology features of IgG4-RD are IgG4+ plasma cell infiltration, storiform fibrosis, obliterative phlebitis and mild to moderate tissue eosinophilia.",B cell-depletion therapy is effective treatment for IgG4-R,Nearly all IgG4-RD patients do not respond to glucocorticoids.,D,,脊椎關節病變,歐燦騰,"The correct answer is D because it states that nearly all IgG4-RD patients do not respond to glucocorticoids, which is incorrect. Many patients do respond to glucocorticoids, making this statement false."
41,Which antibodies about idiopathic inflammatory myopathy should be considered a warning light of an underlying cancer?,anti-TIF1-γ antibody and anti-NXP-2 antibody.,anti-Mi-2 antibody and anti-NXP-2 antibody.,anti-Ku antibody and anti-TIF1-γ antibody,anti-TIF1-γ antibody and anti-SRP antibody,A,,Polymyositis & dermatomyositis及IgG4 相關性疾病,歐燦騰,The correct answer is A because anti-TIF1-γ and anti-NXP-2 antibodies are known to be associated with an increased risk of underlying malignancy in patients with idiopathic inflammatory myopathy.
42,Which antibody is often related to statin associated immune mediated necrotizing myopathy (IMNM)?,anti-HMGCR antibody.,anti-SRP antibody.,anti-MDA5 antibody.,anti-TIF1-γ antibody.,A,,Polymyositis & dermatomyositis及IgG4 相關性疾病,歐燦騰,The correct answer is A because the anti-HMGCR antibody is specifically associated with statin-induced immune-mediated necrotizing myopathy.
43,Mrs. Lin is 56-year-old public servant. She suffered from Raynaud’s phenomenon and reflux esophagitis for years. She consulted rheumatologist and laboratory data showed positive anti-RNA polymerase III antibody. She also has history of hypertension for 6 months. Now what is the most appropriate drug for control of her hypertension?,clonidine,angiotensin-converting enzyme inhibitor,beta-blocker,hydralazine,B,患者有Raynaud’s phenomenon與胃食道逆流，為全身性硬化症的表現，抗RNA polymerase III抗體陽性跟高血壓的情況顯示他還出現了Scleroderma renal crisis，治療首選抑制RAAS的藥物,Sjogren syndrome and systemic sclerosis,歐燦騰,"The correct answer is B because angiotensin-converting enzyme inhibitors are the preferred treatment for hypertension in patients with scleroderma, especially when renal crisis is a concern."
44,Which disease is not one of exclusion criteria of 2016 ACR/EULAR classification criteria for Sjogren’s syndrome?,IgG4 related disease.,sarcoidosis.,acute hepatitis C infection.,Diabetes mellitus.,D,,Sjogren syndrome and systemic sclerosis,歐燦騰,The correct answer is D because diabetes mellitus is not listed as an exclusion criterion for the classification of Sjogren's syndrome according to the 2016 ACR/EULAR criteria.
45,Which antibody is not associated with systemic sclerosis?,anti-centromere antibody.,anti-Scl-70 antibody.,anti-RNA polymerase III antibody.,anti-Jo-1 antibody.,D,"(D)anti-Jo-1 Ab為anti-tRNA synthetase MSA(myositis specific antibody)，比較容易併有pneumonitis, arthritis",Sjogren syndrome and systemic sclerosis,歐燦騰,The correct answer is D because anti-Jo-1 antibody is primarily associated with myositis and is not typically associated with systemic sclerosis.
46,What is the definition of recurrent oral aphthous ulcers at the core diagnostic items of Behcet disease? How many times in a year?,One,Two,Three,Four,C,根據老師上課講義裡面的定義～,血管炎及抗磷症狀群及貝西氏症,吳正欽,The correct answer is C because the definition of recurrent oral aphthous ulcers in Behcet's disease is typically defined as occurring three or more times per year.
47,What is not essential factors for the pathogenesis of ANCA-associated vasculitis?,"1,2","2,3","2,4",5,D,Tissue factor: vessel wall (tissue) and the subsequent tissue damage,血管炎及抗磷症狀群及貝西氏症,吳正欽,The correct answer is D because C1 esterase inhibitors are not considered essential factors in the pathogenesis of ANCA-associated vasculitis.
48,"A 60 y/o female presented with chronic productive cough, hearing impairment and both legs edema for 4-5 months. Chest X-ray disclosed one nodules over right upper lobe. Urinalysis revealed proteinuria at 2+ and hematuria at 40-60 RBC/HPF, and eGFR at 24 ml/min. However, she has normal urine test and eGFR at 95 ml/min last year. There are not history of asthma, diabetes and drug history. What tests does she have to do next?",,,,,,,血管炎及抗磷症狀群及貝西氏症,吳正欽,
49,Which laboratory test receives the highest weight in the 2023 ACR/EULAR APS classification scoring system?,Anti-β2 glycoprotein I IgA,Anticardiolipin IgM,Lupus anticoagulant (LA),Anti-phosphatidylserine-prothrombin antibody,C,Positive LA(single-one time):1分 Positive LA(persistent):5分 anticardiolipin IgM: 1分 答案給的C選項中並沒有說LA是屬於single還是persistent 所以也有可能與anticardiolipin IgM同為最高分,血管炎及抗磷症狀群及貝西氏症,吳正欽,
50,The 2023 ACR/EULAR criteria assign weighted domains. Which two domains must be satisfied to classify APS?,Laboratory + Imaging,Clinical + Immunologic,Clinical + Laboratory,Serologic + Genetic,C,APS診斷標準必須同時符合臨床與實驗室標準,血管炎及抗磷症狀群及貝西氏症,吳正欽,
51,Which cell type is directly activated by ANCAs to cause vascular injury?,Macrophages,CD8⁺ T cells,Neutrophils,Endothelial cells,C,,血管炎及抗磷症狀群及貝西氏症,吳正欽,
52,"A 60 Y/O female, has been menopause for 10 years. She has presented with arthritis over both DIPs for 15 years, associated with morning stiffness for around 30 minutes. Blood test revealed negative at RF, ANA, also anti-CCP, ESR at 35 mm/hr (Normal < 20), CRP at 0.5 mg/L( Normal: < 5mg/L), no proteinuria, normal liver and kidney function. What is the most possible diagnosis for this woman?",Rheumatoid arthritis,Gout,Osteoarthritis,Septic arthritis,C,"(C)Osteoarthritis有幾個特徵：關節炎於多指節尤其是在DIP joints, ESR＆CRP正常或是略微增加, morning stiffness約莫落在20~30 min，可以和RA作比較",風濕免疫學之臨床剖析,吳正欽,
53,"A 40 Y/O male has presented with episodic lower back pain which persisted 1-3 days duration. The blood test is positive HLA-B27, but normal values at ESR, CRP, RF, anti-CCP and ANA. X-ray of KUB revealed unilateral Grade II sacroiliitis. He also has a history of sausage toes over the right 2nd digit of foot. PE showing an erythematous plaque with scaling over his bilateral ear back. The most possible diagnosis of her is?",Rheumatoid arthritis,Ankylosing spondylitis,Psoriatic arthritis,Exercise-related physical trauma,C,看到 positive HLA-B27就要懷疑是脊椎關節炎了，而答案是 (C) Psoriatic arthritis 乾癬性關節炎而非 (B) Ankylosing spondylitis 僵直性脊椎炎 推測是因為僵直性脊椎炎有一判定標準為「後背下側痛或僵直超過3個月」；而我們的病患僅痛1-3天，再加上其雙邊耳後出現紅色脫屑性斑塊。,風濕免疫學之臨床剖析,吳正欽,
54,What is the reliable imaging tool which is sensitive and non-expensive for Musculo-skeleton systems?,Ultrasonic imaging,X-ray,Computerized tomography( CT),MRI,A,●​ 超音波是風濕科愛用的影像學檢查工具，雖然解析度較低，但便宜、且可初步判斷病灶位置 ●​ M110考過：對於骨關節的影像，超音波是目前最重要且敏感的檢查工具,風濕免疫學之臨床剖析,吳正欽,
55,"In a patient standing on one leg, the force transmitted across the hip joint is approximately:",Equal to body weight,1.5 times body weight,2–3 times body weight,5–7 times body weight,C,"根據經典的生物力學研究（Maquet, Biomechanics of the Hip, 1985），在單腳站立時： ●​ 髖關節所受的反作用力（joint reactive force）約為 2–3 倍體重。",髖關節創傷、疾病及重建,李忠祐,
56,Which of the following is a common deformity seen in posterior hip dislocation?,"Flexion, abduction, external rotation","Flexion, adduction, internal rotation","Extension, abduction, internal rotation","Extension, adduction, external rotation",B,,髖關節創傷、疾病及重建,李忠祐,
57,Which artery provides the major blood supply to the femoral head?,Medial circumflex femoral artery,Lateral circumflex femoral artery,Obturator artery,Deep femoral artery,A,,髖關節創傷、疾病及重建,李忠祐,
58,Which is correct about antibody tests in rheumatic diseases?,anti-La and myositis,anti-SSA and lupus nephritis,HLA-B27 and rheumatoid arthritis,PR3-ANCA and granulomatosis with polyangiitis,D,"(A) anti-La (SSB) → ​Sjogren’s syndrome (50%), 15% SLE; anti-PM-1→myositis; anti-Jo1→myositis with pneumonitis, arthritis (B) anti-Ro (SSA) → Sjogren’s syndrome ( 60%), SCLE, neonatal lupus(congenital heart block); anti-Sm → SLE (C) HLA-B27 →ankylosing spondylitis; (D) 正確",免疫風溼學實驗室檢查,曾家駿,
59,Which is wrong about antibody association with autoimmune diseases?,rheumatoid factor and ankylosing spondylitis,anti-Jo-1 and myositis,anti-Sm and SLE,ACPA and rheumatoid arthritis,A,(A) 錯誤。應該是 HLA-B27 and Ankylosing spondylitis; Rheumatoid factor (RF) and Rheumatoid arthritis (RA),免疫風溼學實驗室檢查,曾家駿,
60,"Mr Wu is a case of alcoholism. Left knee swelling was noted since last night, and he visited your clinic for help. Synovial fund analysis showed needle-shaped negative birefringent crystal. Which is the diagnosis?",gout,pseudogout,ANCA-associated vasculitis,myositis,A,Gout，也就是痛風，的結晶是 monosodium urate（尿酸單鈉），而Paeudogout，假性痛風，的結晶為 calcium pyrophosphate（焦磷酸鈣）。 尿酸單鈉在顯微鏡底下看到的是針狀，且是負偏光的，假性痛風的結晶焦磷酸鈣則會被觀察到是菱形長方形的形狀，帶正偏光。,免疫風溼學實驗室檢查,曾家駿,
61,Which is Impinged rotator cuff lesion:,supraspinatus,Infraspinatus,teres minor,subscapularis,A,講義中沒有明確的單一頁面列出所有旋轉肌群中最常被撞擊的是哪一條，但多個頁面提到了棘上肌 (Supraspinatus) 與撞擊的解剖和病理相關性(只能先記起來，因為是老師常考的考古題~上課也會強調)： P39.在描述肩部磨損 (Shoulder Wear and Tear) 的圖示中，旋轉肌群包括棘上肌 (Supraspinatus m.)、棘下肌 (Infraspinatus m.) 和肩胛下肌 (Subscapularis m.). P 51.在描述撞擊症候群 (Impingement Syndrome) 的頁面，其機制是大結節 (Greater Tuberosity) 撞擊到肩峰 (Acromion) 。這個空間（肩峰下空間）正是棘上肌腱通過的地方。,冷凍肩及撞擊肩症候群/不穩性肩關節,陳勝凱,
62,The common direction of shoulder instability is,ant.,post.,inf.,multiple directions,A,正確答案(A) 前方 (anterior) dislocation 解釋： ●​ 肩關節不穩定最常見的方向是前方，佔多數的外傷性肩關節脫臼。 ●​ 後方脫臼較少見，常與癲癇發作或電擊有關。 ●​ 下方脫臼（俗稱 “直立脫臼”）非常罕見。 ●​ 多方向不穩定通常出現在有韌帶鬆弛的年輕患者，但發生率低於前方不穩定。,冷凍肩及撞擊肩症候群/不穩性肩關節,陳勝凱,
