id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,teacher,ai_explanation
20,Which statement best describes primary bone healing?,It involves the formation of a callus.,It requires absolute stability and direct remodeling.,It relies on relative stability and indirect healing.,It predominantly involves endochondral ossification.,B,Primary 癒合為骨頭自己長回去，不依靠軟骨內骨化，靠的是膜內骨化不長Callus 要求比較嚴格，所以必須要Absolute Stability。答案選B 基礎定義很重要,骨折的生物力學及癒合,劉文智,
21,What is the key difference between absolute stability and relative stability in fracture treatment?,"Absolute stability allows for callus formation, while relative stability does not.","Absolute stability is achieved through flexible fixation methods, while relative stability is not.","Absolute stability involves no motion at the fracture site, while relative stability allows for some mechanical stimulation.","Absolute stability leads to primary healing, while relative stability leads to delayed healing.",C,,骨折的生物力學及癒合,劉文智,
22,Which of the following statements about finger anatomy is correct?,"Compared to the proper digital nerve, the proper digital artery is located on the palmar side of the finger.",The triangular ligament prevents volar subluxation of the lateral band during proximal interphalangeal joint (PIPJ) flexion.,The dorsal interossei muscles are responsible for abducting the index and ring fingers.,The sagittal band facilitates P2 extension while the PIPJ is hyperextended.,B,,手部、腕部骨科功能解剖學,劉文智,
23,Which extrinsic ligament of the wrist prevents volar subluxation of the carpus?,Short radiolunate ligament,Deltoid ligament,Radioscaphocapitate ligament,Dorsal radiocarpal ligament,A,SRL resist collar translation,手部、腕部骨科功能解剖學,劉文智,
24,Which of the following statements about wrist anatomy is correct?,The superficial portion of the Triangular fibrocartilage complex (TFCC) attaches to the fovea of the ulnar head.,Extensor capri ulnaris (ECU) tendon sheath is the key intrinsic stabilizer of the distal radioulnar joint(DRUJ),The deep portion of the TFCC attaches to the ulnar styloid.,The forearm rotation axis is defined by the line connecting the radial head to the radial styloid.,D,(A)(C) superficial portion 是連接到 ulnar syloid，deep portion 才是連接到 fovea (B) ECU 是 extrinsic stabilizer (D) forearm rotation axis 是從 radial head 到 ulnar fovea,手部、腕部骨科功能解剖學,劉文智,
25,"About spondylolisthesis, which one is wrong for the cause of its type?",Degenerative changes in the facet joints <-> dysplastic,Fracture of the neural arch in the pars articularis <-> iatrogenic,Excessive removal of bone following spinal decompression <-> traumatic,Weakening of the neural arch due to disorders of the bone<->pathological,D,C 的敘述應是Iatrogenic 等申覆~~,脊椎創傷及重建,卓進益,
26,Which one below is wrong?,"anterior wedge fracture with rupture of the inter and supra-spinous ligaments is stable, because the middle column is intact",simple anterior wedge fracture or just sprain of the posterior ligaments is a also a stable injury,Angulation greater than 20 degrees and translation of 3.5 mm or more is a stable condition,"A burst fracture over anterior and middle column is absolutely stable, because at least the posterior column is intact",B,"(A)(C)(D)應該都是錯的，再看看申覆後的結果 (A) 前楔形骨折合併棘間韌帶斷裂是不穩定的,因為前後柱都受損。 (B) 正確 (C) 角度大於20度和滑脫大於3.5mm代表不穩定。 (D) burst fracture是不穩定的,因為至少前柱和中柱受損。",脊椎創傷及重建,卓進益,
27,Which one below is right?,A chance fracture is a three column injury with a vertical orientation of the fracture,"if there is no neurological symptoms with relatively stable spine column, even for the burst fracture, conservative non-surgical care is considerable.","Osteomyelitis, discitis, or active systemic infection are not suitable for cementoplasty",For upper thorasic spine ( T1-T8): Axial loading will tend to result in compressive forces injury anteriorly and tensile force disruption posteriorly,A,(A) A chance fracture is a three-column injury with a vertical orientation of the fracture - 錯誤 (Incorrect) - 原因：Chance fracture 主要是一種橫向的損傷（horizontal injury），它發生在高能量的屈曲-牽引（flexion-distraction）機制下 (前柱flexion、後柱distraction)。它的典型表現是通過椎體的後柱（posterior elements）、椎體中柱（middle column）及前柱（anterior column）的損傷，因此屬於三柱損傷（three-column injury）。但其斷裂方式通常是水平裂縫（horizontal fracture）而非垂直裂縫。,脊椎創傷及重建,卓進益,
28,Which joint is frequently involved in patients with rheumatoid arthritis?,T-spine,L-spine,Distal inter-phalangeal joint,Metacarpal phalangeal joint,D,"選項(A)(B)(C)都是RA比較不常侵犯的關節區域，而(D)的Metacarpal phalangeal joint以及C-spine, Hip joint, Knee joint, Ankle才是RA較常侵犯的位置，建議可以直接根據下方的圖片來記憶。",類風濕性關節炎和反覆性風濕症,顏正賢,
29,The DAS28 is 2.8 in a patient with rheumatoid arthritis. What disease activity does this patient have?,High,Moderate,Low,Remission,C,Remission : <2.6 Low : 2.6~3.2 Moderate : 3.2~5.1 High : >5.1,類風濕性關節炎和反覆性風濕症,顏正賢,
30,Which of the following is incorrect in patients with palindromic rheumatism?,Periarticular inflammation,Always normal ESR and CRP,May progress to RA,No residual disability,B,(B)發作時ESR和CRP可能會些微升高,類風濕性關節炎和反覆性風濕症,顏正賢,
31,Which one should be excluded when diagnosing juvenile idiopathic arthritis?,Extended oligoarthritis,RF-positive polyarthritis,Reactive arthritis,Still’s disease,C,青少年特異性關節炎不包含 (D) Reactive arthritis,少年特異性關節炎及成人史迪爾氏病,顏正賢,
32,What is the most common onset age in patients with RF-positive polyarticular juvenile idiopathic arthritis?,2-3 years,10-11 years,14-15 years,>16 years,A,如圖所示，各種JIA在2-3歲時oneset達到高峰,少年特異性關節炎及成人史迪爾氏病,顏正賢,
33,Which is not the clinical manifestation of adult-onset Still’s disease?,Maculopapular rash,High ANA titer,Pericarditis,Leukocytosis,B,如圖，應為low ANA liter。,少年特異性關節炎及成人史迪爾氏病,顏正賢,
34,"According to the Figure, which kind of the spinal orthosis is the best option for this scoliosis patient?",Milwaukee orthosis,Knight brace,CASH orthosis,Four-poster collar brace,A,Milwaukee 是從頭固定到尾的 CTLSO 輔具，脊椎側彎最彎曲的角度應高於T8，因此適合此案例使用。,輔助支架及義肢,黃怡靜,
35,Which of the following item is a pressure-intolerance area for transtibial amputation patient?,Patellar tendon,Fibular head,Femoral condyle,Posterior compartment,B,"Avoid pressure on pressure-intolerant area 很尖銳的骨頭(如 tibial crest, hamstring tendons, fibular head)/有很多神經通過這些地方不能承重，不能對這些解剖區域施加壓力。",輔助支架及義肢,黃怡靜,
36,The success of prosthetic fitting and training is influenced by multiple factors. Which of the following is not considered a negative factor for prosthetic fitting?,Higher levels of limb amputation,Age under 60 years old (＜60 years old),Dementia or cognitive disorders,Delay in wound healing,B,年齡小於60並不是risk factor，因此選這個答案。,輔助支架及義肢,黃怡靜,
37,Which statement does not belong to the criteria of ASAS inflammatory back pain?,age at onset < 50 years,insidious onset,improvement with exercise,back pain at night,A,age at onset < 40 years,脊椎關節病變,歐燦騰,
38,Which statement about non-radiographic spondyloarthropathy is wrong?,MRI (Magnetic Resonance Imaging ) reveals bilateral sacroiliitis.,Most patients have negative HLA-B27 test.,NSAID (non-steroidal anti-inflammatory drugs) Is usually effective for back pain.,TNF (Tumor Necrosis Factor) Inhibitor is the best treatment for non-radiographic spondyloarthropathy.,B,(B)應改為HLA-B27(+),脊椎關節病變,歐燦騰,
39,Miss Wang is 30-year-old teacher. She had history of recurrent anterior uveitis for more than 5 years. She also suffered from lower back pain for one year and eats non-steroidal anti-inflammatory drug. What is the most suitable biologic agent for her lumbago with anterior uveitis?,etanercept,secukinumab,tocilizumab,adalimumab,D,anterior uveitis是僵直性脊椎炎常見的骨頭外症狀，可TNF-alpha blocker治療。,脊椎關節病變,歐燦騰,
40,Which autoantibody should be considered warning lights of a potential tumor autoantigen and should alert the physician to the possibility of an underlying cancer?,anti-TIF1-γ autoantibody.,anti-Mi-2 autoantibody.,anti-Scl-70 autoantibody.,anti-SRP autoantibody.,A,,皮肌炎及硬皮症及IgG4相關性疾病,歐燦騰,
41,Which autoantibody-positive dermatomyositis is a subtype of dermatomyositis with a poor prognosis that typically presents as skin manifestations and rapidly progressive interstitial lung disease?,anti-MDA5 autoantibody.,anti-SRP autoantibody.,anti-Mi-2 autoantibody.,anti-TIF1-γ autoantibody.,A,,皮肌炎及硬皮症及IgG4相關性疾病,歐燦騰,
42,Which statement about IgG4-related disease (IgG4-RD) is wrong?,IgG4-RD is an insidiously progressive immune-mediated fibrotic disease typified by tumor-like mass formation in many affected organs.,"High serum IgG4 concentrations or increased numbers of IgG4+ plasma cells in tissue must be paired with appropriate clinical, histopathological and (often) radiological information for a diagnosis of IgG4-RD.","CD4+ cytotoxic T lymphocytes (CTLs) dominate the immune cell infiltrate in IgG4-RD and decline after B cell-targeted therapy, suggesting that B cells present antigen to and thereby activate CD4+ CTLs.",B cell-depletion therapy is not effective treatment for IgG4-RD.,D,(D)rituximab為B-cell depletion之藥物,皮肌炎及硬皮症及IgG4相關性疾病,歐燦騰,
43,What is the most appropriate drug of choice for scleroderma renal crisis?,corticosteroid,angiotensin-converting enzyme inhibitor,beta-blocker,hydralazine,B,硬皮症導致的腎危象會加劇高血壓和/或快速進行性腎衰竭，首選藥物為ACEI(angiotensin-converting enzyme inhibitor)。,修格連氏症及全身性硬化症(硬皮症),歐燦騰,
44,Which statement about patients with Sjogren’s syndrome and type I distal renal tubular acidosis is wrong?,"Impairment in hydrogen ion secretion in the distal tubule, resulting in a persistently high urine pH (>5.5) and systemic acidosis.",Plasma bicarbonate is frequently < 15 mEq/L (15 mmol/L).,hypokalemia resulted in muscle weakness.,hypocalciuria resulted in hypercalcemia.,D,Sjogren’s syndrome在腎臟方面最主要會引起Type I distal renal tubular acidosis，會導致Hypokalemia(造成肌肉無力)和尿液大量排出鈣離子(Hypercalciuria)，若大量鈣離子大量沉積在腎臟會引起Nephrocalcinosis；另外有些病人會有Interstitial nephritis。,修格連氏症及全身性硬化症(硬皮症),歐燦騰,"The correct answer is D because hypocalciuria does not lead to hypercalcemia; rather, it is hypercalciuria that can lead to hypercalcemia. The other statements are consistent with the effects of Sjogren’s syndrome and type I distal renal tubular acidosis."
45,Which autoantibody is associated with limited scleroderma?,anti-centromere autoantibody.,anti-Scl-70 autoantibody.,anti-RNA polymerase III autoantibody.,anti-Jo-1 autoantibody.,A,"Limited SSc相關的自體抗體有：anti-centromere, anti-7-2RNP及anti-mitochondrial。",修格連氏症及全身性硬化症(硬皮症),歐燦騰,"The correct answer is A because the anti-centromere autoantibody is specifically associated with limited scleroderma, while the other autoantibodies are associated with different forms of scleroderma or other conditions."
46,"A 45 Y/O female has presented with polyarthritis over both DIPs since 10 months ago. Associated with morning stiffness over both hands which was less than half an hour duration. The lab. test revealed negative anti-CCP and Rheumatoid factor, normal ESR at 18 mm/hr ( N: < 20 mm) , and CRP at 0.5 mg/L, No proteinuria, normal other organ system, What is the most likely diagnosis?",Rheumatoid arthritis,Gout,Osteoarthritis,Septic arthritis,C,"(A) 8成RA患者RF 或 anti-CCP 會呈陽性反應​ (B)特徵有很多 如 : 單一關節且下肢為主或是血液中高尿酸等等​ (C)OA晨僵時間20-30分 , RA晨僵時間則會持續幾小時​ (D)不符合題目描述",風濕免疫學之臨床剖析,吳正欽,"The correct answer is C because the symptoms and lab results are consistent with osteoarthritis, characterized by brief morning stiffness and negative tests for rheumatoid arthritis."
47,"A 35 Y/O female has usually complained lower back pain and plantar pain since 5-6 years ago. The lab. at HLA-B27 was positive, ESR & CRP was within normal limit. Her RF, anti-CCP, and ANA were also negative, X-ray of KUB revealed grade III sacroiliitis. Her inmate mother is a case of atopic dermatitis. What is most likely diagnosis of her disease?",Rheumatoid arthritis,Systemic lupus erythematosus,Ankylosing spondylitis,Sports injury,C,"RF & anti-CCP negative → not Rheumatoid arthritis, ANA negative → not Systemic lupus erythematosus, HLA-B27 positive → Ankylosing spondylitis",風濕免疫學之臨床剖析,吳正欽,"The correct answer is C because the positive HLA-B27 and the presence of sacroiliitis are indicative of ankylosing spondylitis, while the other options do not fit the clinical picture."
48,What will you collect information about his joints when a patient present to you with a complaint of joint pain or swelling?,1. Involved joint numbness 2. Swelling or not 3. Duration 4. Prior history 5. Clinical profile 6. Family history 7. Social status 8. Salary income,"6,6","6,8",7,A,臨床問診第一步驟：病史詢問及理學檢查,風濕免疫學之臨床剖析,吳正欽,"The correct answer is A because collecting comprehensive information about the patient's joints, including symptoms and history, is essential for accurate diagnosis."
49,What is the definition of recurrent oral aphthous ulcers? How many times in a year?,One,Two,Three,Four,C,,血管炎及抗磷症狀群及貝西氏症,吳正欽,The correct answer is C because recurrent oral aphthous ulcers are defined as occurring three or more times a year.
50,What is not essential factors for the pathogenesis of ANCA- associated vasculitis?,Neutrophil,C5,ANCA,Tissue factors,C,無C1 esterase inhibitors,血管炎及抗磷症狀群及貝西氏症,吳正欽,"The correct answer is C, as C1 esterase inhibitors are not essential factors for the pathogenesis of ANCA-associated vasculitis. The other options, such as neutrophils, C5, and ANCA, are known to play significant roles in this condition."
51,"A 60 y/o female presented with chronic cough, hearing impairment and both legs edema for 6-7 months. Chest X-ray disclosed one nodules over right upper lobe. Urinalysis revealed proteinuria at 2+ and hematuria at 40-60 RBC/HPF, and eGFR at 24 ml/min. However, she has normal urine test and eGFR at 95 ml/min last year. There are not history of asthma, diabetes and drug history. What tests does she have to do next?","IgG, IgA, IgM",C3,C4,ANA,A,"1: IgG,IgA, IgM: 免疫疾病 2,3,5 :出現神經異常、腎病變SLE是全身的免疫性疾病 而C3,C4, Anti-ds DNA可以協助做鑑別診斷",血管炎及抗磷症狀群及貝西氏症,吳正欽,"The correct answer is A, as the tests IgG, IgA, IgM, C3, C4, Anti-ds DNA, and ANCA are necessary to evaluate the patient's condition, which may involve autoimmune diseases and help in differential diagnosis."
52,"In recent studies, the pathogenesis of antiphospholipid syndrome concerned with complement pathway activation via the production of C5a and C5b6789, where in turn upregulate the expression of which factors that come to thrombosis?",Tissue factor,Prekallikrein,Factor XII,Prothrombin,A,C5a、C5b-9 可以結合在內皮細胞或是嗜中性球，造成 tissue factor 的表現而引發血栓的形成。,血管炎及抗磷症狀群及貝西氏症,吳正欽,"The correct answer is A, as the activation of the complement pathway leads to the upregulation of tissue factor, which is crucial for thrombosis in antiphospholipid syndrome."
53,Polyarteritis nodosa Eosinophil,"1,5","2,4","1,2,3","5,6",C,"1,2,3屬於immune complex mediated 4屬於ANCA-Associated 5屬於大血管炎 6屬於中型血管炎",血管炎及抗磷症候群及貝西氏症,吳正欽,
54,"Which subtype of ANCA vasculitis is associated with or complicated with asthma, mononeuritis multiplex and hyper-eosinophila?",MPA,GPA,EGPA,Double positive ANA( ANCA and Anti-GBM positive),C,由M109共筆可知，EGPA的特徵包含eosinophilic infiltration，且通常伴隨氣喘。,血管炎及抗磷症候群及貝西氏症,吳正欽,
55,"Trendelenburg gait is a type of gait caused by weakness of the abductor muscles. Based on this, which nerve injury is most likely to cause this gait?",Superior gluteal nerve,Inferior gluteal nerve,Sciatic nerve,Obturator nerve,A,Trendelenburg gait 與臀中肌無力有關，又其為Superior gluteal n.所支配,髖膝功能解剖,李忠祐,
56,"Regarding structures that maintain hip joint stability, which of the following is incorrect?","The hip joint is a ball and socket joint; however, the femur head is larger than the acetabulum socket.","The ischiofemoral ligament located at the anterior side primarily prevents excessive internal rotation of the hip during FADIR (flexion, adduction, internal rotation).","The pubofemoral ligament located at the anterior side mainly prevents excessive external rotation of the hip, especially during hip extension.",The iliofemoral ligament located at the anterior side mainly functions to prevent excessive external rotation during hip flexion and excessive internal rotation during hip extension.,B,"(B)錯誤。應改為The ischiofemoral ligament located at the posterior side primarily prevents excessive internal rotation of the hip during FADIR (flexion, adduction, internal rotation).",髖膝功能解剖,李忠祐,
57,"Regarding knee joint kinematics, which of the following is correct?",The posteromedial (PM) bundle of the ACL is the most important structure for maintaining rotational stability.,Both the ACL and PCL are intrasynovial structures.,"During knee joint movement, the tibiofemoral contact point shifts posteriorly from knee extension to flexion, a phenomenon known as the rollback mechanism, which plays a crucial role in increasing the range of motion in deep flexion.","During the last 20 degrees of movement from knee flexion to full extension, the tibia rotates internally relative to the femur, enhancing stability during standing. This phenomenon is called the screw home mechanism.",C,"(A)應為PL bundle (B)都是extrasynovial but intracapsular (D)internally rotate到externally rotate向外旋轉至鎖定,在full extension達到最大穩定度.",髖膝功能解剖,李忠祐,
58,Which of the following is not the main structures in X-ray Wrist carpal tunnel view?,Hook of Hamate,Capitate,Metacarpal,Scaphoid,C,"在Carpel tunnel view中比較能看到：trapezium, scaphoid, capitate, hamate,pisiform",肌肉骨骼影像解剖學-上肢,林育全,
59,"According to YCL method (CNRMT) interpreting a skeletal radiograph, which of the following belongs to Category (C)?",A calcified lesion over greater tubercle in X-ray Shoulder AP view,Dislocated radius and ulna in X-ray Elbow lateral view,An over-bowing radius in X-ray Forearm AP view,Additional middle phalanx and distal phalanx in X-ray Hand AP view,A,(A) X-ray Shoulder AP view 中在 Greater tubercl 處看到 calcification：Category,肌肉骨骼影像解剖學-上肢,林育全,
60,"According to YCL method (CNRMT) interpreting a skeletal radiograph, which of the following belongs to Number (N)?",A calcified lesion over greater tubercle in X-ray Shoulder AP view,Dislocated radius and ulna in X-ray Elbow lateral view,An over-bowing radius in X-ray Forearm AP view,Additional middle phalanx and distal phalanx in X-ray Hand AP view,D,(D):number:看某種骨頭數量有沒有問題,肌肉骨骼影像解剖學-上肢,林育全,
61,Frozen shoulder at phase 2 is,severe pain and mild limited ROM,no pain and no limited ROM,Mild pain and severe limited ROM,none of above.,C,在phase 2(adhesion phase)中，病人的表現為,冷凍肩及撞擊肩症候群/不穩性肩關節,陳勝凱,
62,The pathogenesis of shoulder instability is,bone to bone,Ligment,Labrum,Muscle,C,習慣性脫臼的主要病因 → 外力超過關節唇(labrum)能夠承受的力量後導致斷裂,冷凍肩及撞擊肩症候群/不穩性肩關節,陳勝凱,"The correct answer is C, as the labrum is a critical structure in the shoulder joint that, when damaged, can lead to instability. The other options do not directly relate to the primary cause of shoulder instability."
63,The most important Rotator Cuff muscle is,Teres minor,Subscapularis,Supraspinatus,Infraspinatus,C,"Supraspinatus —performs abduction of the arm Infraspinatus — external rotator of the shoulder Teres minor— externally (laterally) rotate the humerus, as well as adduction. Infraspinatus — fixation of the proximal humerus during movements of the elbow, wrist, and hand.It is a powerful defense to the front of the shoulder-joint, preventing displacement of the head of the humerus.",冷凍肩及撞擊肩症候群/不穩性肩關節,陳勝凱,"The correct answer is C, as the Supraspinatus muscle is crucial for arm abduction and plays a key role in shoulder stability, making it the most important muscle in the rotator cuff."
64,About bony injury of knee which one is false?,Intraarticular fracture may lead to post-traumatic osteoarthritis.,Rigid fixation of the fracture is difficult.,Stiff joint is a common complication,Patella fracture fixed with tension band wiring will induced tension force at fracture site.,D,(D) tension band wiring will induced compression force at fracture site.,膝關節創傷、疾病、重建,黃炫迪,"The correct answer is D, as tension band wiring actually induces compression forces at the fracture site, not tension forces, making this statement false."
65,"About alignment of the knee, which one is false?",The normal angle of anatomic axis is valgus 5 degrees to 7 degrees.,Most patients of osteoarthritis showed varus deformity of the knee.,"The line that connecting hip center, knee enter and ankle center is called mechanical axis.",On the ordinary X-ray of knee joint we could measure the angle of mechanical axis.,D,(D) On the ordinary X-ray of knee joint we could measure the angle of anatomic axis.,膝關節創傷、疾病、重建,黃炫迪,"The correct answer is D, as the angle measured on an ordinary X-ray of the knee joint is the anatomic axis, not the mechanical axis, making this statement false."
66,Pure depression of the lateral tibial plateau is Schatzker’s classification type?,I,II,III,IV,C,,膝關節創傷、疾病、重建,黃炫迪,"The correct answer is C, as pure depression of the lateral tibial plateau corresponds to type III in Schatzker’s classification."
67,The key for management of neck and low back pain to find out pain generators. Which is not the potential pain generator of neck and lower back problems?,Bone,Ligament,Nerve root,Cartilage,D,疼痛來源中無包含Cartilage,骨科學復健,李佳玲,"The correct answer is D, as cartilage is not typically considered a pain generator in neck and lower back problems, unlike bones, ligaments, and nerve roots."
68,"To control pain and inflammation under neck and lower back problems, which method is not suggested?",Bed rest till pain is gone,Oral medication,Manual therapy with massage,Exercise after acute stage,A,A稍微不痛後，就要開始復健以維持active，活動過程應把握「輕、小、慢」原則，其餘選項街正確。,骨科學復健,李佳玲,"The correct answer is A, as prolonged bed rest is not recommended for managing neck and lower back pain; instead, early rehabilitation is encouraged."
69,The pressure over disc changes in different positions. In which position the disk will suffer from the least pressure?,Standing,Sitting,Supine lying,Side lying,C,"以站直為 100%而言，躺平壓力是最小的 25%，側躺是 75%，坐著比站著壓力還要大,約為 140%，仰臥起坐是全部裡面壓力最大的210%。",骨科學復健,李佳玲,"The correct answer is C, as lying supine exerts the least pressure on the intervertebral discs compared to standing, sitting, or side lying."
