id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,teacher,ai_explanation
11,"小腸阻塞(Small-bowel obstruction),最常見的原因是:",(A)克隆氏症(Crohn's disease),(B)沾黏(Adhesions),(C)腫瘤(Neoplasms),(D)疝氣(Hernias),B,小腸阻塞最常見的原因是手術後沾黏(Adhesions)，約佔 60%。,腸腫瘤，阻塞，直腸肛門疾病及外科治療,蔡祥麟,"📖 chatGPT 學長背景知識  
小腸阻塞是臨床常見的急腹症之一，其病因多樣，了解其最常見原因對於診斷與治療至關重要。

- 小腸阻塞的『最常見原因』為『沾黏』，特別是在接受過腹部手術的患者中。
- 『沾黏』是指腹腔內的組織或器官因手術或炎症而異常連接，這會導致腸道的通道受阻。
- 其他可能的原因包括『疝氣』、『腫瘤』及『克隆氏症』等，但這些情況相對較少見。
- 『疝氣』可導致小腸嵌頓，但在所有小腸阻塞病例中，沾黏的發生率更高。
- 『腫瘤』和『克隆氏症』雖然也可引起小腸阻塞，但通常是慢性或進展性問題，並不如沾黏常見。

總結來說，沾黏是小腸阻塞的主要原因，特別是在有過腹部手術史的患者中，這一點在臨床實踐中需特別注意。"
12,"有關梅克爾憩室 (Meckel's diverticulum)的敘述,錯誤者:",(A)發生率男女比為2:1。,"(B)常見的位置是在離迴盲瓣(ileocecal value) 60公分內,大小長度約2英吋","(C)是胃腸道最常見的先天性異常(congenital anomaly),是屬於假性憩室。",(D)臨床上成年人通常不會有症狀。,C,梅克爾憩室包含完整的腸壁結構(黏膜、黏膜下層、肌肉層、漿膜層)，因此屬於「真性憩室(true diverticulum)」，而非假性憩室。,腸腫瘤，阻塞，直腸肛門疾病及外科治療,蔡祥麟,"📖 chatGPT 學長背景知識

梅克爾憩室是『胃腸道』最常見的『先天性異常』，其發生率約為2%至3%。該憩室通常位於『迴盲瓣』60公分內，長度約2英吋（5公分），且為『真性憩室』，因其包含所有腸道層次。雖然在大多數情況下，梅克爾憩室在『成年人』中通常無症狀，但在某些情況下可能會引發併發症，如『腸梗阻』或『憩室炎』。

選項A的性別比為2:1，這一說法是正確的；選項B關於位置和大小的描述也正確；選項D提到成年人通常不會有症狀，這在大多數情況下是正確的，但並不排除有症狀的可能性。因此，選項C的描述為錯誤，因為梅克爾憩室屬於『真性憩室』而非『假性憩室』。這使得選項C成為本題的正確答案。"
13,"胃腸道間質瘤(Gastrointestinal stromal tumors, GISTs)最常見的基因突變點位於:",(A)KIT gene exon 11,(B)KIT gene exon 9,(C)PDGFRA gene exon 18,(D)PDGFRA exon 12,A,GISTs最常見的基因突變位於 KIT gene exon 11 (約佔 67%)。,腸腫瘤，阻塞，直腸肛門疾病及外科治療,蔡祥麟,"📖 chatGPT 學長背景知識  
胃腸道間質瘤（GISTs）是一種起源於胃腸道的腫瘤，主要由間質細胞（如平滑肌細胞和神經膠質細胞）組成。這些腫瘤通常與特定的基因突變有關，最常見的突變涉及『KIT』基因。

核心觀念：  
- GISTs 的主要驅動基因突變為『KIT』基因，特別是在其『exon 11』區域。  
- 『KIT』基因編碼一種酪氨酸激酶，對於細胞增殖和存活至關重要。  
- 約 70-80% 的 GISTs 患者在『KIT gene exon 11』中發現突變，這是診斷和治療的關鍵。  
- 其他突變，如『exon 9』和『PDGFRA gene exon 18』，雖然也與 GISTs 相關，但發生率較低。  
- 了解這些突變有助於選擇適當的靶向治療，如伊馬替尼（Imatinib）。

因此，根據目前的醫學知識，胃腸道間質瘤最常見的基因突變點位於『KIT gene exon 11』，選擇 (A) 是正確的。"
14,"有關 HNPCC (Hereditary nonpolyposis colon cancer)也稱為Lynch syndrome 的 revised Amsterdam criteria的敘述,何者錯誤?",(A)至少連續兩個世代都受到影響。,(B)兩世代中至少有兩位被診斷為結直腸癌時年齡小於50歲。,"(C)至少三個親屬是結直腸癌,其中一位是另外二位的一等親。",(D)屬於 autosomal dominant 的 inherited colorectal cancer syndrome。,B,阿姆斯特丹標準 II 的「3-2-1 規則」中，正確條件是至少有「一個」人被診斷時年齡小於 50 歲，而非兩位。,腸腫瘤，阻塞，直腸肛門疾病及外科治療,蔡祥麟,"📖 chatGPT 學長背景知識  
HNPCC（Hereditary nonpolyposis colon cancer）或稱Lynch syndrome，是一種遺傳性結直腸癌綜合症，主要由於DNA修復基因的突變所引起。其診斷標準為修訂版的Amsterdam criteria，主要包括以下幾個要點：

- 至少『連續兩個世代』受到影響，顯示其『遺傳性』特徵。
- 在兩世代中，至少有『兩位』親屬被診斷為結直腸癌，且年齡『小於50歲』，這一點強調了早發性癌症的特徵。
- 至少『三個親屬』必須是結直腸癌患者，其中一位必須是其他兩位的一等親，這有助於確認家族聚集性。
- 此病症屬於『自體顯性』（autosomal dominant）的遺傳模式，意味著只需一個突變基因即可引發疾病。

根據以上標準，選項B的敘述是錯誤的，因為在修訂版的Amsterdam criteria中，並不要求兩位患者的年齡必須小於50歲，這一點並非必要條件。因此，正確答案為B。"
15,早期門脈高壓(portal hypertension)的機轉不包含下列哪些?,(A)週邊血管收縮,(B)心臟輸出增加,(C)nitric oxide (NO)合成增加,(D)renin-angiotensin 系統活化,A,門脈高壓會造成內源性一氧化氮(NO)大量釋放，進而導致內臟與「周邊血管擴張(Vasodilation)」，而非收縮。,門脈高壓、肝硬化與衰竭,黃釧峰,"📖 chatGPT 學長背景知識

早期『門脈高壓』是由於門脈系統內壓力增加，通常與肝臟疾病如肝硬化或肝炎有關。其機轉主要涉及以下幾個方面：

- 『血管收縮』：肝臟血流量減少，導致周邊血管收縮，進一步增加門脈壓力。
- 『心臟輸出增加』：心臟的輸出量通常不會因門脈高壓而增加，反而可能因為肝臟功能受損而影響心臟的整體功能。
- 『一氧化氮(NO)合成增加』：在門脈高壓的情況下，NO的合成通常會增加，這是因為NO具有擴張血管的作用，試圖降低門脈壓力。
- 『腎素-血管緊張素系統(RAS)活化』：此系統在低血容量或低血壓時被激活，進一步促進水鈉潴留，增加血容量，可能加劇門脈高壓。

綜合以上分析，選項(B)『心臟輸出增加』並不符合早期門脈高壓的機轉，因此是正確答案。"
16,評估肝硬化Child-Pugh score時何者非考量因素,(A)aPTT (activated partial thromboplastin time)值,(B)腹水,(C)肝昏迷,(D)albumin值,A,Child-Pugh分級考量的五大因素為：Bilirubin、Albumin、Prothrombin time (PT或INR)、Ascites、Encephalopathy。不包含aPTT。,門脈高壓、肝硬化與衰竭,黃釧峰,"📖 chatGPT 學長背景知識  
肝硬化的評估常用的指標之一是Child-Pugh score，這是一種用於評估肝功能及預測病人預後的工具。此評分系統主要考量五個因素：『腹水』、『肝昏迷』、『血清白蛋白』、『總膽紅素』及『凝血酶原時間』。

在此題中，選項(A)的『aPTT』並不是Child-Pugh score的考量因素。Child-Pugh score使用的是『凝血酶原時間』，而非直接使用『aPTT』值。雖然aPTT可以反映凝血功能，但它並不是該評分系統的直接組成部分。

因此，正確答案是(A) aPTT值，因為它不屬於Child-Pugh score的評估範疇。其他選項如腹水、肝昏迷及血清白蛋白均為評分所需的關鍵因素，直接影響肝硬化患者的預後評估。"
17,肝臟由哪五種主要韌帶連接和固定?,(A)胃韌帶、脾韌帶、腎韌帶、胰韌帶、十二指腸韌帶,(B)鐮狀韌帶、冠狀韌帶、右三角韌帶、左三角韌帶、圓韌帶,(C)膽囊韌帶、肝門韌帶、闌尾韌帶、盲腸韌帶、直腸韌帶,(D)膈韌帶、腹膜韌帶、腸系膜韌帶、網膜韌帶、血管韌帶,B,肝臟的五大主要韌帶為：falciform (鐮狀)、coronary (冠狀)、right triangular (右三角)、left triangular (左三角) 與 round ligament (圓韌帶)。,肝腫瘤和創傷的手術治療,莊世昌,"📖 chatGPT 學長背景知識  
肝臟是人體最大的內臟器官，具有多種重要功能，包括代謝、解毒和合成蛋白質。肝臟的固定和支持主要依賴於其周圍的韌帶結構。

- 肝臟由五種主要韌帶連接和固定，這些韌帶包括：
  - 『鐮狀韌帶』：將肝臟的左葉與腹壁連接。
  - 『冠狀韌帶』：包圍肝臟的上方，連接肝臟與膈肌。
  - 『右三角韌帶』：位於肝臟的右側，連接肝臟與右側腹壁。
  - 『左三角韌帶』：位於肝臟的左側，連接肝臟與左側腹壁。
  - 『圓韌帶』：是胎兒時期的臍靜脈的殘留物，位於鐮狀韌帶的前緣。

這些韌帶不僅提供了肝臟的支持，還在肝臟的運動和功能中扮演重要角色。選項B正確地列出了這五種主要韌帶，並且是肝臟的主要固定結構。其他選項中的韌帶並不屬於肝臟的主要連接結構，因此不正確。"
18,"在肝臟手術後,以下哪一種是可能發生的併發症?",(A)高血脂,(B)糖尿病,(C)膽汁滲漏,(D)高血壓,C,肝臟切除手術後常見與膽道相關的併發症為膽汁滲漏(Bile leak)或膽道狹窄。,肝腫瘤和創傷的手術治療,莊世昌,"📖 chatGPT 學長背景知識

在肝臟手術後，可能出現多種併發症，這些併發症通常與手術的性質及肝臟的功能有關。以下是一些關鍵觀念：

- 『膽汁滲漏』：肝臟手術後，尤其是膽囊切除或肝切除手術，可能導致『膽管』受損，進而引起膽汁滲漏，這是最常見的併發症之一。
- 『感染』：手術後的傷口或腹腔內可能發生感染，這需要密切監測。
- 『出血』：肝臟的血供豐富，手術過程中可能出現出血，甚至需要輸血。
- 『肝功能不全』：手術後肝臟的功能可能受到影響，尤其是在已有肝病的患者中。

在選項中，雖然高血脂、糖尿病和高血壓都可能與肝臟健康有關，但它們並不是肝臟手術後的直接併發症。相對而言，『膽汁滲漏』是手術後最具代表性的併發症，因其直接與手術操作及肝臟解剖結構相關。因此，正確答案為(C) 膽汁滲漏。"
19,"在評估肝臟創傷時,腹部創傷快速評估 FAST (Focused assessment with sonography for trauma)檢查主要會檢查人體的哪四個區域以檢測游離液體?",(A)腦部、頸部、胸部、腹股溝,(B)肺部、腎臟、胰臟、膽囊,(C)肝臟周圍、脾臓周圍、骨盆、心包,(D)大腿、小腿、手臂、背部,C,FAST檢查的四個標準區域為：Perihepatic (肝周)、Perisplenic (脾周)、Pelvis (骨盆腔) 以及 Pericardium (心包膜)。,肝腫瘤和創傷的手術治療,莊世昌,"📖 chatGPT 學長背景知識  
在評估肝臟創傷時，腹部創傷快速評估（FAST）檢查是一種重要的診斷工具，主要用於檢測腹腔內的『游離液體』，以判斷是否存在內臟損傷。FAST 檢查主要針對以下四個區域進行評估：

1. 『肝臟周圍』：檢查肝臟下方的液體積聚，常見於肝臟創傷。
2. 『脾臟周圍』：評估脾臟下方的液體，脾臟損傷也可能導致內出血。
3. 『骨盆』：檢查骨盆腔內的液體，特別是在骨盆骨折的情況下。
4. 『心包』：雖然主要是針對腹部創傷，但心包腔的液體積聚也可能影響整體評估。

因此，正確答案為選項 (C)，因為這四個區域是 FAST 檢查的重點，能有效評估內部出血的風險，並指導後續的治療決策。"
20,以下哪一個組織是肝臟手術的現行指南機構(Current guidelines for liver surgery)之一?,(A)APASL (Asian Pacific Association for the Study of the Liver),(B)WHO (World Health Organization),(C)CDC (Centers for Disease Control and Prevention),(D)FDA (Food and Drug Administration),A,APASL (亞太肝臟研究學會) 指南是臨床引導肝臟手術與肝癌治療的重要現行規範之一。,肝腫瘤和創傷的手術治療,莊世昌,"📖 chatGPT 學長背景知識

在肝臟手術的現行指南中，主要的指導機構是專注於肝臟疾病研究與治療的專業組織。以下是相關的核心觀念：

- 『APASL』：亞洲太平洋肝臟研究協會，專注於肝臟疾病的研究與臨床實踐，提供針對肝臟手術的指南與建議。
- 『WHO』：世界衛生組織，雖然在公共衛生方面具有重要影響力，但並不專門針對肝臟手術提供具體指南。
- 『CDC』：疾病控制與預防中心，主要關注傳染病的控制與預防，與肝臟手術的指導無直接關聯。
- 『FDA』：食品藥物管理局，負責藥物與醫療器械的監管，並不涉及手術指南的制定。

因此，針對肝臟手術的現行指南，最具權威性與專業性的機構是『APASL』，它提供了針對肝臟疾病的最新研究成果與臨床實踐建議，對於醫療專業人員在手術決策中具有重要參考價值。選擇正確答案為 (A) APASL。"
21,關於壺腹癌(Ampullary Carcinoma)以下敘述何者錯誤?,"(A)年輕人發生率高於老年人,男女性別無太大差異。",(B)Familial adenomatous polyposis (FAP) 和 Neurofibromatosis type 1 都是可能病因之一。,"(C)大部分壺腹癌組織型態是 adenocarcinomas,少部分是 neuroendocrine tumors.",(D)臨床表現常見阻塞性黃疸(obstructive jaundice)。,A,壺腹癌好發於老年人，發病高峰約在 70 歲左右(the seventh decade of life)，且男性比例稍微偏高。,膽道腫瘤,魏鈺儒,"📖 chatGPT 學長背景知識  
壺腹癌（Ampullary Carcinoma）是一種罕見的腫瘤，通常發生在胰腺、膽道及十二指腸交界處。其臨床特徵及病因值得深入探討。

- 壺腹癌的發病率在『年輕人』中並不高於『老年人』，相反，老年人更常見，且男性與女性的發病率差異不大，因此選項(A)為錯誤。
- 『Familial adenomatous polyposis (FAP)』及『Neurofibromatosis type 1』確實與壺腹癌有關，屬於潛在的遺傳性病因，選項(B)正確。
- 大多數壺腹癌為『腺癌（adenocarcinomas）』，而『神經內分泌腫瘤（neuroendocrine tumors）』則相對少見，選項(C)正確。
- 壺腹癌的臨床表現中，『阻塞性黃疸（obstructive jaundice）』是常見的症狀之一，因腫瘤可能壓迫膽道，選項(D)正確。

綜合以上分析，選項(A)的敘述為錯誤。"
