id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,teacher,ai_explanation
11,"About ankle and foot, which one is correct?",The peroneal longus tendon attaches to 5th metatarsal base and everts the foot,The cause of Muller Weiss disease is osteonecrosis of navicular bone. The one character of this disease is comma-shape deformity of navicular bone.,The talus is the keystone of transverse arch of foot.,"In the syndesmosis, the tibia is concave and fibular is convex here. The anterior talofibular ligament and posterior talofibular ligament are part of the syndesmosis ligaments.",B,"(A)peroneal longus附著1st metatarsal base
(C)navicular
(D)改為tibiofibular，而非talofibular",足踝關節之骨科功能解剖學,陳姝蓉,
12,"About the four compartments of leg, which one is wrong?","The posterior tibialis muscle belongs to deep posterior compartment, and is related to adult-acquired flat foot deformity",The major movement of muscles in anterior compartment is ankle dorsiflexion.,"There are deep peroneal nerve, peroneal longus and brevis in the lateral compartment. The major movement of these muscles is foot eversion.",The plantaris is in superficial posterior compartment and it is a weak ankle plantarflexor.,C,"(C) There are deep (應改為superficial) peroneal nerve, peroneal longus and brevis in the lateral compartment. The major movement of these muscles is foot eversion. 其餘選項皆正確",足踝關節之骨科功能解剖學,陳姝蓉,
13,Which one is wrong?,"Near 50% of blood supply to talus is from posterior tibial artery, which is in the deep posterior compartment.",The common complication of displaced talar neck fracture is osteonecrosis of talus.,"The anterior talofibular ligament is most easily injured ligament when patients suffer from ankle sprain, and anterior drawer test is often positive while performing physical examination. Repeated ankle sprains may lead to lateral instability of ankle joint.","The negative Thompson test means Achilles tendon rupture. Under this condition, patient totally can’t walk therefore.",D,是”positive” Thompson test means Achilles tendon rupture,足踝關節之骨科功能解剖學,陳姝蓉,
14,Observe the histological features. What is the tissue in this figure?,Cardiac muscle,Tendon,Smooth muscle,Skeletal muscle,A,心肌細胞的組織學特性：branched、anastomosing network、intercalated disc,肌肉、肌腱、韌帶組織學實驗,"陳永佳,劉俊馳",
15,What is the correct combination of tissue species and section orientation in the figure?,cross sectioned cardiac muscle,longitudinal sectioned smooth muscle,cross sectioned smooth muscle,cross sectioned skeletal muscle,B,,肌肉、肌腱、韌帶組織學實驗,"陳永佳,劉俊馳",
16,"A 16-year-old man presented with increasing pain in the left knee for one year. Plain film is shown below (left). The patient received surgical removal for the tumor. Microscopically, the tumor is covered by a layer of perichondrium. Endochondral ossification with mature bone formation is observed (right). Which of the following descriptions about this tumor is incorrect?",The tumor is usually well-circumscribed and does not invade adjacent soft tissue.,The tumor tends to occur in adolescents and young adults.,It is one of the most common benign bone tumors.,It tends to occur in epiphysis.,D,看到香菇狀的樣子就要想到是Osteochondroma。 (D) It tends to occur in metaphysis.,肌肉骨骼系統病理學實驗,賴薇安,
17,A 55-year-old woman received hip joint replacement surgery for right hip pain. The gross picture of the femoral head lesion is shown below. Which of the following descriptions about the lesion is correct?,It is associated with hyperuricemia.,Needle-shpaed crystals may be seen through birefringent microscopy.,Alcolholism plays a role in pathogenesis.,It is caused by chronic abrasion of the cartilage cap.,C,,肌肉骨骼系統病理學實驗,賴薇安,
18,Which of the following descriptions about chondrosarcoma is incorrect?,Commonly occurs in children.,It has lower cellularity as compared to most malignant tumors.,It tends to occur in long bones and flat bones.,Dedifferentiation may occur in chondrosarcoma.,A,,肌肉骨骼系統病理學實驗,賴薇安,
19,Which of the following statements about the structure of spine is NOT true?,"Dens is part of the Atlantoaxial joint, which is responsible for cervical rotation.",There are 23 intervertebral discs located between each level of spine.,Nutrients of the intervertebral disc are mainly obtained by passive diffusion through the end plate.,The ligamentum flavum is located in the posterior column of the spine and cannot limit motion of spine during flexion.,B,(B)錯誤，椎間盤從C2-C3之間開始存在，直到L5-S1，S2以後的脊椎之間不存 在椎間盤。,脊椎之骨科功能解剖學,高志銘,
20,Which of the following statements about the structure of spine is CORRECT?,"The ribs and thoracic vertebrae are connected by costal facets, which restricts the movement of thoracic spine.","The articular surface of the facet joint is covered with fibrocartilage, and approximately 1~1.5 ml of synovial fluid is present in facet joints.",Nucleus pulposus has large proportion of type I collagen fibers.,The vertebral body is the weight-bearing structure that exists in front of each level of vertebra.,A,"(A) The ribs and thoracic vertebrae are connected by costal facets, which restricts the movement of thoracic spine. 為正確的敘述。",脊椎之骨科功能解剖學,高志銘,
21,Which part of spine does NOT belong to the posterior ligamentous complex?,ligamentum flavum,supraspinous ligament,spinous process,facet capsule,C,"由上圖可以看到posterior ligamentous complex包含(A),(B),(D)以及 interspinous ligament，並不包含spinous process。",脊椎之骨科功能解剖學,高志銘,
22,The structure triad is formed by?,thin filament,thick filaments,two enlarged sarcoplasmic reticulum and one T-tubule,two caveolae and endoplasmic reticulum (ER),C,,肌腱、韌帶、肌肉組織學,陳永佳,
23,Which of the following description is FALSE?,"Only when injury, the skeletal muscle fibers and cardiomyocytes can undergo regeneration",skeletal and smooth muscle cells present the gap junctions,smooth muscle fibers do not present sarcomere,"By binding of calcium to troponin C, skeletal muscle and cardiac muscle start to contract.",B,(B) skeletal muscle cells absent the gap junctions,肌腱、韌帶、肌肉組織學,陳永佳,
24,Which of the following statements concerning smooth muscle is TRUE?,cells are fusiform shaped and communicate with each other by the desmosomes,The fibers have dense bodies and well-developed smooth ER,The cytoplasm of smooth muscle is basophilic and the nucleus is localized in the central of the cell,the side-polar thick filament are present in smooth muscle,B,(B) The fibers have dense bodies and well-developed smooth ER,肌腱、韌帶、肌肉組織學,陳永佳,
25,Which of the following skeletal muscle fibers exhibit the smallest fiber diameter and are resistant to fatigue?,slow oxidative,fast aerobic fibers,intermediate,fast anaerobic fibers,A,,肌腱、韌帶、肌肉組織學,陳永佳,
26,"In resting muscle, which of the following proteins masks the myosin-binding site on the actin molecule?",myosin head,troponin,tropomodulin,tropomyosin,D,,肌腱、韌帶、肌肉組織學,陳永佳,"In resting muscle, tropomyosin is the protein that covers the myosin-binding sites on actin filaments, preventing muscle contraction. Therefore, the correct answer is D."
27,Which of the following statements is TRUE when skeletal muscle contraction?,M line becomes shorter,I band becomes wider,H zone becomes narrower,A band becomes wider,C,(C)正確,肌腱、韌帶、肌肉組織學,陳永佳,"During skeletal muscle contraction, the H zone becomes narrower as the actin filaments slide over the myosin filaments, making the correct answer C."
28,Which of the following statements about cranium development is incorrect?,Most originate from mesenchymal cells in the mesoderm.,Parts of the neurocranium are formed by the fusion of multiple cartilage pieces.,The neurocranium is the primary protective structure of the brain.,The first and second pairs of pharyngeal arches participate in the formation of the cartilaginous viscerocranium.,A,神經顱的軟骨內骨化之軟骨來源，以脊索(notochord)為界線，脊索之前來自於神經脊(Neural crest)，神經脊(Neural crest)屬於外胚層。,肌肉骨骼胚胎學,施耀翔,"The incorrect statement is A, as the neurocranium primarily develops from neural crest cells, not mesodermal mesenchymal cells."
29,Which of the following majorly originates from the neural crest during development?,Vertebra,Nucleus pulposus,Cranium,Appendicular skeleton,C,,肌肉骨骼胚胎學,施耀翔,"The cranium primarily develops from neural crest cells, making C the correct answer."
30,The lesser cornu of the hyoid bone develops from which pharyngeal arch?,First pharyngeal arch,Second pharyngeal arch,Third pharyngeal arch,Fourth pharyngeal arch,B,如下圖，可見lesser cornu of the hyoid bone(深綠色框)來自Second pharyngeal arch(深綠色框)。,肌肉骨骼胚胎學,施耀翔,"The lesser cornu of the hyoid bone develops from the second pharyngeal arch, making B the correct answer."
31,Which of the followings is correct?,the patients with lower motor neuron diseases (neuromuscular diseases) often show distal muscle weakness and atrophy,the patients with lower motor neuron diseases (neuromuscular diseases) often demonstrate decreased muscle tone (hypotonia),the deep tendon reflex of the patients with lower motor neuron diseases (neuromuscular diseases) is usually increased,None of above.,B,,肌肉疾病,梁文貞,"Patients with lower motor neuron diseases typically exhibit decreased muscle tone (hypotonia), making B the correct answer."
32,Which of the followings is not the muscle needed for standing up from squatting posture?,gastrocnemius,pectoralis major,quadriceps femoris,gluteus maximus,B,從squatting到standing動作中，gluteus maximus參與hip/thigh extension especially from flexed position；而quadriceps負責extending knee agaist gravity。,肌肉疾病,梁文貞,"The pectoralis major is not involved in the action of standing up from a squatting position, making B the correct answer."
33,Under which of the following condition would “fiber type grouping” be present?,innervation in normal muscle,denervation,re-innervation,None of above.,C,,肌肉疾病,梁文貞,"Fiber type grouping occurs during re-innervation, making C the correct answer."
34,Which of the following description about pelvis is NOT correct?,Sacrum appears in its longest dimension in pelvis outlet view,Pelvis inlet view best demonstrates ring configuration of pelvis,Open book pelvic injuries result from a lateral compression (LC) injury to the pelvis,Anteroposterior compression (APC) injuries result in external rotation of the hemipelvis,C,(C) Open book pelvic injuries result from anteroposterior compression(APC) injury to the pelvis,肌肉骨骼影像解剖學-下肢,許家豪,"Open book pelvic injuries are caused by anteroposterior compression, not lateral compression, making C the correct answer."
35,Which of the following is NOT the typical radiographic signs of joint osteoarthritis (OA)?,Joint space narrowing,Osteophyte/Spur,Subchondral sclerosis,Subchondral collapse (Crescent sign),D,Crescent sign 是Osteonectosis,肌肉骨骼影像解剖學-下肢,許家豪,"The correct answer is D because the Crescent sign is associated with osteonecrosis, not osteoarthritis. The other options are typical radiographic signs of OA."
36,Which of the following is NOT the suitable choice of management?,"Femoral neck fracture, Garden type 2 →ORIF",Femoral midshaft fracture →ORIF with intramedullary nail,"Femoral intertrochanteric fracture, reverse oblique type →Hemiarthroplasty","Tibial plateau fracture, Schatzker type IV →ORIF with buttress plate",C,intertrochanteric fracture的stable type用動態螺絲(dynamic hip screw)做固定，unstable type用骨髓內釘做固定,肌肉骨骼影像解剖學-下肢,許家豪,The correct answer is C because Hemiarthroplasty is not the suitable management for a reverse oblique type intertrochanteric fracture; stable types should use dynamic hip screws.
37,"While reading skeletal x-ray films, we need to check A, B, C, S, which are:","Skeletal alignment, soft tissue, joint space, bone texture","Soft tissue, joint space, bone texture, cortical bone","Bone texture, cortical bone, soft tissue and joint space, skeletal alignment","soft tissue and joint space, intraskeletal vessels, skeletal alignment, bone texture",C,"A: alignment，須觀察是否有骨骼排列上的異常(ex.subluxation, dislocation) B: bone texture C:Cortex，觀察cortical bone是否邊緣完整 S: Soft tissue and joint space, 須觀察軟組織、關節是否有異常(ex.腫脹）",基礎影像學原理,蔡蕙怡,"The correct answer is C because it accurately lists the components to check when reading skeletal x-ray films, including bone texture and skeletal alignment."
38,Which image modalities can be used to diagnose skeletal muscle tear?,X-ray ; b：ultrasound ; c：CT ;  d：MRI,b.c.d,c.d,d,B,申覆內容：X光下觀察rotator cuff tear，雖然在早期傷害難以看到，但用晚期傷害時較為明顯可見，故建議(A)Xray也可列為答案之，謝謝老師。,基礎影像學原理,蔡蕙怡,"The correct answer is B because ultrasound, CT, and MRI are appropriate modalities for diagnosing skeletal muscle tears, while X-ray is not typically used."
39,Which description is wrong?,MRI has better tissue contrast. It is better to use MRI to detect pulmonary or upper abdominal visceral contusion or laceration when rib fracture is noted after trauma.,"If we can’t detect the dorsal foot pulse in a patient with traumatic lower extremity fracture, arterial injury is suspected. The next step is to arrange CT angiography for further evaluation.","Arthrogram is an image study of joint after injection of contrast agent into a joint. It can be used in X-ray, CT, and MRI.","Joint x-ray study usually has two views, including AP and lateral projections. There are also special views for evaluation of a specific portion.",A,MRI所需的時間較長，所以不是很適合用在急性的狀況,基礎影像學原理,蔡蕙怡,"The correct answer is A because while MRI does have better tissue contrast, it is not ideal for acute situations due to the longer time required for imaging."
40,Which is correct?,Sensitivity means the probability of a negative test among person without the disease,Specificity means the probability of a positive test among person with the disease,Most people with positive ANA do not have lupus,all of above,C,ANA對SLE的敏感度很高，但特異性較低。,免疫風溼學實驗室檢查,曾家駿,"The correct answer is C because while sensitivity and specificity are defined correctly in options A and B, the statement in C is true as most individuals with a positive ANA do not have lupus."
41,Which combination of autoantibodies and clinical manifestation is correct?,ACPA and Granulomatosis with polyangiitis (GPA),MPO-ANCA and ankylosing spondylitis,Anti-β2 glycoprotein I antibody and Drug-induced lupus,None of above is correct,D,ACPA是檢驗RA；GPA是驗PR3-ANCA，MPO-ANCA是檢驗MPA；AS是驗HLA-B27，Anti-β2 glycoprotein I antibody是一種APA，檢驗Antiphospholipid syndrome；Drug-induced lupus是驗ANA的Histones Pattern。,免疫風溼學實驗室檢查,曾家駿,"The correct answer is D because all the combinations listed in options A, B, and C are incorrect regarding the associations of autoantibodies with their respective clinical manifestations."
42,"Mr Ou, a 80-year-old patient with end-stage renal disease. He was admitted for right wrist swelling. The synovial fluid analysis by polarized microscopy was shown in the picture. What is the diagnosis?",Calcium pyrophosphate deposition disease,Gout,Rheumatoid arthritis,Ankylosing spondylitis-associated arthritis,A,Calcium pyrophosphate deposition disease = Pseudogout，屬於正偏光、菱形晶體；Gout 是負偏光、針狀晶體。,免疫風溼學實驗室檢查,曾家駿,"The correct answer is A because the description of the synovial fluid analysis indicates calcium pyrophosphate crystals, which are characteristic of calcium pyrophosphate deposition disease."
43,What kind of tissue is it?,Fibrocartilage,Elastic cartilage,bone,Hyaline cartilage,D,根據講義為hyaline cartilage,組織學實驗 骨骼與軟骨,施耀翔、吳敏瑜,"The correct answer is D because the tissue described is identified as hyaline cartilage, which is a common type of cartilage found in the body."
44,What is the structure labeled by the arrows?,Haversian canal,Volkmann canal,Bone marrow,Periosteum,B,,組織學實驗 骨骼與軟骨,施耀翔、吳敏瑜,"The correct answer is B because the structure labeled by the arrows is identified as the Volkmann canal, which connects Haversian canals in bone."
45,Which of the following statements regarding Aspirin is wrong?,It is more selective inhibition on COX-1 than on COX-2.,It is metabolized to salicylic acid,It inhibits platelet function at low doses,It can reversibly suppress platelet COX-1,D,"(A) 正確，Aspirin 對 COX-1 的抑制比對 COX-2 更具選擇性。

(B) 正確，Aspirin會代謝成水楊酸（salicylic acid）。

(C) 正確，低劑量的Aspirin能抑制血小板功能，常用於預防心血管事件。

(D) 錯誤。Aspirin不可逆地抑制血小板中的 COX-1，這是它與其他NSAIDs的不同之處。Aspirin透過acetylation COX-1，永久性地抑制 COX-1 的活性，從而阻止了血小板生成TXA2，這會減少血小板的聚集，達到抗血栓的效果。因為血小板無法自行產生新的 COX-1，這種抑制作用會持續到新的血小板生成（大約7-10天）。",非類固醇抗炎藥物藥理學,吳炳男,
46,Which of the following statements regarding Acetaminophen is correct?,It has potent anti-inflammatory effects.,It has a strong COX-1 and COX-2 inhibition in peripheral tissues.,Dosing in adults is recommended not to exceed 4 g/d in most cases.,No antidote can be used for the drug overdose-induced hepatic necrosis.,C,"AB：Acetaminophen較特別，為COX-2b inhibitor，其笑果為鎮痛解熱，無「消炎作用」因此AB都錯
D：Antidote為N-acetylcusteine（複習一下，他是愛克痰）",非類固醇抗炎藥物藥理學,吳炳男,
47,Which of the following statements regarding the COX-2 selective inhibitors is wrong?,It can be linked to an increase in thrombotic risk.,It affects platelet aggregation at usual doses,Reduction of circulating PGI2 during long-term therapy,Etoricoxib is a highly selective COX-2 inhibitor,B,可看到cox-2幾乎沒有影響血小板凝集作用 所以正常劑量下不影響,非類固醇抗炎藥物藥理學,吳炳男,
48,Which of the following drugs can accelerate the closure of a patent ductus arteriosus?,Aspirin,Indomethacin,Nabumetone,Mefenamic acid,B,,非類固醇抗炎藥物藥理學,吳炳男,
49,Which of the following statements regarding the anti-gout agents is wrong?,Colchicine can bind to intracellular protein tubulin.,Indomethacin can be used in acute gout as a replacement for colchicine.,Febuxostat reduces total uric acid body burden by inhibiting xanthine oxidase.,Probenecid blocks the active reabsorption of uric acid at the renal distal tubule.,D,,非類固醇抗炎藥物藥理學,吳炳男,
50,Which of the following statements regarding pegloticase is wrong?,It is a recombinant mammalian urate oxidase (or uricase).,Urate oxidase catalyzes the enzymatic oxidation of uric acid into allantoin.,It can be used in patients with G6PD deficiency.,It is approved for the treatment of refractory chronic gout.,C,(C) It cannot be used in patients with G6PD deficiency.,非類固醇抗炎藥物藥理學,吳炳男,
51,"Classification, types of thoracolumbar fractures, except",Compression fracture,Burst fracture,Fracture dislocation,Change fracture,D,,脊椎急患,呂衍謀,
52,The most common form of scoliosis is,Adolescent Idiopathic scoliosis,Neuromuscular scoliosis,Neurofibromatosis,Congenital scoliosis,A,老師在上課時有提到，最常見的脊椎側彎是年輕型不明原因脊椎側彎。,脊椎急患,呂衍謀,
53,A common condition in patient with low back pain and radiography showed a forward slipping of one vertebral body upon the adjacent level is known as,spondylosis,spondylolysis,spondylolisthesis,spondylitis,C,spondylolisthesis (脊椎滑脫)的定義就是相鄰脊椎的異位。,脊椎急患,呂衍謀,
54,Which statement(s) is/are True？,Brittle material undergoes very little plastic deformation before failure.,Tendon is a ductile material,Ductile material undergoes more plastic deformation before failure.,All of the above.,D,"(A) (C)brittle-little plastic deformation; ductile-large plastic deformation
(B)例子：brittle-PMMA; ductile-tendon",基礎生物力學,周伯禧,
55,Which of the following(s) may not be helpful in diagnosing Superior Labrum Anterior to Posterior Lesion(SLAP)?,MR-Arthrography.,Compression Rotation Test,O’Brien’s Test,Lachman Test.,D,Lachman test用於檢測ACL，非SLAP。其他三個選項皆為SLAP之檢查。,運動創傷與運動醫學,周伯禧,
56,Motion analysis can be clinically applied in which of the followings?,Analysis of elbow joint loading during pitching,Analysis of shoulder joint loading during fall on the outstretched hand.,Gait Analysis in patients with PCL instability.,All of the above.,D,"Motion analysis定義廣泛,關於Kinesiology等等都可以算其中一部分 其可分為Kinematics和Kinetic Kinematics是study of motion,指動作上的差異,觀察物體如何運動 Kinetics是計算關節在運動中受力的大小 所以(A)(B)(C)都包含在以上兩者的定義中",運動創傷與運動醫學,周伯禧,
57,The highest elbow joint loading can occur on which of the time interval during pitching motion?,"Winding phase,","Late cocking & early acceleration phase,","Deceleration phase,",Follow through phase.,B,,運動創傷與運動醫學,周伯禧,
58,Which of the following statement(s) about ACL (Anterior Cruciate Ligament) injuries is/are false?,ACL injuries are frequently related to trauma and traffic accident,ACL tear with associated injuries is an indication for surgical treatment,Anterior Drawer Test can detect ACL injuries,MRI is useful in diagnosing ACL injuries,A,ACL受傷多為運動傷害,基礎生物力學,周伯禧,
59,Valgus Extension Overload is probably the most common cause of elbow injury in baseball pitchers. It is not associated with:,"medial collateral ligament instability,","osteochondral injuries of the radio-capitellar joint,",ulnar nerve neuropathy,anterior elbow impingement.,D,,運動創傷與運動醫學,周伯禧,
60,Which of the following statements about “bones” is less accurate?,Bones are formed by calcified cells.,"Spongy bone contains bone marrow, which has a hematopoietic function.",Osteoclasts differentiate from monocytes.,Bones have a detoxification function.,A,(A) 骨頭的鈣化是由 osteoblast 分泌的 alkaline phosphatase enzymes 負責的,骨與軟骨生理學,薛元碩,
61,Which of the following statements about “ossification” is less accurate?,Intramembranous ossification is one of the methods.,Intramembranous ossification is formed from fibrocartilage.,Endochondral ossification is one of the methods.,Endochondral ossification is formed from hyaline cartilage.,B,(B) Intramembranous ossification 直接從骨頭或纖維結締組織膜內開始形成,骨與軟骨生理學,薛元碩,
62,Which of the following statements about “the process of intramembranous ossification” is less accurate?,"Mesenchymal cells differentiate into osteocytes, forming an ossification center.",Cells secrete osteoid.,"The osteoid calcifies, forming woven bone.",Compact bone is formed.,A,(A) mesenchymal cells首先分化為osteoprogenitor cells，然後再分化為osteoblasts，而不是直接分化為osteocytes。osteocytes是由osteoblasts進一步分化而來的。,骨與軟骨生理學,薛元碩,
63,Which of the following factors is less likely to influence bone remodeling?,Manganese deficiency,Vitamin A deficiency,Potassium deficiency,Excessive parathyroid hormone.,C,(C)鉀對於骨質重塑較小。,骨與軟骨生理學,薛元碩,
64,The following (1)-(4) are the steps of bone remodeling. Which sequence is the more correct order of occurrence?,Activation of osteoblasts;,Osteoblasts form new bone;,Activation of osteoclasts;,Osteoclasts resorb bone.,D,根據講義內容，Bone remodeling (ARF cycle)的順序為: Activation of OC cells (對應3） OC cell Resorption (對應4) Reversal (OB cells take over) (對應1) Formation(OB cells form bone) (對應2) 故(D)正確,骨與軟骨生理學,薛元碩,
65,Which of the following statements about “cartilage” is less accurate?,Cartilage secretes extracellular matrix.,"Like bone cells, cartilage cells are derived from mesenchymal cells.",Cartilage is directly supplied with nutrients by blood vessels.,Cartilage can regenerate after adulthood.,C,(C) 軟骨沒有血管,骨與軟骨生理學,薛元碩,
66,Which of the following statements about “the process of endochondral ossification” is less accurate?,Cartilage tissue is formed first.,Cartilage tissue continues to grow and begins calcifying from both ends.,"Blood vessels form in the center of the cartilage tissue, creating the primary ossification center.","Blood vessels extend to the epiphysis, forming the secondary ossification center.",B,(B)應是從軟骨的中心開始骨化,骨與軟骨生理學,薛元碩,
67,Which of the following statements about “chondrogenesis” is less accurate?,Chondroblasts can differentiate from mesenchymal cells.,Chondroblasts can also differentiate from the perichondrium.,Chondroblasts surrounded by extracellular matrix become chondrocytes.,Only chondroblasts can produce extracellular matrix.,D,(A)(B)正確 (C) 正確 (D) 錯，chondrocytes也會,骨與軟骨生理學,薛元碩,
68,Which of the following statements about “the distribution of the three types of cartilage” is less accurate?,The cartilage at the ends of the ribs is hyaline cartilage.,The cartilages at the intervertebral discs are fibrocartilage.,The cartilages at the epiphyseal plates are hyaline cartilage.,The cartilage in the ear is hyaline cartilage.,D,(D)The cartilage in the ear is elastic cartilage,骨與軟骨生理學,薛元碩,
69,Which of the following is not a method to induce an osteoporosis animal model?,Injecting glucocorticoids,Ovariectomy in female mice,Breaking and resetting bones,Genetically modifying mice.,C,如圖，講義中並未提到(C)breaking and resetting bones,生理學實驗-骨質疏鬆動物模式,薛元碩,
70,"Regarding the description of femoral head necrosis, which of the following is correct?",Smoking is the main cause of avascular necrosis of the femoral head in men.,"When femoral head necrosis occurs, the typical crescent sign can be seen on a bone scan during a nuclear medicine examination.","The use of protease inhibitors is a risk factor for femoral head necrosis, but HIV infection does not increase the risk of the disease.",The causes of knee osteonecrosis are often spontaneous and mostly unilateral.,D,,骨質疏鬆與骨壞死,林松彥,
71,Which of the following statements is incorrect?,The main pathogenesis of osteoporosis is an imbalance in bone remodeling.,The 1st-4th lumbar vertebrae and bilateral hips are common sites for DXA to detect bone density.,"A 65-year-old woman slipped while walking and fractured the femoral neck of her right hip. DXA examination showed that the T-score of the left hip was -1.2 and the average bone density T-score of the lumbar spine was -1.4. Therefore, the woman is not an osteoporosis patient.","When a young patient's Z-score is less than -2.0, it is necessary to carefully investigate whether there is secondary osteoporosis caused by disease or drugs.",C,"當發生低創傷性骨折(low traumatic fracture)或脊椎骨折病史,即使骨密度T值>-2.5也得診斷為骨質疏鬆。選項中的女士是因走路滑倒造成脊椎骨折,符合低創傷性骨折的定義。",骨質疏鬆與骨壞死,林松彥,
72,Which of the following statements is correct?,Bone modeling requires coupling of osteoclasts and osteoblasts.,Patients with osteoporosis need to take 1200 mg of calcium daily to reduce the incidence of fractures.,Prototype vitamin D3 needs to be converted into 25(OH)D3 by the kidneys to increase vitamin D3 activity.,25(OH)D < 20 ng/ml is considered vitamin D deficiency.,D,"(A)應改為remodeling (B)老師上課講義中有提到建議停經後的婦女每日補充量為1200 mg/day, 且必須同時有vitamin D才有效, 但未提到已經osteoporosis的患者, 若每日補充量為1200 mg是否有改善的效果 (C)應改為liver (D) 正確, >30 ng/ml為充足, 20-30 ng/ml為insufficiency, <20 ng/ml為deficiency",骨質疏鬆與骨壞死,林松彥,
