id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category
"11","About ankle and foot, which one is correct?","(A) The peroneal longus tendon attaches to 5th metatarsal base and everts the foot","(B) The cause of Muller Weiss disease is osteonecrosis of navicular bone. The one character of this disease is comma-shape deformity of navicular bone.","(C) The talus is the keystone of transverse arch of foot.","(D) In the syndesmosis, the tibia is concave and fibular is convex here. The anterior talofibular ligament and posterior talofibular ligament are part of the syndesmosis ligaments.","B","A) B) C) D) 是 Anterior inferior tibiofibular ligament 才 對。","足踝關節之骨科功能解剖學 陳姝蓉"
"12","About the four compartments of leg, which one is wrong?","(A) The posterior tibialis muscle belongs to deep posterior compartment, and is related to adult-acquired flatfoot deformity","(B) The major movement of muscles in anterior compartment is ankle dorsiflexion.","(C) There are deep peroneal nerve, peroneal longus and brevis in the lateral compartment. The major movement of these muscles is foot eversion.","(D) The plantaris is in superficial posterior compartment and it is a weak ankle plantarflexor.","C","此 表 格 必 考 (C)superficial peroneal nerve","足踝關節之骨科功能解剖學 陳姝蓉"
"13","Which one is wrong?","(A) Near 50% of blood supply to talus is from posterior tibial artery, which is in the deep posterior compartment.","(B) The common complication of displaced talar neck fracture is osteonecrosis of talus,","(C) The anterior talofibular ligament is most easily injured ligament when patients suffer from ankle sprain, and anterior drawer test is often positive while performing physical examination. Repeated ankle sprains may lead to lateral instability of ankle joint.","(D) The negative Thompson test means Achilles tendon rupture. Under this condition, patient totally can’t walk therefore.","D","Thompson test (+) 才 是 Achilles tendon rupture.","足踝關節之骨科功能解剖學 陳姝蓉"
"14","Observe the histological features. What is the correct combination of tissue species and section orientation in the figure?","(A) cross sectioned cardiac muscle","(B) longitudinal sectioned smooth muscle","(C) cross sectioned smooth muscle","(D) cross sectioned skeletal muscle","D","","組織學-肌腱、韌帶、肌肉 陳永佳"
"15","What is the structure indicated by the black arrow?","(A) epimysium","(B) perimysium","(C) endomysium","(D) adipocyte","C","此 題 有 申 覆 說 圖 並 沒 有 附 倍 率 或 者 個 原 始 為 縮 放 的 圖 ， 因 此 無 法 判 斷 粉 紅 色 的 區 域是 fasicle( 被 perimysium 包 圍 ) 還 是 muscle fiber( 被 endomysium 包 圍 ) ， 建 議 (B)(C) 都 給分。 老 師 回 覆 ： 如 果 是 更 小 倍 率 的 fascicle 裡 面 含 有 很 多 muscle fiber ， 則 粉 紅 色 內 部 會 有其 他 細 胞 核 存 在 ， 而 不 會 像 題 目 附 圖 上 這 樣 所 有 細 胞 核 都 在 邊 上 ， 維 持 原 答 案 (C) 。 (B) perimysium( 老 師 附 的 圖 ) ─ 粉 紅 色 內 部 & 邊 緣 都 有 細 胞 核 (C) endomysium ─ 只 有 邊 緣 有 細 胞 核","組織學-肌腱、韌帶、肌肉 陳永佳, 肌肉骨骼系統病理學 賴薇安"
"16","A 20-year-old man with known history of multiple hereditary exostosis syndrome presented with increasing pain in the knee. The patient received surgical removal for the tumor. The tumor had a cartilage cap over 2 cm in thickness. Microscopically, the tumor is partially covered by a layer of perichondrium. However, increased cellularity of the cartilagenous component with nuclear atypia is noted. Which of the following descriptions about this tumor is correct?","(A) This tumor-associated syndrome is inherited in an autosomal recessive manner.","(B) It is associated with loss of function of FGF1 or FGF2 gene.","(C) The tumor tends to arise from epiphysis of long bone.","(D) The tumor may have undergone malignant transformation to chondrosarcoma.","D","Osteochondroma 是 最 常 見 的 良 性 骨 腫 瘤 ， 好 發 於 四 肢 骨 的 metaphysis ， 特 別 容 易 發生 在 膝 蓋 附 近 ， 但 是 cap of cartilage 厚 度 通 常 為 1cm ， 超 過 則 很 可 能 發 展 成 chondrosarcoma 。 Osteochondroma 的 透 明 軟 骨 層 最 外 圍 會 被 軟 骨 膜 包 覆 ， 細 胞 密 度低 （ no increase in cellularity ） ， 而 良 性 的 osteochondroma 可 以 分 化 成 惡 性 的 chondrosarcoma ， 特 徵 是 軟 骨 層 厚 度 > 1cm 。 Osteochondroma: Chondrosarcoma:","肌肉骨骼系統病理學 賴薇安"
"17","A 48 year-old man presented with chronic pain and swelling of the right 1st meta-tarsophalangeal joint not responding to medical treatment. Surgery is performed to relieve his symptom. Which of the following description is incorrect? (Left: H&E, light microscopy; Right: polarized ligh microscopy)","(A) The H&E slide shows tophi composed of pale-staining amorphous material rimmed by histiocytes.","(B) Needle-shaped crystals are seen through polarized light.","(C) The microscopic findings suggest calcium pyrophosphate crystal deposition disease.","(D) Hyperuricemia plays a role in pathogenesis of the disease.","C","1st MTP, 顯 微 鏡 下 淡 染、 沒 有 特 殊 形 狀、 偏 光 鏡 下 看 到 針 狀 結 晶 ， 可 判 斷 為 痛 風 痛 風 成 分 是 Sodium urate monohydrate 單 鈉 鹽 尿 酸 結 晶 故 選 C","肌肉骨骼系統病理學 賴薇安"
"18","Regarding rhabdomyosarcoma, which of the following statements is less accurate?","(A) The tumor commonly occurs in the head and neck, limbs, and genitourinary system.","(B) Based on its morphology, it can be further classified into embryonal rhabdomyosarcoma, alveolar rhabdomyosarcoma, pleomorphic rhabdomyosarcoma, and spindle cell/sclerotic rhabdomyosarcoma.","(C) Rhabdomyosarcoma may grow near mucosal structures (such as the bladder or vagina) and protrude outward in a grape-like fashion, known as sarcoma botryoides.","(D) Pathologically, the diagnosis of rhabdomyosarcoma can only be made by detecting PAX3-FOXO1 and PAX7-FOXO1 gene variations.","D","(A) 正 確 ， 如 下 圖 embryonal type (B)(C) 正 確 ， 如 下 圖 的 sarcoma botryoides 和 subtypes 介 紹 (D) 錯 誤 ， PAX3-FOXO1 和 PAX7-FOXO1 gene variations 僅 適 用 於 alveolar type ， 其 他type 則 無 此 表 現","肌肉骨骼系統病理學 賴薇安"
"19","Which of the following statements about the structure of spine is CORRECT?","(A) The facet joint is composed of superior and inferior facet, and all superior facets face medially, and the inferior facets face laterally.","(B) If you want to check the neural foramen of the cervical spine, you can use the lateral view and oblique view of the cervical spine x-ray.","(C) Vertebral body spans from the anterior column to the posterior column of spine.","(D) In AP view of thoracic spine x-ray, the tracheal bifurcation can be used to estimate the position of T7.","送分","(A) 不 是 所 有 的 facets 都 面 對 一 樣 的 方 向 (B) Cervical spine x-ray Oblique view 可 以 看 到 神 經 孔 ( 如 下 圖 ) 針 對 Lateral view ， 有 同 學 提 出 申 覆 : 「老 師 上 課 時 有 提 醒 , 要 評 估 頸 椎 的 神 經 孔 ， 應 使用 頸 椎 斜 位 X 光 ; 如 需 更 細 部 的 神 經 根 或 軟 組 織 信 息 ， 則 以 CT 或 MRI 為 首 選。 此 題 目 (B)lat.view 檢 查 神 經 孔 的 敘 述 並 不 準 確 ， 請 老 師 斟 酌 給 分 ， 謝 謝 老 師。」 老 師 回 覆 「如 同 學 所 述 ， 若 要 更 細 部 的 檢 查 可 利 用 CT 或 MRI ， 並 不 代 表 cervical spine lateral view 無 法 檢 查 神 經 孔。」 (C) 如 下 圖 ， Vertebral body 的 前 ⅔ 在 Anterior column ， 後 ⅓ 在 middle column ， 並 沒 有跨 到 posterior column 。 (D) 下 左 圖 可 以 看 到 thoracic spine x ray AP view ， 藍 框 框 起 來 的 地 方 為 Tracheal Bifurcation ， 大 約 在 T4 位 置 ， 如 果 往 下 算 ， 確 實 可 以 estimate 出 T7 的 位 置。 有 同 學 提 出 申 覆 : 「已 知 tracheal bifurcation 為 T4-T5 之 高 度 ， 則 可 依 此 推 算 鄰 近 之 T7位 置 ， 因 選 項 用 字 ""estimate"",(from Oxford dictionary: ""to form an idea of the cost, size, value, etc. of something, but without calculating it exactly"") 認 為 語 意 上 並 不 是詢 問 ""exactly"" ， 故 希 望 老 師 開 放 D 選 項 ， 謝 謝 老 師。」 老 師 回 覆 同 意 D 也 給 分 : 「 B, D 皆 同 意 給 分」","脊椎之骨科功能解剖學 高志銘, 肌肉骨骼影像解剖學(3)-脊椎 高志銘"
"20","Which statement about lumbar spine x-rays is INCORRECT?","(A) In an oblique view, a Scotty Dog's tail fracture can be seen in the patient with a fracture of the transverse process of spine.","(B) The structure pointed by the arrow in the X-ray below is the facet joint of lumbar spine.","(C) The structure pointed by the arrows in these two X-ray pictures above is the pedicle of the lumbar spine.","(D) Oblique view is often used to detect pars fractures, and the pars interarticularis is located in the neck of the Scotty Dog in x-ray.","A","(A) Scotty Dog’s tail = superior articular process of opposite side","肌肉骨骼影像解剖學(3)-脊椎 高志銘"
"21","Which of the following statements about the radiologic anatomy of spine is INCORRECT?","(A) The structure pointed by the arrow in the T2-weighted image of MRI below is the spinal cord.","(B) In the T2-weighted image of MRI, the intervertebral disc and fat tissue both appear as a relative high signal intensity","(C) Atlantodens interval (ADI) in cervical spine x-ray lateral view can be used to detect the dislocation between C1 and C2.","(D) The normal thickness of the pre-vertebral soft tissue in the lateral view of cervical spine x-ray should be less than 22mm at C6 level","A","（ A ） 箭 頭 所 指 為 cauda equina （ B ） （ C ） （ D ）","肌肉骨骼影像解剖學(3)-脊椎 高志銘"
"22","Which of the following statements about the structure of spine is NOT true?","(A)Dens is part of the Atlantoaxial joint, which is responsible for cervical rotation.","(B)Pain-sensitive nerve endings supply the joint capsule, which is the main source of pain in osteoarthritis.","(C)Nutrients of the intervertebral disc are mainly obtained by passive diffusion from the end plate.","(D)The ligamentum flavum is located in the posterior column of the spine and the main function is to limit motion of spine during flexion.","D","(A) (B) (C) (D)","脊椎之骨科功能解剖學 高志銘"
"23","Which part of spine does NOT belong to the posterior ligamentous complex?","(A) ligamentum flavum","(B) interspinous ligament","(C) posterior longitudinal ligament","(D) facet joint capsule","C","Post. ligamentous complex includes ligamentum flavum, interspinous lig., facet capsule, and supraspinous lig.","肌肉骨骼影像解剖學(3)-脊椎 高志銘"
"24","Which of the following statements about the structure of spine is CORRECT?","(A) The spinal process of C7 is on the center of gravity of the spinal column in normal adult.","(B) The articular surface of the facet joint is covered with fibrocartilage, and like other joint, there is synovial fluid presented in facet joints.","(C) Nucleus pulposus has large proportion of proteoglycan and collagen, and the main function is to resist axial loads.","(D) All cervical vertebrae have vertebral body located at the front of the spine.","C","","脊椎之骨科功能解剖學 高志銘"
"25","In skeletal muscle, what components form a triad?","(A) One T-tubule and one terminal cisterna of sarcoplasmic reticulum","(B) One T-tubule and two thick filaments","(C) Two terminal cisternae of sarcoplasmic reticulum flanking one T-tubule","(D) Two caveolae and one smooth endoplasmic reticulum","C","The complex of the T tubule and the two adjacent terminal cisternae is called a “Triad.”","組織學-肌腱、韌帶、肌肉 陳永佳"
"26","Which of the following statements about different muscle types is FALSE?","(A) smooth muscle fibers have regeneration ability","(B) skeletal muscle cells can communicate via gap junctions","(C) skeletal muscle contraction is initiated by calcium binding to troponin C","(D) cardiac muscle fibers are striated and involuntary","B","這 題 是 將 BM112 題 目 稍 作 調 整 同 時 老 師 上 課 有 特 別 提 示 三 種 肌 肉 比 較 的 表 格 需 要 做 記 憶","組織學-肌腱、韌帶、肌肉 陳永佳"
"27","Which of the following statements concerning smooth muscle is TRUE?","(A) The fibers have dense bodies and well-developed smooth ER","(B) Smooth muscle fibers contain sarcomeres arranged like skeletal muscle","(C) Nuclei are located at the periphery of the cell","(D) Thick filaments are bipolar and cross-striated","A","下 表 請 熟 記 (A) 只 有 平 滑 肌 有 Dense body 這 項 Special feature (B) 骨 骼 肌 心 肌 才 有 Sacromere (C) 平 滑 肌 細 胞 的 核 在 Central (D) 平 滑 肌 的 粗 肌 絲 排 列 為 Side-polar 沒 有 Striated","組織學-肌腱、韌帶、肌肉 陳永佳"
"28","Which type of skeletal muscle fibers have the largest diameter and fatigue most easily?","(A) Slow oxidative fibers","(B) Fast oxidative fibers","(C) Intermediate fibers","(D) Fast glycolytic (anaerobic) fibers","D","螢 光 筆 處","組織學-肌腱、韌帶、肌肉 陳永佳"
"29","According to the sliding filament theory, which event occurs first during cross-bridge cycling in skeletal muscle contraction?","(A) Hydrolysis of ATP re-cocks the myosin head to its high-energy state","(B) Myosin head pivots, pulling the actin filament toward the center of the sarcomere (power stroke)","(C) ATP binds to the myosin head, causing detachment from actin","(D) Myosin head binds to the exposed active site on actin after tropomyosin moves away","D","(A) 3. Bending (B) 4. Force generation (C) 2. Release (D) 1. Attachment","組織學-肌腱、韌帶、肌肉 陳永佳"
"30","In a skeletal muscle fiber at maximal relaxation, which of the following is TRUE about the sarcomere structure?","(A) Z lines are no longer visible under the microscope","(B) The A band becomes longer than in contraction","(C) The H zone and I band are at their widest extent","(D) Thick and thin filaments completely overlap","C","(A) Z line 不 論 收 縮、 放 鬆 皆 可 見 (B) A band 不 論 收 縮、 放 鬆 皆 等 長 (C) 正 確 (D) 放 鬆 時 並 不 重 疊","組織學-肌腱、韌帶、肌肉 陳永佳"
"31","Which of the following statements about cranium development is incorrect?","(A)Most parts originate from the neural crest","(B)Parts of the neurocranium are formed by the fusion of multiple cartilages","(C)The neurocranium is the main protective structure for the brain","(D)The third and fourth pharyngeal arches contribute to the formation of the cartilaginous viscerocranium","D","(A) 正 確。 軟 骨 條 的 胚 層 來 源 notochord 為 界 ， notochord 以 上 ( 頭 ) 由 neural crest 發 育 ，以 下 來 自 paraxial mesoderm 。 (B) 是 ， 以 蝶 骨 為 例 ： hypophyseal cartilage 形 成 body ， optic capsule 則 形 成 wings (C)neurocranium 保 護 腦 ， viscerocranium 形 成 臉、 鼻 腔、 口 腔 (D)cartilaginous viscerocranium 主 要 發 育 自 第 一、 二 對 咽 弓","肌肉骨骼胚胎學 施耀翔"
"32","Which of the following is derived from endochondral ossification?","(A)Frontal bone","(B)Mandibular bone","(C) Clavicle","(D) Skull base","送分","如 圖 所 示 ， 經 由 軟 骨 內 骨 化 發 育 而 來 的 有 顱 底、 脊 椎、 骨 盆 及 長 骨 ， 但 鎖 骨 也 有 部 分（兩 端） 是 經 由 軟 骨 內 骨 化 而 來 ， 故 經 申 覆 後 也 為 正 確 答 案。 申 覆 ： 如 同 學 所 言 , 在 胚 胎 發 育 的 講 義 內 第 14 頁 的 確 提 到 鎖 骨 屬 於 軟 骨 內 骨 化 , 但 同 時 也 有 下 列 這 句 話 : Initially intramembranous ossification, then forms cartilages at both ends 意 思 是 說 鎖 骨 是 膜 內 骨 化 先 開 始 , 爾 後 才 有 兩 端 的 軟 骨 內 骨 化 進 行。 所 以 在 同 份 講 義 的 12 頁 開 始 就 有 將 其 定 義 為 膜 內 骨 化 , 因 為 其 初 級 骨 化 中 心 是 膜 內 骨 化。 但 由 於 英 文 題 幹 命 名 不 精 確 , derived from 詞 的 確 不 具 有 時 間 性 , 因 此 答 案 CD 都 給 分。 但 注 意 的 是 第 三 位 同 學 的 申 覆 內 容 有 誤 : ""Clavicle 發 育 時 開 始 先 進 行 膜 內 骨 化 , 之 後 在 兩 端 形 成 軟 骨 內 骨 化。 因 此 本 題 要 選 出 哪 個 構 造 是 源 自 於 軟 骨 內 骨 化 , 答 案 應 該 選 (C)Clavicle"" 如 同 學 所 言 , 鎖 骨 既 有 膜 內 骨 化 , 次 級 骨 化 中 心 又 是 軟 骨 內 骨 化。 因 此 如 果 要 選 純 然 的 軟 骨 內 骨 化 , 則 應 該 是 選 擇 答 案 (D)Skull base ( 顱 底 ) 較 無 爭 議","肌肉骨骼胚胎學 施耀翔"
"33","The greater cornu of the hyoid bone develops from which pharyngeal arch?","(A) First pharyngeal arch","(B) Second pharyngeal arch","(C) Third pharyngeal arch","(D) Fourth pharyngeal arch","C","如 下 圖 所 示 ， 舌 骨 大 角 由 第 三 咽 弓 發 育 而 來。","肌肉骨骼胚胎學 施耀翔"
"34","From a microscopic perspective of bone structure, which of the following contains Haversian canals?","(A) Woven bone","(B) Cancellous bone","(C) Soft callus","(D) Laminar bone","D","Haversian system 只 在 成 熟 的 Laminar bone 中 可 見 ， Spongy/Trabecular/Cancellous bone 也 是 成 熟 骨 ， 但 是 並 沒 有 Haversian system 。","骨骼組織學 施耀翔"
"35","In the process of endochondral ossification of long bones, where is the secondary ossification center located?","(A) Diaphysis","(B) Epiphysis","(C) Metaphysis","(D) Endosteum","B","","骨骼組織學 施耀翔"
"36","Osteoclasts are most commonly found in which region?","(A) Zone of cell proliferation in the epiphyseal plate","(B) Zone of hypertrophy and calcification in the epiphyseal plate","(C) Zone of reserve cartilage in the epiphyseal plate","(D) Osteogenic zone in the epiphyseal plate","D","此 題 為 國 考 題。 在 osteogenic zone ， 小 血 管 與骨 前 驅 細 胞會 侵 入 已 被 鈣 化 的 軟 骨 基 質。 Osteoclasts 會 負 責 移 除 鈣 化 軟 骨 與 初 生 骨 組 織 ， 為 新 的 骨 形 成 鋪 路。","骨骼組織學 施耀翔"
"37","Which of the following involves the participation of cartilage?","(A) Intramembranous ossification","(B) Development of osteons","(C) Direct bone healing","(D) Indirect bone healing","D","這 題 是 國 考 題 (A) Intramembranous ossification 和 cartilage 無 關 ， Endochondral ossification 才 有 (B) (C) 也 和 cartilage 無 關 (D) 形 成 soft callus 時 就 是 fibrocartilage","骨骼組織學 施耀翔"
"38","Which type of collagen fiber is most abundant in the extracellular matrix of hard bone tissue?","(A) Type I","(B) Type II","(C) Type III","(D) Type IV","A","","骨骼組織學 施耀翔"
"39","Where is the primary ossification center located during endochondral ossification of a long bone?","(A) Diaphysis","(B) Epiphysis","(C) Metaphysis","(D) Endosteum","A","依 照 Endochondral ossification 圖 示 所 示 ， primary ossification center 位 於 diaphysis","骨骼組織學 施耀翔"
"40","About spondylolisthesis , which one is wrong for the cause of its type ?","(A)Fracture of the neural arch in the pars articularis <-> traumatic","(B)Excessive removal of bone following spinal decompression <-> iatrogenic","(C)Weakening of the neural arch due to disorders of the bone <-> pathological","(D)Degenerative changes in the facet joints <-> degenerative","A","A 應 修 正 ： Fracture of the neural arch “other than” the pars articularis <-> traumatic","脊椎創傷及重建 卓進益"
"41","Which one below is wrong?","(A)Angulation greater than 20 degrees and translation of 3.5 mm or more is unstable","(B)wedge fracture with rupture of the interspinous ligaments is unstable, because the anterior and the posterior column are disrupted","(C)A burst fracture is unstable, because at least the anterior and middle column are disrupted","(D)simple anterior wedge fracture or just sprain of the posterior ligaments is also an unstable injury","D","","脊椎創傷及重建 卓進益"
"42","Which one below is right?","(A)For upper thorasic spine ( T1-T8): Axial loading will result in compressive forces anteriorly and tensile forces posteriorly","(B)for burst fracture: if there is no neurological symptoms with relative stable spine column, conservative non-surgical care is not suitable.","(C)A chance fracture is a three column injury with a vertical orientation of the fracture","(D)Osteomyelitis, discitis, or active systemic infection are suitable for cementoplasty","A","(B)for burst fracture: if there is no neurological symptoms with relative stable spine column, conservative non-surgical care is not suitable. (C)A chance fracture is a three column injury with a vertical horizontal orientation of the fracture (D)Osteomyelitis, discitis, or active systemic infection are not suitable for cementoplasty","脊椎創傷及重建 卓進益"
"43","Which of the following statements is correct?","(A) Pelvic lateral compression injury causes external rotation of the ipsilateral hemipelvis.","(B) Reverse oblique type intertrochanteric fracture is considered stable.","(C) Dislocation of the hip joint or femoral neck fracture can disrupt the blood supply and lead to femoral head osteonecrosis.","(D) The femoral head crescent sign indicates an irregular femoral contour.","C","(A) Lateral compression 會 造 成 internal rotation of the ipsilateral hemipelvis 才 對 (B) Reverse oblique type 的 intertrochanteric fracture 是 unstable (C) 發 生 femoral neck fracture 或 hip dislocation 會 容 易 導 致 med. circumflex a. 受 損造 成 股 骨 頭 壞 死 (D) 看 得 到 Crescent sign 代 表 股 骨 頭 的 輪 廓 還 是 圓 的 沒 塌 掉","肌肉骨骼影像解剖學(2)-下肢 許家豪"
"44","Which of the following statements is incorrect?","(A) Patella alta most commonly results from patellar tendon rupture.","(B) Tibial plateau fracture Schatzker Type II is a lateral plateau split-depression fracture.","(C) The blood supply of the femoral head mainly comes from the artery of the ligamentum teres.","(D) Hoffa fracture is a coronal plane fracture of the femoral condyle, often overlooked on imaging and typically requiring surgical fixation.","C","Femoral head 的 血 液 供 應 大 部 分 是 由 下 面 往 上 ， 不 是 來 自 artery of the ligamentum teres","肌肉骨骼影像解剖學(2)-下肢 許家豪"
"45","Which of the following statements is correct?","(A) Femoral shaft fractures are preferably treated with plate fixation rather than intramedullary nails.","(B) In imaging features of osteoarthritis, chondrocalcinosis is the main diagnostic criterion.","(C) Femoral neck fractures, Garden type III and IV, are generally recommended for open reduction and internal fixation (ORIF).","(D) Unstable intertrochanteric fractures of the femur should be treated with a proximal femoral nail (PFN).","D","(A) shaft fracture 最 好 還 是 用 髓 內 釘 (B) OA characteristic: joint space narrowing, osteophyte, subchondral sclerosis, subchondral cyst (C) garden type 3,4 因 為 發 生 移 位 ， 發 生 缺 血 骨 壞 死 的 機 率 高 ， 不 建 議 做 ORIF (D) unstable type 用 髓 內 釘 固 定 效 果 比 較 好","肌肉骨骼影像解剖學(2)-下肢 許家豪"
