id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,ai_explanation
11,消化道的肌肉與神經組織中哪一層具備有黏膜肌?,漿液層​,平滑肌​,黏膜下層​,黏膜層,D,,消化系統生理學(II)：上下消化道生理學,消化道的結構中，黏膜層是最內層，包含了黏膜肌，這些肌肉有助於促進食物的混合和推進。黏膜肌的收縮能夠改變黏膜的形狀，進而影響消化過程。因此，選項D是正確答案，因為它明確指出了具備黏膜肌的層次。
12,下列胃腸道器官的基礎電節律(Basic electric rhythm)是最慢的?,stomach,duodenum,distal ileum,cecum,D,,消化系統生理學(II)：肝、膽、胰,基礎電節律是指消化道各部分的自發性電活動頻率。根據研究，盲腸的基礎電節律是最慢的，這意味著它的收縮頻率最低，這對於食物的處理和吸收有重要影響。因此，選項D是正確答案，因為它指出了基礎電節律最慢的器官。
13,"下列敘述,何者錯誤?",pseudomembranous colitis 的主要致病菌是 Clostridium difficile,Bacteroides fragilis 是內生性也是外源性感染之致病菌,引起 gas gangrene 的主要致病菌是 Clostridium perfringens,上述三種細菌皆是厭氧菌,B,主要是內生性的感染,消化系統之細菌感染(II) 張玲麗,選項B提到的Bacteroides fragilis確實是一種厭氧菌，並且通常是內生性感染的主要致病菌。然而，它也可以引起外源性感染，因此這個選項的描述並不完全正確。其他選項均正確地描述了各自的細菌及其特性。因此，選項B是正確答案，因為它的敘述存在誤導。
14,下列對Clostridium septicum（敗血梭狀芽胞桿菌）之敘述何者錯誤?,引起myonecrosis 之相關致病菌,感染被認為是因腸道黏膜完整性受損，透過血源性傳播引起菌血症及組織感染,與腸道開刀後續引發之組織感染、壞死有關,"此菌侵襲性(invasive)強,因此感染之病灶會急速外擴、病程進展快速",C,C選項改成改成透過血源性傳播引起,消化系統之細菌感染(II) 張玲麗,Clostridium septicum是一種與肌肉壞死相關的致病菌，通常在腸道黏膜受損的情況下透過血源性傳播引起感染。選項C的描述不正確，因為它暗示了這種細菌的感染僅與腸道手術有關，而事實上，它的感染機制更為複雜，並不僅限於手術後的情況。因此，選項C是正確答案，因為它的敘述不夠全面。
15,以下何者是前腸foregut 或前腸衍生物 foregut derivatives 發育而來？,胰臟 pancreas,降結腸 descending colon,空腸 jejunum,十二指腸遠端 distal part of duodenum,A,(A)胰臟來自前腸(foregut) (B) 降結腸來自後腸(hindgut) (C)(D)空腸、十二指腸遠端來自中腸(midgut),消化系統胚胎學 陳永佳,前腸（foregut）是胚胎發育過程中的一部分，主要發育成食道、胃、胰臟及部分十二指腸。選項A中的胰臟確實是前腸的衍生物，而其他選項如降結腸則來自後腸，空腸和十二指腸遠端則來自中腸。因此，選項A是正確答案，因為它正確地指出了前腸的衍生物。
16,下列那個器官為中腸尾端 caudal limb of midgut 發育而來？,脾臟 spleen​,胰臟的尾部 tail of pancreas​,空腸 jejunum​,迴腸下段,D,(A) Spleen 來自背側胃繫膜 Dorsal Mesogastrium (B) Tail of pancreas 來自 foregut (dorsal pancreatic bud) (C) Jejunum 來自cranial limb of midgut,消化系統胚胎學 陳永佳,中腸的尾端（caudal limb of midgut）發育出迴腸下段，這是因為中腸的發育過程中，尾端部分最終形成了迴腸。脾臟和胰臟的尾部則分別來自不同的胚胎來源，脾臟來自背側胃繫膜，而胰臟的尾部來自前腸的背側胰芽。空腸則是來自中腸的頭端部分。因此，正確答案是D，迴腸下段。
17,以下關於梅克爾憩室Meckel’s diverticulum 何者為非？,又稱迴腸憩室,卵黃管 vitelline duct 退化不全所導致,糞便會從肚臍處漏出,,C,,消化系統胚胎學 陳永佳 M110共筆,梅克爾憩室是由卵黃管的退化不全所形成的，通常被稱為迴腸憩室。雖然梅克爾憩室可能會引起一些症狀，但糞便從肚臍處漏出並不是其特徵或常見現象。因此，選項C是錯誤的，正確答案是C。
18,以下何者為後腸hindgut發育而來 ?,升結腸 ascending colon,脾臟 spleen,近端橫結腸 proximal transverse colon,降結腸 descending colon,D,"由後腸hindgut發育而來：distal third of transverse colon, descending colon, sigmoid, rectum, upper anal canal",消化系統胚胎學 陳永佳,後腸（hindgut）是消化道的一部分，主要發育出降結腸、直腸及上肛管。升結腸和近端橫結腸則是由中腸發育而來，而脾臟則來自背側胃繫膜的間質細胞。因此，正確答案是D，降結腸。
19,下列部位何處每日吸收水份量最多?,Ascending colon,Jejunum,Cecum,Duodenum,B,如圖示，小腸的空腸是每日吸收水份量最多的地方！,消化系統簡介 王耀廣,空腸是小腸的一部分，負責吸收大量的水分和營養物質。研究顯示，空腸的結構和功能使其成為水分吸收的主要部位，這是因為其擁有較大的表面積和豐富的微絨毛。相比之下，其他部位如升結腸和十二指腸的水分吸收能力較低。因此，正確答案是B，空腸。
20,下列何者為可能造成急性腹瀉的原因?,(1)細菌感染​ (2)抗生素​,(1) + (2) + (4),(1) + (2) + (3),(1) + (2) + (3) + (4),B,造成急性腹瀉的原因：感染、食物過敏、食物中毒、藥物、慢性腹瀉的初始表現,消化系統簡介 王耀廣,急性腹瀉的常見原因包括細菌感染和某些藥物（如抗生素），這些因素可以導致腸道菌群失衡，進而引發腹瀉。選項B包含了細菌感染和抗生素的組合，這是造成急性腹瀉的主要原因之一。因此，正確答案是B。
21,Enteropathy-associated T-cell lymphoma 與什麼疾病最相關?,Crohn's disease,ulcerative colitis,tuberculosis,Celiac Disease,D,,消化道病理學(II) 馬佑鈞,Enteropathy-associated T-cell lymphoma（EATL）是一種與腸道疾病密切相關的淋巴瘤，特別是與乳糜瀉（Celiac Disease）有著強烈的關聯。乳糜瀉患者因為長期的腸道炎症和免疫反應，增加了發展成EATL的風險。因此，正確答案是D，Celiac Disease。
22,有關巴雷特氏食道（Barrett esophagus）的敘述，下列何者最錯誤？,最好發於多飲酒之歐洲男性,是逆流性食道炎（reflux esophagitis）的併發症,是食道腺癌（adenocarcinoma）的危險因子之一,組織學特徵是在食道黏膜看見戒環狀(signet-ring)細胞,D,D應更改為squamous esophageal epithelium with goblet cells，另外signet-ring cells出現在gastric adenocarcinoma diffuse type，但少見。,消化道病理學(II) 馬佑鈞,巴雷特氏食道是一種由於長期的逆流性食道炎引起的病變，通常會導致食道黏膜的變化，形成具有杯狀細胞的鱗狀上皮。選項D提到的戒環狀細胞是胃腺癌的特徵，而不是巴雷特氏食道的特徵，因此選項D是錯誤的，正確答案是D。
23,下列何種組織型態預後最好?,"appendiceal neuroendocrine tumor, grade 1.",Adenocarcinoma,small cell carcinoma,clear cell sarcoma,A,(A) 闌尾神經內分泌腫瘤，1級：這類腫瘤通常生長緩慢，惡性度低，且在發現時多數尚處於早期，手術切除後預後相對良好。,消化道病理學(II) 馬佑鈞,"闌尾神經內分泌腫瘤（grade 1）通常生長緩慢，且在早期發現時，手術切除後的預後相對良好。相比之下，腺癌和小細胞癌的惡性程度較高，預後較差。因此，正確答案是A，appendiceal neuroendocrine tumor, grade 1。"
24,下列何種腸道阿米巴致病性最高?,Amoeba histolytica,Entamoeba dispar,Entamoeba invadens,Entamoeba polecki,A,常造成壞死性腸炎 蠻重要的！,消化道病理學(II) 馬佑鈞,Amoeba histolytica 是引起阿米巴痢疾的主要病原體，具有高度的致病性，能夠引起壞死性腸炎，對人體健康造成嚴重威脅。其他的阿米巴如Entamoeba dispar和Entamoeba polecki則相對無害。因此，正確答案是A，Amoeba histolytica。
25,下列何者在粘膜下層(submucosa)會有腺體 (submucosal gland)?,十二指腸 (duodenum),空腸 (jejunum),胃 (stomach),直腸 (rectum),A,有Brunner’s gland,消化系統組織學 林含貞,十二指腸的粘膜下層含有布倫納腺（Brunner’s gland），這些腺體分泌碱性液體以中和胃酸，並提供消化酶。相比之下，空腸、胃和直腸的粘膜下層則不具此類腺體。因此，正確答案是A，十二指腸。
26,下列敘述何者錯誤？,壁細胞(parietal cell)分泌 HCl,賁門腺 (cardiac glands)主細胞 (chief cell)最多,幽門腺(pyloric glands 的 pit 跟 gland 的深度比約 2:1,壁細胞(parietal cell)分泌內在因子 (intrinsic factor),B,(A) (B)(C) (D),消化系統組織學 林含貞,在消化系統中，壁細胞主要負責分泌鹽酸（HCl），這是正確的敘述。賁門腺的主細胞並不是最多的細胞類型，這是錯誤的，因此選擇B作為正確答案。幽門腺的pit和gland的深度比為2:1是正確的，並且壁細胞確實分泌內在因子，這對於維生素B12的吸收至關重要。
27,玻片標籤遺失，冰粽哥在顯微鏡下觀察到此玻片上皮具有杯狀細胞(goblet cells)，請問此玻片“不可能”是下列何種器官？,胃 (stomach),小腸 (small intestine),大腸 (colon),直腸 (rectum),A,老師上課時特別強調胃部沒有goblet cells!,消化系統組織學 林含貞,杯狀細胞（goblet cells）是分泌黏液的細胞，通常存在於小腸、大腸和直腸等部位，但胃部的上皮細胞並不包含這些細胞。因此，選擇A作為正確答案是合理的，因為胃的上皮主要由柱狀上皮組成，並不具備杯狀細胞。
28,下列何者不是用來增加表面積的構造？,胃的皺褶 (rugae),小腸的環狀皺襞 (plica circulares),絨毛 (villi),微絨毛 (microvilli),A,,消化系統組織學 林含貞,胃的皺褶（rugae）主要是為了容納食物的擴張，而不是用來增加表面積。相對地，小腸的環狀皺襞、絨毛和微絨毛都是用來增加表面積以促進營養吸收的結構。因此，選擇A作為正確答案是合適的。
29,下列有關牙齒的敘述何者正確？,珐瑯質 (enamel)是由牙本質細胞 (odontoblasts)所分泌形成,齒堊質 (cementum)覆蓋牙冠 (crown),Tomes’process 是牙本質細胞(odontoblasts)伸到牙本質(dentin)的突起,contour lines of Retzius 可以在珐瑯質 (enamel)觀察到,D,"(A)珐瑯質 (enamel)是由ameloblast所形成
(B)珐瑯質 (enamel)覆蓋牙冠 (crown)
(C)Tomes’process 是ameloblast伸到珐瑯質 (enamel)的突起",消化系統組織學 林含貞,牙齒的結構中，珐瑯質是由成釉細胞（ameloblasts）所分泌形成，而不是牙本質細胞（odontoblasts）。齒堊質覆蓋的是牙根，而不是牙冠。Tomes’process是成釉細胞的突起，伸展至珐瑯質中。因此，選擇D作為正確答案是正確的，因為Retzius的輪廓線確實可以在珐瑯質中觀察到。
30,關於唾液腺 (salivary glands)的敘述，下列何者錯誤？,腮腺 (parotid glands)為最大的唾液腺,閏管(intercalated duct)在舌下腺 (sublingual glands)很發達,頜下腺 (submandibular glands)是混合腺體 (mixed gland),舌下腺 (sublingual glands)的 H&E 染色切片可以觀察到 serous demilune 的構造,B,唾液腺中intercalated duct 最發達的是parotid gland，sublingual gland的intercalated duct並不發達，甚至消失,消化系統組織學 林含貞,腮腺確實是最大的唾液腺，頜下腺是混合腺體，並且舌下腺的H&E染色切片可以觀察到serous demilune的結構。選擇B作為正確答案是因為舌下腺的閏管並不發達，這與其他唾液腺的結構有所不同。
31,關於味蕾(taste buds)的敘述何者正確？,絲狀乳頭 (filiform papilla)含有味蕾,蕈狀乳頭 (fungiform papilla)的味蕾位於乳頭側邊,葉狀乳頭 (foliate papilla)的味蕾位於乳頭頂端,神經上皮細胞(neuroepithelial cells)是味蕾中數量最多的細胞,D,"(A) 絲狀乳頭 (filiform papilla)不含有味蕾
(B) 蕈狀乳頭 (fungiform papilla)的味蕾位於乳頭頂端
(C) 葉狀乳頭 (foliate papilla)的味蕾位於乳頭側邊",消化系統組織學 林含貞,味蕾主要由神經上皮細胞組成，這些細胞負責感知味覺。絲狀乳頭不含味蕾，而蕈狀乳頭的味蕾位於頂端，葉狀乳頭的味蕾則位於側邊。因此，選擇D作為正確答案是正確的，因為神經上皮細胞確實是味蕾中數量最多的細胞。
32,成釉細胞 (ameloblasts)發育自,inner enamel epithelium,outer enamel epithelium,dental sac,dental papilla,A,primordial of enamel -> inner enamel epithelium -> ameloblast(製造 enamel),消化系統組織學 林含貞,成釉細胞（ameloblasts）是從內成釉上皮（inner enamel epithelium）發育而來，這些細胞負責製造牙齒的珐瑯質。這一過程是牙齒發育中的重要步驟，因此選擇A作為正確答案是正確的。
33,關於肝細胞的敘述何者錯誤？,細胞質呈嗜酸性染色 (acidophilic),具有再生能力,會和伊東細胞 (Ito cell)形成膽小管 (bile canaliculus),細胞質有脂褐素 (lipofuscin),C,"Ito cells are a part of perisinusoidal space (Space of Disse), not bile canaliculus. Bile canaliculi are formed by hepatocytes.",消化系統組織學 林含貞,肝細胞具有再生能力，並且其細胞質呈嗜酸性染色，且含有脂褐素。選擇C作為正確答案是因為伊東細胞（Ito cells）並不參與膽小管的形成，膽小管是由肝細胞（hepatocytes）形成的。
34,下列關於肝臟的敘述何者錯誤？,毛細膽管 (canal of Hering)管壁皆由膽管上皮細胞(cholangiocytes)構成,伊東細胞位於迪氏空間 (space of Disse),庫氏細胞 (Kupffer cells)位於肝臟竇狀微血管 (sinusoids)管壁,肝臟缺血時最先受到傷害的是肝腺泡 (hepatic acinus)的第三區 (zone 3),A,"Canal of Hering 由膽管上皮細胞cholangiocytes+ 肝細胞Hepatocytes 兩種細胞組合而成
(D) 選項思路，Zone 1 靠近肝門靜脈+肝動脈，養分與氧氣都會是給與量最多。Zone3 靠近肝靜脈，屬於供給的末端。遇到缺血壓力自然容易受傷",消化系統組織學 林含貞,毛細膽管的管壁並不是僅由膽管上皮細胞組成，還包括肝細胞，因此選擇A作為正確答案。伊東細胞確實位於迪氏空間，而庫氏細胞則位於肝臟的竇狀微血管中。肝臟缺血時，第三區（zone 3）最先受到傷害，因為它最遠離血液供應。
35,關於膽囊壁的組織學構造敘述，下列何者正確？,具有粘膜下層 (submucosa),肌外層 (muscularis externa)的平滑肌走向為內環外縱,粘膜肌層 (muscularis mucosa)很明顯,固有層 (lamina propria)富含穿孔型的微血管 (fenestrated capillaries),D,"(A)(C)gallbladder wall 沒有muscularis mucosae和submucosa
(B)膽囊平滑肌的走向隨機排列，不同於消化道的內環外縱",消化系統組織學 林含貞,膽囊的組織結構中，固有層確實富含穿孔型的微血管，這有助於膽囊的功能。膽囊壁並不具備明顯的粘膜下層或粘膜肌層，且其平滑肌的走向是隨機排列的，而非傳統的內環外縱排列。因此，選擇D作為正確答案是正確的。
36,關於胰臟的敘述，下列何者錯誤?,泡心細胞屬於胰臟的外分泌細胞,用電子顯微鏡觀察𝛽 cell的顆粒中間有結晶的構造,用H&E染色無法區分蘭氏小島中的內分泌細胞,外分泌部的腺泡組成細胞內部有許多嗜酸性的酶原顆粒,A,"屬於管道細胞,而非外分泌細胞",消化系統組織學 林含貞,胰臟的泡心細胞（centroacinar cells）是胰臟外分泌腺的組成部分，主要負責分泌消化酶。選項A的描述是錯誤的，因為泡心細胞實際上屬於管道細胞，而非外分泌細胞。這一點在胰臟的組織學中是非常重要的，因為它們在胰臟的功能中扮演著關鍵角色。其他選項的描述則是正確的，特別是關於𝛽細胞的結構和H&E染色的特性。了解這些細胞的功能和分類對於學習胰臟的生理和病理至關重要。
37,關於偽膜性大腸炎的敘述，何者正確？,此為一自體免疫性疾病。,此疾病由病毒毒素所造成。,偽膜指的是在腸道表面的一層膜狀構造，由壞死上皮組織與發炎滲出物所構成。,此疾病的發生與先前使用化學治療藥物有關。,C,,病理學實驗：消化道系統,偽膜性大腸炎（Pseudomembranous colitis）是一種由Clostridium difficile感染引起的腸道疾病，特徵是腸道表面形成偽膜，這層膜由壞死的上皮細胞和發炎的滲出物組成。選項C正確地描述了這一特徵。其他選項則不正確，因為偽膜性大腸炎並不是自體免疫性疾病，也不是由病毒毒素引起的，而是與抗生素的使用有關。了解這種疾病的病理特徵對於臨床診斷和治療至關重要。
38,下列三圖均為大腸組織切片。由左到右分別為？,"Adenocarcinoma, tubular adenoma, normal mucosa","Normal mucosa, adenocarcinoma, tubular adenoma","Tubular adenoma, adenocarcinoma, normal mucosa","Normal mucosa, adenocarcinoma, normal mucosa",B,,病理學實驗：消化道系統,在大腸組織切片的分析中，正確的順序是正常黏膜、腺癌和管狀腺瘤。選項B正確地反映了這一點。正常黏膜顯示健康的腸道組織，而腺癌則顯示腫瘤細胞的異常增生，管狀腺瘤則是良性腫瘤的表現。這些切片的識別對於病理學診斷至關重要，因為它們能夠幫助醫生確定腸道疾病的性質和嚴重程度。
39,下圖顯示一食道腫瘤，關於此腫瘤的敘述何者錯誤？,此腫瘤為食道最常見的惡性腫瘤。,此腫瘤的特色為細胞質豐富、可能觀察到Keratin pearl與dyskeratotic cells。,可發現排列凌亂之腫瘤細胞侵犯間質，所以此為一侵襲癌。,此腫瘤位於消化道，屬於腺癌的一種。,D,"D. Keratin pearls and dyskeratotic cell屬於Squamous cell carcinoma的特徵, 不是腺癌",病理學實驗：消化道系統,食道腫瘤中，最常見的惡性腫瘤是鱗狀細胞癌，而非腺癌。選項D的描述是錯誤的，因為鱗狀細胞癌的特徵包括Keratin pearl和dyskeratotic cells，這些特徵在腫瘤的細胞質中可見。其他選項正確地描述了腫瘤的特徵和行為，強調了其侵襲性和細胞排列的異常。了解這些特徵對於正確診斷和治療食道腫瘤至關重要。
40,下列有關腸內桿菌科細菌的敘述何者錯誤？,"可發酵葡萄糖，不具有氧化酶，可發酵乳糖者如E. coli, Klebsiella，在MacConkey agar形成粉紅至紫色的菌落",O抗原是細胞壁脂多醣體的一部分，對熱穩定,吃漢堡及生菜沙拉後，出現出血性腹瀉症狀，且可能併發溶血性尿毒症的病原菌，最有可能是侵襲性大腸桿菌EIEC,無症狀的傷寒沙門氏桿菌帶原者如傷寒瑪莉，通常細菌最常躲在帶原者的膽囊中,C,(C)選項：腸出血性大腸桿菌或志賀毒性大腸桿菌，特別是O157血清型，這種菌株與出血性腹瀉及溶血性尿毒症有密切關聯。EIEC會侵入大腸內層上皮細胞，並在細胞內繁殖，導致細胞破壞，最終造成腸道的炎症和潰瘍。,消化系統之細菌感染(I),腸內桿菌科的細菌中，EIEC（侵襲性大腸桿菌）並不是引起出血性腹瀉的主要病原菌。實際上，腸出血性大腸桿菌（EHEC）或志賀毒性大腸桿菌（STEC），特別是O157血清型，與出血性腹瀉及溶血性尿毒症有密切關聯。選項C的描述是錯誤的，因為EIEC主要通過侵入腸道上皮細胞引起炎症，而不是直接導致出血性腹瀉。了解這些細菌的致病機制對於臨床診斷和治療至關重要。
41,下列病原菌的敘述，何者錯誤？,蠟狀桿菌因食入受汙染的米飯而引起的食物中毒，是由對熱敏感性腸毒素導致病人腹瀉,金黃色葡萄球菌的食物中毒通常症狀不會持續超過24小時且不需使用抗生素治療,志賀氏桿菌以人類為宿主，會侵入腸道細胞並在細胞間擴散，是桿菌性痢疾的主要病原菌,肝硬化或肝癌病人生食海鮮，特別是生蠔，可能因感染創傷弧菌而導致進展快速的敗血症,A,(A)錯誤。蠟狀桿菌因食入受汙染的米飯而引起的食物中毒，是由對熱敏感性腸毒素導致病人腹瀉: 為熱穩定腸毒素,消化系統之細菌感染(I),蠟狀桿菌（Bacillus cereus）引起的食物中毒主要是由熱穩定腸毒素所致，而非對熱敏感性腸毒素。選項A的描述是錯誤的，因為這種細菌的腸毒素在高溫下仍然能夠存活，導致腹瀉。其他選項的描述則是正確的，特別是金黃色葡萄球菌的食物中毒通常症狀短暫且不需抗生素治療。了解這些病原菌的特性對於預防和治療食物中毒至關重要。
42,引起腸胃炎的大腸桿菌與其致病機轉間的配對，何者錯誤？,Enterotoxigenic E. coli (ETEC): 產生腸毒素，導致水分及電解質流失,Enteropathogenic E. coli (EPEC): 細菌在小腸上皮細胞上產生如堆疊磚塊般的聚集黏附，減少液體吸收,Shiga toxin-producing E. coli (STEC): 產生Shiga toxin stx1或stx2,Enteroinvasive E. coli (EIEC): 侵入並破壞大腸表皮，造成黏膜潰瘍發炎,B,"選項(B)為Enteroaggregative E. coli(EAEC)之致病機轉，故(B)錯誤。Enteropathogenic E. coli (EPEC)之致病機轉描述為：「EPEC附著到小腸上皮後會產生附著和抹殺的組織病理變化, 破壞腸道微絨毛，導致腸道吸收不良而造成水瀉」。",消化系統之細菌感染(I),在腸胃炎的大腸桿菌中，選項B的描述是錯誤的。Enteropathogenic E. coli（EPEC）的致病機轉是通過附著到小腸上皮細胞並引起附著和抹殺（A/E）變化，這會破壞腸道微絨毛，導致液體吸收不良，最終引起水瀉。選項B將其與Enteroaggregative E. coli（EAEC）的機轉混淆，這是錯誤的。了解這些細菌的致病機轉對於臨床診斷和治療至關重要。
