id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,ai_explanation
22,前下腹壁的皮下脂肪主要存在於下列那一層？,Camper's fascia,Scarpa's fascia,腹橫筋膜（transversalis fascia）,,A,,解剖學,Camper's fascia 是前下腹壁的皮下脂肪層，主要由脂肪組織組成，提供保護和支持。Scarpa's fascia 則是更深層的結締組織，並不含有大量脂肪。
23,關於前列腺（prostate），下列敘述何者錯誤？,除了腺體組織（glandular tissue），也含纖維肌肉組織（fibromuscular tissue）,後表面靠近直腸（rectum）,其血液供應最主要來自上膀胱動脈（superior vesical artery）,前列腺靜脈叢（prostatic venous plexus）和膀胱靜脈叢（vesical venous plexus）相連通,C,,解剖學,前列腺的主要血液供應來自下膀胱動脈（inferior vesical artery）而非上膀胱動脈，因此選項 C 是錯誤的。前列腺的血液供應與其解剖位置密切相關。
24,關於陰莖深背靜脈（deep dorsal vein of penis），下列敘述何者正確？,主要收集陰莖皮膚的血液,走在陰莖背面，位於巴克氏筋膜（Buck's fascia）的淺層,穿過陰莖襻狀韌帶（fundiform ligament of penis）進入骨盆腔,進入骨盆腔後會將血液注入前列腺靜脈叢（prostatic venous plexus）,C,,解剖學,陰莖深背靜脈位於陰莖的背面，並且在進入骨盆腔後會將血液注入前列腺靜脈叢。這條靜脈的功能是收集陰莖的靜脈血，並將其引流至更大的靜脈系統。
25,關於男性會陰部肌肉，下列敘述何者正確？,坐骨海綿體肌（ischiocavernosus）收縮可壓迫陰莖球（bulb of penis），有助於維持陰莖勃起,於排尿後期，球海綿體肌（bulbospongiosus）收縮有助於將尿道內殘留尿液排出,坐骨海綿體肌（ischiocavernosus）附著於會陰體（perineal body）,會陰淺橫肌（superficial transverse perineal muscle）附著於坐骨棘（ischial spine）,A,,解剖學,坐骨海綿體肌的收縮確實有助於壓迫陰莖球，從而維持陰莖的勃起。這是因為該肌肉的收縮會增加陰莖內的血液壓力，促進勃起的維持。
26,關於膀胱（urinary bladder）的神經支配，下列敘述何者錯誤？,下腹神經（hypogastric nerves）包含支配膀胱的交感神經纖維（sympathetic fibers）,薦內臟神經（sacral splanchnic nerves）包含支配膀胱的副交感神經纖維（parasympathetic fibers）,交感神經纖維（sympathetic fibers）可刺激尿道內括約肌（internal urethral sphincter）收縮,副交感神經纖維（parasympathetic fibers）可刺激逼尿肌（detrusor muscle）收縮,B,,生理學,選項 B 是錯誤的，因為薦內臟神經主要負責副交感神經的支配，而不是交感神經。副交感神經纖維主要來自薦神經，並且對膀胱的逼尿肌有刺激作用。
27,下列何者是鎖骨下動脈（subclavian artery）的直接分支？,上胸動脈（superior thoracic artery）,外胸動脈（lateral thoracic artery）,內胸動脈（internal thoracic artery）,胸肩峰動脈（thoraco-acromial artery）,A,,解剖學,鎖骨下動脈的直接分支包括上胸動脈、外胸動脈、內胸動脈和胸肩峰動脈。這些動脈供應胸部和上肢的血液，對於維持這些區域的血液供應至關重要。
28,下列何動作不是大腿前肌群的作用？,彎曲髖關節（flex hip joint）,外旋大腿（laterally rotate thigh）,伸直膝關節（extend knee joint）,伸直髖關節（extend hip joint）,B,,生理學,大腿前肌群主要負責伸直膝關節和彎曲髖關節，而外旋大腿並不是其主要功能。因此，選項 B 是正確答案。
29,下圖黑色陰影區域的表皮感覺神經來自：,正中神經（median nerve）,肌皮神經（musculocutaneous nerve）,橈神經（radial nerve）,尺神經（ulnar nerve）,,,解剖學,由於缺乏圖像，無法確定黑色陰影區域的具體神經來源。通常，表皮感覺神經的來源取決於該區域的解剖位置，可能涉及正中神經、橈神經或尺神經等。
30,股骨（femur）的內收結節（adductor tubercle）位於何處？,大轉子（greater trochanter）內側,內上髁（medial epicondyle）上方,外上髁（lateral epicondyle）下方,小轉子（lesser trochanter）外方,B,,解剖學,內收結節位於股骨的內上髁上方，這是股骨的一個重要解剖標記，對於肌肉附著及運動功能有重要影響。
31,下列何者不是膕動脈（popliteal artery）的分支？,降膝動脈（descending genicular artery）,上膝動脈（superior genicular artery）,中膝動脈（middle genicular artery）,下膝動脈（inferior genicular artery）,D,,解剖學,膕動脈的主要分支包括降膝動脈、上膝動脈和中膝動脈，而下膝動脈並不是其分支之一，因此選擇D。
32,下列何者不是由神經嵴細胞（neural crest cell）衍生而成？,黑色素細胞（melanocyte）,交感節後神經元（postganglionic sympathetic neuron）,甲狀腺之濾泡細胞（follicular cell of thyroid gland）,腎上腺髓質之嗜鉻細胞（chromaffin cell of adrenal medulla）,C,,胚胎及發育生物學,神經嵴細胞是胚胎發育過程中重要的細胞來源，能夠分化成多種細胞類型，但甲狀腺之濾泡細胞並不是由神經嵴細胞衍生的，因此選擇C。
33,舌（tongue）的發育過程中，那一咽弓會形成聯合部（copula），且最後會被擠壓而消失？,第一咽弓（first pharyngeal arch）,第二咽弓（second pharyngeal arch）,第三咽弓（third pharyngeal arch）,第四咽弓（fourth pharyngeal arch）,B,,胚胎及發育生物學,在舌的發育過程中，第二咽弓形成聯合部，並在發育過程中被擠壓而消失，這是舌部位發育的重要步驟。
34,女性陰道（vagina）的發育，是由下列那兩個構造共同形成？,中腎管（mesonephric duct）與尿殖竇（urogenital sinus）,中腎管（mesonephric duct）與竇陰道球泡（sinovaginal bulb）,副中腎管（paramesonephric duct）與竇陰道球泡（sinovaginal bulb）,副中腎管（paramesonephric duct）與生殖結節（genital tubercle）,C,,胚胎及發育生物學,女性陰道的發育主要是由副中腎管和竇陰道球泡共同形成，這是女性生殖系統發育的關鍵過程。
35,內側臍韌帶（medial umbilical ligament）主要為何構造的遺跡？,臍動脈（umbilical artery）,臍靜脈（umbilical vein）,靜脈導管（ductus venosus）,動脈導管（ductus arteriosus）,A,,解剖學,內側臍韌帶是臍動脈的遺跡，這是胎兒期臍動脈在出生後退化形成的結構，對於理解胎兒循環系統的變化非常重要。
36,神經垂體部（neurohypophysis）是衍生自：,端腦（telencephalon）,間腦（diencephalon）,中腦（mesencephalon）,髓腦（myelencephalon）,B,,胚胎及發育生物學,神經垂體部是由間腦發育而來，這一部分在內分泌系統中扮演著重要角色，負責釋放多種激素。
37,下列那個接合構造，不會出現在上皮細胞的側面（lateral domain）？,間隙接合（gap junction）,黏連接合（adhering junction）,半橋粒（hemidesmosome）,緊密接合（tight junction）,C,,組織學,半橋粒主要位於上皮細胞的基底面，而不是側面，因此選擇C。其他接合構造如間隙接合、黏連接合和緊密接合均可在側面找到。
38,下列有關成熟骨骼肌細胞（skeletal muscle cell）的敘述，何者正確？,相鄰的細胞之間藉由間隙接合（gap junction）傳遞訊息,細胞膜（plasma membrane）內凹形成終池（terminal cisternae）,一個終池與兩條相鄰的T 小管（T tubules）共同組成三聯體（triad）,三聯體（triad）分布於肌節（sarcomere）的明帶與暗帶交接處（A-I junction）,C,,生理學,成熟骨骼肌細胞的三聯體由一個終池和兩條T小管組成，這一結構對於肌肉收縮的調控至關重要。
39,下列何者不存在於關節面的軟骨（cartilage of articular surface）？,軟骨膜（perichondrium）,玻尿酸（hyaluronan）,透明軟骨（hyaline cartilage）,同源細胞群（isogenous group）,A,,組織學,關節面的軟骨通常不具有軟骨膜，因為這種軟骨是直接與關節液接觸的，並且其結構特點使其不需要軟骨膜的支持。
40,關於骨生成（bone formation）的敘述，何者正確？,扁平骨（flat bone）的生成主要是靠軟骨內骨化作用（endochondral ossification）,膜內骨化（intramembranous ossification）時，骨針（spicule）加大並形成骨小樑連結（trabecular network），使骨增厚，稱做間質性生長（interstitial growth）,長骨（long bone）進行軟骨內骨化（endochondral ossification）時，會出現初級及次級的骨化中心（primary and secondary ossification centers）,軟骨內骨化（endochondral ossification）時，蝕骨細胞（osteoclast）會在肥大區（zone of hypertrophy）中分解骨質,C,,胚胎及發育生物學,在骨生成過程中，長骨的發育主要依賴於軟骨內骨化，這一過程中會形成初級和次級的骨化中心。選項C正確地描述了這一過程，而其他選項則包含了不正確的描述。
41,交感神經節（sympathetic ganglion）內的神經元，多屬於下列何種形態？,多極型（multipolar）神經元,雙極型（bipolar）神經元,偽單極（pseudounipolar）神經元,偽單極（pseudounipolar）神經元與雙極型（bipolar）神經元混合,A,,解剖學,交感神經節的神經元主要是多極型神經元，這些神經元在結構上具有多個樹突，能夠接收來自其他神經元的信號。這使得選項A成為正確答案。
42,下列何種細胞最不可能出現在嗅覺上皮（olfactory epithelium）？,支持細胞（supporting cell）,基底細胞（basal cell）,刷狀細胞（brush cell）,杯狀細胞（goblet cell）,D,,組織學,嗅覺上皮主要由嗅覺感受器細胞、支持細胞和基底細胞組成，而杯狀細胞通常存在於其他類型的上皮中，如呼吸道上皮，因此選項D是最不可能出現在嗅覺上皮中的細胞。
43,消化道中，下列何者不與其它三者位於同一器官？,絨毛（villi）,乳糜管（lacteal）,環皺襞（plicae circulares）,結腸帶（teniae coli）,D,,解剖學,絨毛、乳糜管和環皺襞都是小腸的結構，而結腸帶則是結腸的特徵，因此選項D不屬於同一器官。
44,有關表皮（epidermis）中的蘭氏細胞（Langerhans cell）之敘述，何者正確？,均勻分布在表皮的五層細胞中,常發現在基底層（stratum basale）,是抗原呈現細胞（antigen-presenting cell）,為機械性受器（mechanoreceptor）,C,,組織學,蘭氏細胞是表皮中的抗原呈現細胞，負責捕捉和呈現抗原給免疫系統，因此選項C是正確的。其他選項的描述不符合蘭氏細胞的特性。
45,關於甲狀腺濾泡（thyroid follicle）構造和功能的敘述，下列何者正確？,甲狀腺是由許多大小相似（直徑約2 mm）之甲狀腺濾泡所組成,甲狀腺濾泡細胞（follicular cell）環繞甲狀腺膠體（colloid）所構成的甲狀腺濾泡，是甲狀腺的基本構造單位,甲狀腺球蛋白（thyroglobulin）在濾泡細胞內，經甲狀腺氧化酶（thyroid oxidase）進行碘化作用，再送至膠體（colloid）內,濾泡細胞（follicular cell）的主要功能是分泌降鈣素（calcitonin）,B,,解剖學,甲狀腺濾泡是甲狀腺的基本結構單位，由濾泡細胞環繞著膠體組成，這一結構對於甲狀腺的功能至關重要，因此選項B是正確的。
46,下列關於前列腺（prostate gland）的敘述，何者正確？,男嬰的前列腺中可觀察到許多鈣化的前列腺凝結體（prostatic concretion）,前列腺癌（prostatic carcinoma）最常發生於過渡區（transitional zone）,前列腺的中央區（central zone）為前列腺腺體組織的最大區域,腺體種類屬於管泡腺（tubuloalveolar gland）,D,,解剖學,前列腺的腺體結構屬於管泡腺，這一特徵使得選項D成為正確答案。其他選項的描述不完全正確或不符合前列腺的生理特徵。
47,將人體紅血球置入下列何種溶液之中，最容易見到細胞體積脹大？,100 mM NaCl + 200 mM KCl,100 mM NaCl + 200 mM 尿素,100 mM NaCl + 200 mM 葡萄糖,100 mM NaCl + 100 mM 葡萄糖,B,,生理學,當紅血球置於高滲透壓的尿素溶液中時，水分會進入細胞內，導致細胞體積膨脹，因此選項B是正確的。
48,"有關骨骼肌纖維（skeletal muscle fiber）的終板電位（endplate potential, EPP），下列描述何者最為適當？",從運動神經纖維末梢釋放的乙醯膽鹼（acetylcholine）會與肌漿膜（sarcolemma）上的蕈毒型受器（muscarinic receptor）結合，因而產生EPP,EPP 是因為大量鉀離子（K+）流入肌纖維內所造成的一種動作電位（action potential）,EPP 會沿著橫小管（transverse tubule）傳遞到骨骼肌纖維內部，促使肌漿網（sarcoplasmic reticulum）釋放鈣離子,肉毒桿菌毒素（botulinum toxin）中毒會使運動神經纖維末梢不易釋放乙醯膽鹼，使得EPP 變小，最終導致肌肉無法收縮,D,,生理學,終板電位（EPP）是由運動神經末梢釋放的乙醯膽鹼與肌漿膜上的受體結合所引起的，而肉毒桿菌毒素會抑制乙醯膽鹼的釋放，導致EPP減小，最終影響肌肉收縮，因此選項D是正確的。
49,某一病人罹患中風後講話流利，但卻出現閱讀上的困難，下列何者最有可能是發生病變的位置？,Wernicke's area,Broca's area,angular gyrus,arcuate fasciculus,C,,解剖學,病人講話流利但閱讀困難的情況通常與角回（angular gyrus）有關，因為這一區域負責語言理解和閱讀，因此選項C是最有可能的病變位置。
50,下列那個腦區和恐懼情緒最直接相關？,視上核（supraoptic nucleus）,視叉上核（suprachiasmatic nucleus）,杏仁核（amygdaloid nucleus）,海馬迴（hippocampus）,C,,生理學,杏仁核是大腦中與情緒處理，特別是恐懼情緒最直接相關的區域。它在情緒反應中扮演關鍵角色，並且與記憶和學習有關。
51,下列有關自主神經系統的敘述，何者最不適當？,自主神經系統的交感部門也稱為頭薦部門,交感神經系統的節前運動神經元釋放的神經傳導物質主要是乙醯膽鹼,副交感神經系統的節後運動神經元釋放的神經傳導物質主要是乙醯膽鹼,與交感神經相較，副交感神經系統的自主神經節一般比較靠近標的組織,A,,生理學,交感神經系統的交感部門並不稱為頭薦部門，這是錯誤的說法。交感神經系統的節前神經元確實釋放乙醯膽鹼，而副交感神經系統的節後神經元也釋放乙醯膽鹼。
52,神經傳導物質（neurotransmitter）與其相對應的代謝型受體（metabotropic receptor）之配對，何者正確？,norepinephrine→α1 receptor,histamine→5-HT1 receptor,acetylcholine→nicotinic receptor,glutamate→AMPA receptor,A,,生理學,去甲腎上腺素（norepinephrine）確實與α1受體相對應，這是一種代謝型受體，負責調節血管收縮等生理功能。其他選項中的配對不正確。
53,人在移動時能感受到垂直加速，最主要是下列那一個構造之功能？,半規管（semicircular canal）,橢圓囊（utricle）,球囊（saccule）,柯蒂氏器（organ of Corti）,C,,生理學,球囊（saccule）是內耳的一部分，主要負責感知垂直加速的變化。它的感覺細胞對重力和加速度非常敏感，能夠幫助我們感知身體的姿勢和運動。
54,在副交感神經系統興奮的情況下，下列何者有關眼球之變化最不可能發生？,睫狀體（ciliary body）的環肌傾向處於收縮狀態,懸繫小帶（zonule）的張力傾向變低,水晶體的形狀傾向變薄變長,瞳孔傾向變小,C,,生理學,在副交感神經系統興奮時，睫狀體的環肌會收縮，導致水晶體變厚以便於近距離視覺。因此，水晶體的形狀變薄變長是不可能發生的。
55,在一般開始運動的最初幾秒鐘內，骨骼肌所需ATP 最可能之來源為何？,脂肪酸（fatty acid）,葡萄糖（glucose）,蛋白質（protein）,磷酸肌胺酸（creatine phosphate）,D,,生理學,在運動開始的最初幾秒鐘內，骨骼肌主要依賴磷酸肌胺酸（creatine phosphate）來快速生成ATP，以支持肌肉收縮。這是因為磷酸肌胺酸能迅速提供能量。
56,與第1 型骨骼肌纖維相比，2X 型骨骼肌纖維有何不同？,2X 型纖維有更多粒線體,2X 型纖維更容易疲勞,2X 型纖維有更豐富的肌紅蛋白（myoglobin）,2X 型肌肉纖維之微血管供應較多,B,,生理學,2X 型骨骼肌纖維相較於第1型纖維更容易疲勞，因為它們主要依賴無氧代謝，這使得它們在高強度運動中能迅速產生能量，但也更容易產生疲勞。
57,下列關於血栓溶解機制的敘述，何者錯誤？,內皮細胞分泌組織血漿素原活化劑（tissue plasminogen activator）,血漿素原（plasminogen）需轉化成血漿素（plasmin）,可溶性纖維蛋白片段聚集成纖維蛋白（fibrin）,纖維蛋白（fibrin）與 組織血漿素原活化劑（tissue plasminogen activator）結合，可增加後者之活性,C,,生理學,可溶性纖維蛋白片段不會聚集成纖維蛋白，這是錯誤的說法。相反，纖維蛋白是由血漿素轉化而來，並在血栓形成中起重要作用。
58,"下列有關心電圖（electrocardiogram, ECG）各導程波形所代表的生病理狀況描述，何者最適當？",血中鈣離子濃度正常情況下，高血鉀（hyperkalemia）病人的lead Ⅱ常見高T 波（tall T）,一級房室傳導阻斷（first-degree atrioventricular heart block）時，在lead Ⅱ中常見PR interval縮短,以aVR 單極導程記錄ECG，和lead Ⅱ有相似的QRS 波，均為向上偏斜（upward deflection）波形,T 波代表心室再極化，因此V1-V6（precordial leads）的T 波，均為向下偏斜（downward deflection）波形,A,,生理學,在高血鉀的情況下，心電圖的T波通常會變得更高且尖銳，這是由於心肌細胞的再極化過程受到影響。這使得選項A是正確的描述。
59,記錄心肌細胞的動作電位時，在去極化與平原期之間有一段快速而短暫的再極化期（initial rapid repolarization），下列何者是它產生的主要機制？,關閉鈉離子通道，打開鉀離子通道,關閉鈉離子通道，打開氯離子通道,關閉L-type 鈣離子通道，打開T-type 鈣離子通道,關閉T-type 鈣離子通道，打開L-type 鈣離子通道,A,,生理學,在心肌細胞的動作電位中，去極化後的快速再極化期主要是由於鈉離子通道的關閉和鉀離子通道的開啟，這導致細胞內的電位迅速回落。
60,對於心室肌細胞和SA node 細胞電位的比較，下列那一敘述最為適當？,兩種細胞皆有穩定的靜止膜電位，均約為-90 mV,兩種細胞產生的動作電位皆有平原期，主要均是因為打開L-type Ca2+ channels,兩種細胞動作電位的去極化，主要都是因為打開Na+ channels，使得Na+流入細胞而造成,兩種細胞動作電位的再極化，主要都是因為打開K+ channels，使得K+流出細胞而造成,C,,生理學,心室肌細胞和SA node細胞的動作電位特徵有所不同。SA node細胞的去極化主要依賴於鈉通道的開啟，而心室肌細胞則是由鈉通道和鈣通道共同作用。選項C正確地指出了去極化的機制，因此是正確答案。
61,下列血壓、心跳之變化，何者最易發生於顱內壓上升的病人？,血壓、心跳速率均下降,血壓上升、心跳速率下降,血壓、心跳速率均上升,血壓下降、心跳速率上升,B,,生理學,顱內壓上升會壓迫腦血管，導致血壓上升以維持腦部灌流，但同時可能因為反射性作用使心跳速率下降，因此選項B是正確的。
62,一位成年女子，其體動脈血中氧氣濃度200 mL/L，全身氧氣消耗速率為250 mL/min。已知她的心輸出量為5 L/min，血紅素濃度16 g/dL，而且體動脈血中結合在血紅素上的氧氣量占全部血中氧氣的98％。則她的體靜脈血中氧氣濃度最接近下列何者？,150 mL/L,146 mL/L,143 mL/L,47 mL/L,B,,生理學,根據氧氣消耗速率和心輸出量，可以計算靜脈血中的氧氣濃度。考慮到氧氣的運輸和消耗，選項B的146 mL/L是最接近的答案。
63,下列各種混合氣體，總壓力均為760 mmHg，除了以下所述成分以外，其餘皆為氮氣。當人體吸入何種混合氣體時，每分鐘總通氣量最大？,21％氧氣＋0.05％二氧化碳,5％氧氣＋0.05％二氧化碳,21％氧氣＋5％二氧化碳,5％氧氣＋5％二氧化碳,C,,生理學,吸入含有較高氧氣濃度的混合氣體會增加氧氣的攝取，選項C的21%氧氣和5%二氧化碳能提供最佳的通氣量，因此是正確答案。
64,游離態的膽固醇在小腸上皮細胞最主要是經由下列何種方式吸收？,初級主動運輸,次級主動運輸,擴散作用,內吞作用,C,,生物化學,膽固醇的吸收主要依賴於擴散作用，因為膽固醇是脂溶性物質，可以通過細胞膜進入小腸上皮細胞，因此選項C是正確的。
65,下列何者是胰泌素的最主要的直接作用？,刺激膽囊收縮釋放膽汁和促進胰臟胰島素的分泌,刺激肝臟分泌膽汁和促進膽囊收縮,刺激胰臟碳酸氫根離子分泌和抑制胃腺分泌gastrin,刺激腸道上皮細胞分泌離子和促進胃腺分泌HCl,C,,生理學,胰泌素的主要作用是刺激胰臟分泌碳酸氫根離子以中和胃酸，並抑制胃腺分泌，因此選項C是正確的。
66,有關正常生理情況下之腎臟滲透壓調節，下列敘述何者最為適當？,血漿滲透壓值小於280 mOsm/L 後會刺激抗利尿荷爾蒙分泌,刺激口渴感覺的血漿滲透壓閾值要比刺激抗利尿荷爾蒙分泌之閾值為低,抗利尿荷爾蒙使近端腎小管對水分子容易重吸收,尿液濃縮與稀釋時之滲透壓範圍，可高至1200 mOsm/L，或低至50 mOsm/L,D,,生理學,腎臟的滲透壓調節是通過抗利尿荷爾蒙的作用來實現的，尿液的濃縮和稀釋範圍確實可以達到1200 mOsm/L和50 mOsm/L，因此選項D是正確的。
67,下列關於腎小管水分再吸收之敘述，何者錯誤？,亨氏管下降枝主要因具有第一型水通道而對水分有高度通透性,亨氏管上升段粗枝主要因具有鈉－氯協同運輸蛋白故能再吸收水分,亨氏管上升段粗枝的基底外側膜主要因具有鈉－鉀腺苷三磷酸酶，故能帶動鈉離子及水分再吸收,腎小管內液在離開亨氏管上升段粗枝進入遠端小管時呈現低張狀況,B,,生理學,亨氏管上升段粗枝不具備水通透性，因此選項B是錯誤的，因為該段主要是再吸收鈉和氯，而不是水。
68,下列有關胰島素的調控和生理作用的敘述，何者最為適當？,血鉀降低會促進胰島素的分泌作用,胰島素會促進肝臟的葡萄糖產生速率,胰島素會促進脂肪組織脂肪合成速率,胰島素會促進酮體的生成作用,C,,生理學,胰島素的主要作用是促進脂肪合成和抑制脂肪分解，因此選項C是正確的。
