id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,teacher,ai_explanation
26,下列敘述何者錯誤？,壁細胞(parietal cell)分泌 HCl,賁門腺 (cardiac glands)主細胞 (chief cell)最多,幽門腺(pyloric glands 的 pit 跟 gland 的深度比約 2:1,壁細胞(parietal cell)分泌內在因子 (intrinsic factor),B,,消化系統組織學,,在胃的賁門腺中，主細胞（chief cells）並不是最多的細胞類型，這一點是錯誤的。賁門腺主要由黏液細胞組成，而主細胞主要存在於胃體和幽門腺中，負責分泌消化酶。因此，選擇B作為正確答案是基於其對賁門腺細胞組成的誤解。
27,玻片標籤遺失，冰粽哥在顯微鏡下觀察到此玻片上皮具有杯狀細胞(goblet cells)，請問此玻片“不可能”是下列何種器官？,胃 (stomach),小腸 (small intestine),大腸 (colon),直腸 (rectum),A,,消化系統組織學,,杯狀細胞（goblet cells）是分泌黏液的細胞，主要存在於小腸和大腸的上皮組織中。胃的上皮主要由柱狀上皮組成，並不包含杯狀細胞。因此，若在顯微鏡下觀察到杯狀細胞，則該玻片不可能是胃的切片，這使得選擇A作為正確答案。
28,下列何者不是用來增加表面積的構造？,胃的皺褶 (rugae),小腸的環狀皺襞 (plica circulares),絨毛 (villi),微絨毛 (microvilli),A,,消化系統組織學,,在消化系統中，增加表面積的結構對於提高營養吸收效率至關重要。小腸的環狀皺襞、絨毛和微絨毛都是用來增加腸道表面積的結構，而胃的皺褶（rugae）主要是為了容納食物的擴張，並不直接增加表面積。因此，選擇A作為正確答案是基於其功能的不同。
29,下列有關牙齒的敘述何者正確？,珐瑯質 (enamel)是由牙本質細胞 (odontoblasts)所分泌形成,齒堊質 (cementum)覆蓋牙冠 (crown),Tomes’process 是牙本質細胞(odontoblasts)伸到牙本質(dentin)的突起,contour lines of Retzius 可以在珐瑯質 (enamel)觀察到,D,,消化系統組織學,,牙齒的結構中，珐瑯質是由特殊的細胞——牙釉質細胞（ameloblasts）所形成，而不是牙本質細胞（odontoblasts）。齒堊質則是覆蓋在牙根部，而非牙冠。Tomes’process是牙本質細胞的突起，伸入牙本質中。選項D提到的Retzius線是珐瑯質中的一種結構特徵，這使得選擇D作為正確答案。
30,關於唾液腺 (salivary glands)的敘述，下列何者錯誤？,腮腺 (parotid glands)為最大的唾液腺,閏管(intercalated duct)在舌下腺 (sublingual glands)很發達,頜下腺 (submandibular glands)是混合腺體 (mixed gland),舌下腺 (sublingual glands)的 H&E 染色切片可以觀察到 serous demilune 的構造,B,,消化系統組織學,,唾液腺的結構中，腮腺是最大的唾液腺，並且其閏管（intercalated ducts）發達。相對而言，舌下腺的閏管並不發達，甚至可能消失。頜下腺則是混合腺體，分泌黏液和漿液。選擇B作為正確答案是基於對唾液腺結構的誤解。
31,關於味蕾(taste buds)的敘述何者正確？,絲狀乳頭 (filiform papilla)含有味蕾,蕈狀乳頭 (fungiform papilla)的味蕾位於乳頭側邊,葉狀乳頭 (foliate papilla)的味蕾位於乳頭頂端,神經上皮細胞(neuroepithelial cells)是味蕾中數量最多的細胞,D,,消化系統組織學,,味蕾是感知味道的主要結構，主要分布在蕈狀乳頭、葉狀乳頭和環狀乳頭上。絲狀乳頭主要負責觸覺，並不含有味蕾。蕈狀乳頭的味蕾位於其頂端，而葉狀乳頭的味蕾則位於側邊。神經上皮細胞是味蕾中的主要細胞類型，但並不是數量最多的細胞，這一點在選項D中是正確的。
32,成釉細胞 (ameloblasts)發育自,inner enamel epithelium,outer enamel epithelium,dental sac,dental papilla,A,,消化系統組織學,,成釉細胞是牙齒發育過程中負責生成琺瑯質的細胞，這些細胞源自內琺瑯上皮。內琺瑯上皮的細胞在牙齒發育的早期階段分化為成釉細胞，這些細胞在牙齒的形成過程中起著關鍵作用，最終負責分泌琺瑯質，形成牙齒的外層。
33,關於肝細胞的敘述何者錯誤？,細胞質呈嗜酸性染色 (acidophilic),具有再生能力,會和伊東細胞 (Ito cell)形成膽小管 (bile canaliculus),細胞質有脂褐素 (lipofuscin),C,,消化系統組織學,,肝細胞是肝臟的主要功能細胞，具有再生能力，並且在顯微鏡下呈現嗜酸性染色。肝細胞與伊東細胞並不形成膽小管，膽小管是由肝細胞之間的細胞膜形成的。脂褐素是肝細胞中常見的色素，通常與細胞的老化和損傷有關。
34,下列關於肝臟的敘述何者錯誤？,毛細膽管 (canal of Hering)管壁皆由膽管上皮細胞(cholangiocytes)構成,伊東細胞位於迪氏空間 (space of Disse),庫氏細胞 (Kupffer cells)位於肝臟竇狀微血管 (sinusoids)管壁,肝臟缺血時最先受到傷害的是肝腺泡 (hepatic acinus)的第三區 (zone 3),A,,消化系統組織學,,肝臟的毛細膽管由膽管上皮細胞和肝細胞共同組成，而不是僅由膽管上皮細胞構成。伊東細胞位於迪氏空間，這是肝臟血管系統中的一部分，庫氏細胞則是肝臟的巨噬細胞，位於肝竇的管壁。肝臟的第三區在缺血時最先受到損害，因為它最遠離血液供應。
35,關於膽囊壁的組織學構造敘述，下列何者正確？,具有粘膜下層 (submucosa),肌外層 (muscularis externa)的平滑肌走向為內環外縱,粘膜肌層 (muscularis mucosa)很明顯,固有層 (lamina propria)富含穿孔型的微血管 (fenestrated capillaries),D,,消化系統組織學,,膽囊的組織結構與其他消化道器官有所不同，膽囊壁並不具備粘膜下層和明顯的粘膜肌層。膽囊的平滑肌走向是隨機排列的，這使得膽囊能夠有效地收縮和擴張以儲存和釋放膽汁。固有層中的穿孔型微血管有助於膽囊的血液供應和物質交換。
36,關於胰臟的敘述，下列何者錯誤?,泡心細胞 (centroacinar cells)屬於胰臟的外分泌細胞,用電子顯微鏡觀察 𝛽 cell 的顆粒中間有結晶的構造,用 H&E 染色無法區分蘭氏小島中的內分泌細胞,外分泌部的腺泡 (pancreatic acinus)組成細胞內部有許多嗜酸性的酶原顆粒(zymogen granules),A,,消化系統組織學,,泡心細胞是胰臟的管道細胞，並不屬於外分泌細胞。胰臟的外分泌部分主要由腺泡細胞組成，這些細胞負責分泌消化酶。電子顯微鏡下，胰臟β細胞的顆粒中可見結晶結構，這是胰島素的前體。H&E染色對於區分內分泌細胞的效果有限，因為這些細胞的顏色與周圍組織相似。
37,關於偽膜性大腸炎(Pseudomembranous colitis)的敘述，何者正確？,此為一自體免疫性疾病。,此疾病由病毒毒素所造成。,偽膜指的是在腸道表面的一層膜狀構造，由壞死上皮組織與發炎滲出物所構成。,此疾病的發生與先前使用化學治療藥物有關。,C,,病理學實驗：消化道系統,,偽膜性大腸炎是一種由於腸道內的Clostridium difficile感染引起的疾病，通常與抗生素的使用有關。偽膜是由壞死的腸道上皮細胞和炎症滲出物組成，形成在腸道表面的一層膜狀結構。這種疾病並不是自體免疫性疾病，也不是由病毒毒素引起的。
38,下列三圖均為大腸組織切片。由左到右分別為？,"Adenocarcinoma, tubular adenoma, normal mucosa","Normal mucosa, adenocarcinoma, tubular adenoma","Tubular adenoma, adenocarcinoma, normal mucosa","Normal mucosa, adenocarcinoma, normal mucosa",B,,病理學實驗：消化道系統,,在病理學中，對於大腸組織切片的分析是非常重要的。正常的腸道黏膜與腺癌和管狀腺瘤的區別可以通過顯微鏡觀察到的細胞形態和排列來確定。選項B正確地描述了這三種組織的排列，顯示了正常黏膜、腺癌和管狀腺瘤的特徵。
39,下圖顯示一食道腫瘤，關於此腫瘤的敘述何者錯誤？,此腫瘤為食道最常見的惡性腫瘤。,此腫瘤的特色為細胞質豐富、可能觀察到Keratin pearl 與 dyskeratotic cells。,可發現排列凌亂之腫瘤細胞侵犯間質，所以此為一侵襲癌。,此腫瘤位於消化道，屬於腺癌的一種。,D,,病理學實驗：消化道系統,,食道最常見的惡性腫瘤是鱗狀細胞癌，而不是腺癌。鱗狀細胞癌的特徵包括細胞質豐富，並且可能觀察到角蛋白珍珠和不典型的細胞。這些特徵有助於病理學家在顯微鏡下進行診斷。選項D的描述不正確，因為該腫瘤並不屬於腺癌。
40,下列有關腸內桿菌科 (Enterobacteriaceae)細菌的敘述何者錯誤？,"可發酵葡萄糖，不具有氧化酶 (oxidase)，可發酵乳糖者如 E. coli, Klebsiella，在MacConkey agar形成粉紅至紫色的菌落",O 抗原 (O antigen)是細胞壁脂多醣體 (lipopolysaccharide)的一部分，對熱穩定,吃漢堡及生菜沙拉後，出現出血性腹瀉症狀，且可能併發溶血性尿毒症（hemolytic uremic syndrome）的病原菌，最有可能是侵襲性大腸桿菌 EIEC（enteroinvasive E. coli）,無症狀的傷寒沙門氏桿菌（Salmonella Typhi）帶原者如傷寒瑪莉 (Typhoid Mary)，通常細菌最常躲在帶原者的膽囊中,C,,消化系統之細菌感染,,腸內桿菌科細菌是常見的腸道細菌，許多成員能夠發酵葡萄糖並且不產生氧化酶。選項C的描述不正確，因為出血性腹瀉通常與腸出血性大腸桿菌（EHEC）或志賀毒性大腸桿菌（STEC）有關，而不是侵襲性大腸桿菌（EIEC）。EIEC主要導致腸道的炎症和潰瘍，而不是出血性腹瀉。
41,下列病原菌的敘述，何者錯誤？,蠟狀桿菌因食入受汙染的米飯而引起的食物中毒，是由對熱敏感性腸毒素導致病人腹瀉,金黃色葡萄球菌的食物中毒通常症狀不會持續超過 24 小時且不需使用抗生素治療,志賀氏桿菌以人類為宿主，會侵入腸道細胞並在細胞間擴散，是桿菌性痢疾的主要病原菌,肝硬化或肝癌病人生食海鮮，特別是生蠔，可能因感染創傷弧菌而導致進展快速的敗血症,A,,消化系統之細菌感染,,蠟狀桿菌（Bacillus cereus）是一種常見的食物中毒病原菌，特別是與米飯相關的食物中毒。其主要致病機制是通過產生熱穩定腸毒素，這種毒素能夠在腸道中引起腹瀉。選項A的描述錯誤，因為蠟狀桿菌的食物中毒是由熱穩定腸毒素引起，而非熱敏感性腸毒素。金黃色葡萄球菌的食物中毒通常症狀短暫，志賀氏桿菌是桿菌性痢疾的主要病原，而創傷弧菌則與肝病患者的食用生海鮮有關，這些描述均為正確。因此，選擇A作為錯誤的敘述。
42,引起腸胃炎的大腸桿菌與其致病機轉間的配對，何者錯誤？,Enterotoxigenic E. coli (ETEC): 產生腸毒素，導致水分及電解質流失,Enteropathogenic E. coli (EPEC): 細菌在小腸上皮細胞上產生如堆疊磚塊般的聚集黏附，減少液體吸收,Shiga toxin-producing E. coli (STEC): 產生 Shiga toxin stx1 或 stx2,Enteroinvasive E. coli (EIEC): 侵入並破壞大腸表皮，造成黏膜潰瘍發炎,B,,消化系統之細菌感染,,腸胃炎的主要病原菌之一是大腸桿菌（E. coli），其致病機轉各有不同。選項A正確地描述了腸毒素型大腸桿菌（ETEC）如何通過產生腸毒素導致水分和電解質流失。選項B的描述錯誤，因為它混淆了腸病原性大腸桿菌（EPEC）和腸聚集性大腸桿菌（EAEC）的致病機轉。EPEC的特徵是附著和抹殺（A/E）效應，導致腸道吸收不良，而不是單純的聚集黏附。選項C和D的描述均為正確，因此選擇B作為錯誤的配對。
43,下列有關幽門螺旋桿菌的敘述，何者錯誤？,可在大氣環境（含約 20%氧氣）和一般細菌培養基上培養,人類為其主要宿主，糞口途徑為可能的傳染方式,可能會導致胃潰瘍或十二指腸潰瘍,針對此菌的呼氣測試是檢測此菌的尿素酶活性，偵測的氣體為二氧化碳，是一種非侵入性的檢驗方法，有不錯的敏感度及專一性,A,,消化系統之細菌感染,,幽門螺旋桿菌（Helicobacter pylori）是一種微需氧菌，這意味著它在氧氣濃度較低的環境中生長良好。選項A的描述錯誤，因為幽門螺旋桿菌無法在含有20%氧氣的環境中培養。選項B正確地指出人類是其主要宿主，且糞口途徑是其傳播方式之一。選項C和D的描述均為正確，幽門螺旋桿菌與胃潰瘍及十二指腸潰瘍有關，且呼氣測試是一種有效的檢測方法。因此，選擇A作為錯誤的敘述。
44,下列細菌與其致病因子的描述，何者錯誤？,Shigella dysenteriae 可產生 Shiga toxin，此毒素可抑制宿主細胞蛋白質的合成,辨識具有毒力之腸炎弧菌，通常是依據此菌所產生的熱安定溶血素,霍亂弧菌之霍亂毒素為 A-B 毒素，能活化 adenylate cyclase，增加cyclic AMP 濃度，造成腹瀉症狀,金黃色葡萄球菌的食物中毒是由不具耐熱性的腸毒素所造成，疾病潛伏期平均約 24 小時,D,,消化系統之細菌感染,,金黃色葡萄球菌（Staphylococcus aureus）是引起食物中毒的常見病原菌，其腸毒素具有熱穩定性，這意味著即使在烹煮過程中也不會被破壞。選項D的描述錯誤，因為金黃色葡萄球菌的腸毒素潛伏期通常約為4小時，而非24小時。選項A、B和C的描述均為正確，Shigella dysenteriae確實產生Shiga toxin，霍亂弧菌的霍亂毒素為A-B毒素，並能引起腹瀉。因此，選擇D作為錯誤的敘述。
45,下列敘述何者錯誤？,傷寒沙門氏桿菌被用以製成疫苗的 Vi 抗原所含的成分是莢膜多醣體,霍亂弧菌具有氧化酶，對胃酸敏感，造成腸胃道感染需要超過 100000000 的菌量,空腸曲狀桿菌屬微需氧菌，可引起腸胃炎、Guillain-Barré syndrome,蠟狀桿菌僅存在於人體，並未發現存在於環境中,D,,消化系統之細菌感染,,蠟狀桿菌（Bacillus cereus）是一種常見的環境細菌，廣泛存在於土壤和食物中，尤其是米飯等澱粉類食物中。選項D的描述錯誤，因為蠟狀桿菌並不僅存在於人體，而是普遍存在於環境中。選項A、B和C的描述均為正確，傷寒沙門氏桿菌的Vi抗原確實是莢膜多醣體，霍亂弧菌對胃酸敏感且需要高菌量才能引起感染，空腸曲狀桿菌則與腸胃炎和Guillain-Barré syndrome有關。因此，選擇D作為錯誤的敘述。
46,下列何者最易影響 CYP 450?,Famotidine,Cimetidine,Nizatidine,Ranitidine,B,,消化系統藥理學,,CYP450酶系統在藥物代謝中扮演著重要角色，尤其是在肝臟中。Cimetidine是一種H2受體拮抗劑，已知會顯著影響CYP450酶的活性，這可能導致與其他藥物的相互作用。Cimetidine的副作用較多，因其會抑制CYP450的活性，從而影響其他藥物的代謝，增加其血中濃度，可能導致毒性反應。相比之下，Famotidine、Nizatidine和Ranitidine對CYP450的影響較小，因此選擇B作為最容易影響CYP450的藥物。
