id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,teacher,ai_explanation
11,"About ankle and foot, which one is correct?",The cause of Muller Weiss disease is osteonecrosis of navicular bone. The one character of this disease is comma-shape deformity of navicular bone,The talus is the keystone of transverse arch of foot,The peroneal longus tendon attaches to 5th metatarsal base and everts the foot,"In the syndesmosis, the tibia is concave and fibular is convex here. The anterior talofibular ligament and posterior talofibular ligament are part of the syndesmosis ligaments",A,"(B) 應為navicular (C) 附著在first metatarsal bone (D) Sydesmosis ligaments 有anterior inferior tibiofibular ligament, posterior inferior tibiofibular ligament, interosseous ligament",足踝關節之骨科功能解剖學,陳姝蓉,"Muller Weiss disease is indeed caused by osteonecrosis of the navicular bone, which is characterized by a comma-shaped deformity, making option A correct."
12,"About the four compartments of leg, which one is wrong?","There are major neurovascular bundles in each compartment, except superficial posterior compartment.",The major movement of muscles in anterior compartment is ankle dorsiflexion.,"There are deep peroneal nerve, peroneal longus and brevis in the lateral compartment. The major movement of these muscles is foot eversion.",The plantaris is in superficial posterior compartment and it is a weak ankle plantarflexor.,C,Lateral compartment所含的神經應為superficial peroneal n.,足踝關節之骨科功能解剖學,陳姝蓉,"The lateral compartment contains the superficial peroneal nerve, not the deep peroneal nerve, making option C incorrect."
13,Which one is wrong?,"Near 50% of blood supply to talus is from posterior tibial artery, which is in the deep posterior compartment.",The common complication of displaced talar neck fracture is osteonecrosis of talus.,"The anterior talofibular ligament is most easily injured ligament when patients suffer from ankle sprain, and anterior drawer test is often positive while performing physical examination. Repeated ankle sprains may lead to lateral instability of ankle joint.","The negative Thompson test means Achilles tendon rupture. Under this condition, patient totally can’t walk therefore.",D,Thompson test (+) 才是 Achilles tendon rupture。,足踝關節之骨科功能解剖學,陳姝蓉,"A negative Thompson test indicates that the Achilles tendon is intact, making option D incorrect."
14,Observe the histological features. What is the tissue in this figure?,Cardiac muscle,Tendon,Smooth muscle,Skeletal muscle,A,看到 intercalated disc -> 心肌很重，所以是心肌,組織學與實驗-肌肉、肌腱、韌帶,劉俊馳,"The presence of intercalated discs is characteristic of cardiac muscle, confirming option A as correct."
15,What is the correct combination of tissue species and section orientation in the figure?,cross sectioned cardiac muscle,longitudinal sectioned smooth muscle,cross sectioned smooth muscle,cross sectioned skeletal muscle,D,從切片可以知道是cross/transverse section，先排除B,組織學與實驗-肌肉、肌腱、韌帶,劉俊馳,"The figure shows a cross section of skeletal muscle, making option D the correct choice."
16,Which option is not suggested for management of soft tissue injury in acute phase?,Elevation,Protection,Vascularization,Compression,C,,骨科學復健(2),曾昱璇,"Vascularization is not a recommended management strategy in the acute phase of soft tissue injury, making option C the correct answer."
17,Which description as below about hamstring injury is incorrect?,We can use sonography for grading the severity of hamstring injury.,Acute overload happens when the muscle is near full flexion or full extension.,Hamstring is usually injured when forceful concentric contractions.,The strength ratio should improve to an isokinetic strength ratio of 0.6 hamstrings to quadriceps before return to most sports.,C,Hamstring is usually injured when forceful eccentric contractions.,骨科學復健,曾昱璇,
18,Which description as below about finger flexor tendon rupture is incorrect?,Zone III is called as no man's land.,Zone IV is within the carpal tunnel.,"In acute phase, dorsal blocking splint is usually prescribed for positioning.",Dorsal blocking splint limits the amount of active and passive finger extension to prevent possible tendon rupture.,A,,骨科學復健,曾昱璇,
19,Which of the following statements about the intervertebral disc is not true?,Nucleus pulposus has large proportion of hydrophilic proteoglycans.,Nutrients of the intervertebral disc are mainly obtained by passive diffusion through the end plate.,The intervertebral discs are distributed between each level of vertebra and account for approximately 20% to 33% of the spine height.,"The composition of annulus fibrosus includes type I collagen and fibrocartilage, and its main function is to limit the motion of the vertebral body.",C,"(C) 並不是每個椎體間都有椎間盤，例如C1和C2間, S2之後沒有",脊椎之骨科功能解剖學,高志銘,
20,Which of the following statements about the structure of spine is false?,The vertebral body is the weight-bearing structure that exists in front of each level of vertebra.,The articular surface of the facet joint is covered with hyaline cartilage.,"Dens is a special structure of axis, which is part of the Atlantoaxial joint. This joint is responsible for cervical rotation.","The ribs and thoracic vertebrae are connected to each other by costal facets, which restricts the movement of the spine. Therefore, the thoracic spine is the least mobile part of the spinal column.",A,(A) C1並沒有 true ventral body,脊椎之骨科功能解剖學,高志銘,
21,Which part of spine does not belong to the posterior ligamentous complex?,ligamentum flavum,interspinous ligament,posterior longitudinal ligament,facet joint capsule,C,posterior longitudinal ligament 屬於 middle column,脊椎之骨科功能解剖學,高志銘,
22,The structure terminal cisternae are formed by?,thick filaments,thin filament,enlarged sarcoplasmic reticulum,invagination of sarcoplasm,C,ppt中可以看到terminal cisternae為sarcoplasmic reticulum的一部分。,組織學-肌腱、韌帶、肌肉,陳永佳,
23,Which of the following description is false?,"When injury, the skeletal muscle fibers and cardiomyocytes can undergo regeneration",All of the three types of muscle present gap junctions,Smooth muscle fibers do not present sarcomere,"In normal conditions, only the smooth muscle fibers could undergo regeneration freely.",B,骨骼肌並沒有cell to cell junctions,,,
24,Which of the following statements concerning smooth muscle is true?,Cells are fusiform shaped and communicate with each other by an adherent junction.,The cytoplasm of smooth muscle is eosinophilic and its nuclei are localized in the central of the cell.,The fibers have dense bodies but do not present well-developed smooth ER.,The connective tissue of smooth fibers also contains endomysium and perimysium.,B,"(A) by an gap junction
(C) present well-developed smooth ER
(D) The connective tissue of smooth fibers also contains endomysium, sheaths and bundles.",組織學-肌腱、韌帶、肌肉,陳永佳,
25,Which of the following skeletal muscle fibers tend to fatigue?,slow oxidative,intermediate,fast aerobic fibers,fast anaerobic fibers,D,由圖可知 fast anaerobic fiber 對 fatigue risistance 最低,組織學-肌腱、韌帶、肌肉,陳永佳,"Fast anaerobic fibers are known to fatigue quickly due to their reliance on anaerobic metabolism, which is less efficient for sustained energy production compared to aerobic fibers. Therefore, the correct answer is D."
26,"In resting muscle, which of the following proteins masks the myosin-binding site on the actin molecule?",myosin head,nebulin,tropomodulin,tropomyosin,D,由此可知在resting state， tropomyosin蓋住actin上面的myosin-binding site。,組織學-肌腱、韌帶、肌肉,陳永佳,"Tropomyosin is the protein that covers the myosin-binding sites on actin filaments in resting muscle, preventing contraction. Thus, the correct answer is D."
27,Which of the following statements is true when skeletal muscle contraction?,M line becomes shorter,H zone becomes narrower,A band becomes wider,I band becomes wider,B,骨骼肌收縮時: (B) H Zone是放鬆時粗肌絲未與細肌絲重疊的部分-->收縮時變窄。,組織學-肌腱、韌帶、肌肉,陳永佳,"During skeletal muscle contraction, the H zone, which is the area where thick and thin filaments do not overlap, becomes narrower. Therefore, the correct answer is B."
28,Endochondral bone formation does NOT occur in the,femur,stapes,squamous part of temporal bone,greater wing of sphenoid bone,C,(c)petrous and mastoid part of temporal bone 才是,肌肉骨骼胚胎學,何宛怡,"The squamous part of the temporal bone does not undergo endochondral ossification, making C the correct answer."
29,Which of the following statement is TRUE concerning the development of the limb?,the zone of polarizing activity establishes the proximal-distal axis of the bud,the upper limbs rotate medially on their longitudinal axes during limb development,all of the secondary ossification centers appear in the limb after birth,each limb bud consists of a mesenchymal core of somatic mesoderm covered by surface ectoderm,D,因為dermomyotome只會出現在軀幹，而這㇐題是問limb bud，所以在ectoderm跟somatic mesoderm間不會有dermomyotome。答案不變。,肌肉骨骼胚胎學,何宛怡,"Each limb bud does consist of a mesenchymal core of somatic mesoderm covered by surface ectoderm, making D the correct answer."
30,Which of the following structures is NOT derived from the hypaxial divisions of myotomes?,longissimus capitis,geniohyoid,rectus abdominis,levator ani,A,而longissimus capitis屬於軸上肌群，軸上肌群主要是頸部與脊柱相關的深肌。,肌肉骨骼胚胎學,何宛怡,"The longissimus capitis is derived from the epaxial division of myotomes, not the hypaxial division, making A the correct answer."
31,"As for neuromuscular diseases (NMD), which description is correct?","The muscle involvement should be generalized, symmetric and equal.",The patients with NMD always present with proximal-predominant muscle weakness.,"Hereditary NMD could be inherited with any of the following models, autosomal-dominant, autosomal-recessive, X-link, and mitochondrial pattern.",All above descriptions are correct.,C,(A)(B)理學檢查提到檢查肌肉力量與張力，需同時評估兩側是否對稱，因此不一定是對稱。,肌肉疾病,梁文貞,"Hereditary neuromuscular diseases can indeed be inherited through various genetic patterns, making C the correct answer."
32,"As for the physical findings of the patients with neuromuscular diseases, which description is correct?",Tongue fasciculation could be a characteristic of lower motor neuron disease.,Head lage and frog posture indicate increased muscle tone.,Joint contracture always develops in late non-ambulant stage,All above descriptions are correct.,A,(A) Correct,肌肉疾病,梁文貞,"Tongue fasciculation is indeed a characteristic of lower motor neuron disease, making A the correct answer."
33,"As for the feasible therapeutic strategy of neuromuscular diseases, which is correct?",nutrient (Vitamins and non-vitamin) supplementation,gene therapy,neuromuscular junction transmission modulation,All above are correction,D,,肌肉疾病,梁文貞,"All listed strategies are valid approaches to treating neuromuscular diseases, making D the correct answer."
34,Which is correct about finger structure?,Proper digital artery is lying below (volar to) its corresponding digital nerve.,Triangular ligament prevents volar subluxation of the conjoint lateral bands with PIP joint flexion.,The function of Dorsal interossei is index and ring finger adduction.,Boutonniere deformity is caused by terminal tendon rupture.,B,(A) volar 改成 dorsal (C) adduction 改成 abduction (D) terminal tendon 改成 triangular tendon (central band/ slip),手部、腕部骨科功能解剖學,邱兆澤,
35,Which is not the extrinsic ligament of wrist?,Short radiolunate ligament (SRL),Deltoid ligament,Radioscaophocapitate (RSC) ligament,Dorsal radiocarpal (DRC) ligament,B,所謂的extrinsic的意思是要連接到radial bone或ulna bone，ACD都有看到中間有radio的字根，因此都不對，正確答案因此為B,手部、腕部骨科功能解剖學,邱兆澤,
36,Which is correct about wrist anatomic structure?,Volar deep fiber of Triangular fibrocartilage complex (TFCC) is lax while wrist pronation.,volar superficial fiber of Triangular fibrocartilage complex (TFCC) is lax while wrist supination.,Superficial head of Pronator quadratus plays major role of distal radioulnar joint stability.,TFCC superficial fiber inserts directly into the bony ulna styloid.,D,,手部、腕部骨科功能解剖學,邱兆澤,
37,"In the computed tomography image, which of the following values is closest to the density of fat?",800 HU,80 HU,0 HU,-100 HU,D,右邊的圖表中可以知道fat就是-100HU,基礎影像學原理,蔡佽學,
38,Which of the following sequence images are similar to the STIR sequence images in MRI examination?,T1WI + water suppression,T1WI + fat suppression,T2WI + water suppression,T2WI + fat suppression,D,FLAIR ≈ T2WI + water suppression，Water- hypointensity，Edema- hyperintensity STIR ≈ T2WI + fat suppression (FS)，Water- hyperintensity，Edema- hyperintensity,基礎影像學原理,蔡佽學,
39,"In the image settings of computed tomography, if the window width is 100 and the window level is 0, what color does the water appear on the grayscale image?",white,gray,black,red,B,題目設定以0為基準線，寬度100表示上下各50單位，所以+50以上全白、-50以下全黑，水的HU值為0介於兩者之間，呈現灰色,基礎影像學原理,蔡佽學,
40,Which is correct about antineutrophil cytoplasmic antibodies (ANCA)?,"PR3-ANCA is pANCA, MPO-ANCA is cANCA","In granulomatosis with polyangiitis, PR3-ANCA is more common than MPO-ANCA",Most microscopic polyangiitis (MPA) patients don’t have ANCA,all of above,B,(A) PR3-ANCA (c-ANCA)；MPO-ANCA (p-ANCA) (B) 正確，口訣：GPA don’t want 3.0 or C grade 記GPA 跟 PR3-ANCA =c-ANCA是一組的 (C) MPO-ANCA 在 MPA 病人上較常見，佔50%,免疫風溼學實驗室檢查,曾家駿,
41,Which combination of autoantibodies and clinical manifestation is correct?,HLA-B27 and thrombosis,Anti-ß2GP1 and ankylosing spondylitis,Anti-histone and Drug-induced lupus,All of above is correct,C,,免疫風溼學實驗室檢查,曾家駿,
42,"Mr. Chen, a 60 year-old patient with type 2 diabetes. He was admitted for Hyperosmolar Hyperglycemic State (HHS). During the second day of admission, sudden onset of right ankle swelling occurred, and the synovial fluid analysis by polarized microscopy was shown in the picture. What is the diagnosis?",Septic arthritis,Gout,Calcium pyrophosphate deposition disease,Osteoarthritis,B,"Needle shape, negative birefrigent (針狀 負偏光)為 gout，rhomboid, positive birefringent (菱形 正偏光)為 pseudogout。",免疫風溼學實驗室檢查,曾家駿,
43,What kind of tissue is it?,Hyaline cartilage,Elastic cartilage,Fibrocartilage,Bone,B,,組織學與實驗-骨骼與軟骨,張瀛双,
44,What are the cell labeled by the arrows?,Osteoblasts,Osteocytes,Osteoclasts,Chondrocytes,A,,組織學與實驗-骨骼與軟骨,張瀛双,"The correct answer is A, Osteoblasts, as these are the cells responsible for bone formation and are typically labeled in diagrams of bone tissue."
45,All of the following statements regarding acetylated and nonacetylated salicylates are correct EXCEPT?,Diflunisal belongs to nonacetylated salicylates.,Diflunisal belongs to COX-1 selective inhibitor.,Aspirin selectively inhibits platelet function at low doses.,Aspirin reduces the incidence of transient ischemic attacks.,B,老師的講義中並無提及Diflunisal為COX1 selective，根據其結構，並沒有乙醯基轉給COX酵素。,非類固醇抗發炎之藥理學,吳炳男,"The correct answer is B, as Diflunisal is not classified as a COX-1 selective inhibitor, which is supported by the absence of an acetyl group in its structure."
46,Which of the following statements regarding Acetaminophen is correct?,It has significant COX-2 inhibitory actions.,It has potent anti-inflammatory effects.,Dosing in adults is recommended not to exceed 10 g/d.,N-acetylcysteine can be used for those at risk of hepatic injury.,D,,非類固醇抗發炎之藥理學,吳炳男,"The correct answer is D, as N-acetylcysteine is indeed used as an antidote for acetaminophen overdose, particularly in patients at risk of hepatic injury."
47,Which of the following NSAIDs is a prodrug and the only nonacid NSAID currently used?,Nabumetone,Meloxicam,Tenoxicam,Celecoxib,A,上課時老師有提及唯一非酸性NSAID就是Nabumetone。,非類固醇抗發炎之藥理學,吳炳男,"The correct answer is A, Nabumetone, as it is recognized as a prodrug and the only nonacid NSAID currently in use."
48,Which of the following statements regarding COX-2 inhibitors is correct?,There are no incidences of edema.,They have no impact on platelet aggregation at usual doses.,They increase circulating prostacyclin during long-term therapy.,They decrease the incidence of thrombotic risk.,B,,非類固醇抗發炎之藥理學,吳炳男,"The correct answer is B, as COX-2 inhibitors are known to have minimal effects on platelet aggregation compared to traditional NSAIDs."
49,All of the following statements about anti-gout agents are correct except,Colchicine can reduce uric acid synthesis and excretion.,Probenecid and sulfinpyrazone are uricosuric agents.,Febuxostat reduces total uric acid body burden by inhibiting xanthine oxidase.,Indomethacin can be alternatively used in acute gout.,A,Colchicine主要作用是抑制白血球的移動和吞噬作用，是針對急性痛風。,非類固醇抗發炎之藥理學,吳炳男,"The correct answer is A, as Colchicine does not reduce uric acid synthesis and excretion; its primary action is to inhibit leukocyte migration and phagocytosis."
50,"Which of the following anti-gout agents is a recombinant mammalian urate oxidase that catalyzes the enzymatic oxidation of uric acid into allantoin, a more soluble and inactive metabolite?",Colchicine,Allopurinol,Probenecid,Pegloticase,D,,非類固醇抗發炎之藥理學,吳炳男,"The correct answer is D, Pegloticase, as it is a recombinant enzyme that converts uric acid into allantoin, which is more soluble."
51,Which of the following is not the main structures in X-ray Wrist carpal tunnel view?,Hook of Hamate,Capitate,Metacarpal,Scaphoid,C,,肌肉骨骼影像解剖學-上肢,林育全,"The correct answer is C, Metacarpal, as the main structures visible in a carpal tunnel view include the capitate, scaphoid, and hook of hamate."
52,"According to YCL method (CNRMT) interpreting a skeletal radiograph, which of the following belongs to Relation(R)?",A calcified lesion over greater tubercle in X-ray Shoulder AP view,Dislocated radius and ulna in X-ray Elbow lateral view,An over-bowing radius in X-ray Forearm AP view,Additional middle phalanx and distal phalanx in X-ray Hand AP view,B,,肌肉骨骼影像解剖學-上肢,林育全,"The correct answer is B, as a dislocated radius and ulna represents a relational aspect in skeletal radiograph interpretation."
53,"According to YCL method (CNRMT) interpreting a skeletal radiograph, which of the following belongs to Morphology (M)?",A calcified lesion over greater tubercle in X-ray Shoulder AP view,Dislocated radius and ulna in X-ray Elbow lateral view,An over-bowing radius in X-ray Forearm AP view,Additional middle phalanx and distal phalanx in X-ray Hand AP view,C,考古題,肌肉骨骼影像解剖學-上肢,林育全,"The correct answer is C, as an over-bowing radius is a morphological characteristic observed in skeletal radiographs."
54,Which statement(s) is/are false?,Brittle material undergoes very little plastic deformation before failure.,Tendon is a brittle material.,Ductile material undergoes more plastic deformation before failure.,Ceramics is a brittle material.,B,Tendon is a ductile Materials,基礎生物力學,周伯禧,
55,Which of the following(s) can be helpful in diagnosing Superior Labrum Anterior to Posterior Lesion (SLAP)?,MR-Arthrography,Injury Mechanism & Clinical S/S,O’Brien’s Test,All of the above,D,,基礎生物力學,周伯禧,
56,Motion analysis can be clinically applied in which of the followings?,Study of baseball pitching,Simulation of fall on the outstretched hand,Gait Analysis in patients with ACL instability,All of the above,D,"Motion analysis定義廣泛,關於Kinesiology等等都可以算其中一部分 其可分為Kinematics和Kinetic Kinematics是study of motion，指動作上的差異，觀察物體如何運動 Kinetics是計算關節在運動中受力的大小 所以(A)(B)(C)都包含在以上兩者的定義中",基礎生物力學,周伯禧,
57,The highest shoulder joint loading can occur on which of the time interval during pitching motion?,Winding phase,Late cocking & early acceleration phase,Deceleration phase,Follow through phase,B,在Late cocking & early acceleration phase時期，肩膀和手肘承受最大的力量，所以這時候肩膀與肘關節最容易受傷。,運動創傷及運動醫學,周伯禧,
58,Which of the following statement(s) about PCL (Posterior Cruciate Ligament) injuries is/are false?,related to trauma and traffic accident,PCL reconstruction is the best treatment for isolated PCL tear,Posterior Sag & Posterior Drawer Test can detect PCL injuries,MRI is useful in diagnosing PCL injuries,B,老師口述: 單一PCL斷裂但復原良好組(Coper組)，找20位經過積極復健3個月以上的病患來進行測試，復原良好組會有比較好的肌肉強度，也會利用力量轉移的方式跟比較小的膝蓋角度來減輕膝蓋的負擔，不一定要開刀。,運動創傷及運動醫學,周伯禧,
59,Valgus Extension Overload is probably the most common cause of elbow injury in baseball pitchers. It is not associated with,medial collateral ligament instability,osteochondral injuries of the radio-capitellar joint,radial nerve palsy,posterior elbow,C,非常古，背誦題,運動創傷及運動醫學,周伯禧,
60,"In normal bone growth process, where and when to process the endochondral ossification? Which one of the follows is the most appropriate answer?",At epiphyseal growth plate while long bone elongation,At epiphysis of a long bone while primary ossification,At center of a long bone while secondary ossification,At calvaria while fetal bone growth,A,BC寫反，D頭蓋骨為膜內骨化,骨與軟骨生理學,何美泠,
61,Which one of the follows is the most inappropriate for chondrocyte’s characteristics?,Chondrocytes are the cells in cartilages.,The fate of the chondrocytes in epiphyseal growth plates are undergoing terminal differentiation eventually while bone growth.,The chondrocytes in articular cartilage secrete collagen type I and glycosamino-glycan to maintain the normal hyalin cartilage.,The chondrocytes in normal articular cartilage does not undergo terminal differentiation.,C,(C)是分泌collagen type II,骨與軟骨生理學,何美泠,
62,Which one of the following statements is the most appropriate for articular cartilage?,Articular cartilage gets the nutrient from circulation by Haversian’s system.,"Glycosaminoglycan with the negative charges on its molecular surface, which is helpful for influx of synovial fluid.","Collagen type II with triple helix structure, which is for maintaining the fluid in cartilage.","Collagen type I with triple helix structure, which is for maintaining tensile property in cartilage.",B,GAG: Chondroitin sulfate (mostly) A. 上面這個用紅圈圈圈起來的部分主要成分是 COO- 和 SO3-，他們因為負電相斥會造成 repulsive force，進而產生 swelling pressure 整個就會膨脹起來 B. Free-floating “+” charged ion → osmotic pressure 而當膨脹之後由於整個結構帶負電，正離子和水就會從外面的 synovial fluid 被吸進來進行營養交換進而達到保濕和代謝的功用,骨與軟骨生理學,何美泠,
63,Which of the follows is the most appropriate for osteoclasts?,Osteoclasts are differentiated from bone marrow mesenchymal stem cells.,Osteoclasts are the most important bone cells to do bone formation,"Osteoclasts are multi-nuclear macrophage-like cells, majorly for bone resorption.","Osteoclasts with proton pump, which is to digest bone matrix protein.",C,"(A) Osteoclasts 分化來自Hematopoietic stem cell.

(B) Osteoclasts對於bone resorption最為重要
(D) Osteoclasts的proton pump所創造的pH1-2的環境是為了分解磷酸鈣；
欲分解protein使用的是protease.",骨與軟骨生理學,何美泠,
64,Which of follows is the most inappropriate for Osteoblasts?,Osteoblasts are differentiated from bone marrow mesenchymal stem cells.,Some of the osteoblasts differentiate into lining cells located on bone surface.,Most of the osteoblasts differentiate into osteocytes.,Osteocytes are the most important cells for bone formation.,D,"(D) Bone formation和Bone resorption都是在osteoblast和osteoclast相互調控平衡下進行， Bone formation又更需要osteoblast製造基質，相較之下osteocyte的角色就沒那麼重要。
根據Robins組織課本，osteoblasts僅10%~20%形成osteocytes，其他大部分會apoptosis。",骨與軟骨生理學,何美泠,
65,Which one of the follows is the most appropriate for keeping bone’s hardhess (stiffness) to resist compression force?,Hydroxyapatite,Osteocalcin,Collagen type,Osteopontin,A,骨質中堅硬的部分主要由特殊結構的磷酸鈣組成稱為hydroxyapatite,骨與軟骨生理學,何美泠,
66,Which one of follows is the most appropriate for promoting osteoclastogenesis?,Estrogens,OPG (Decoy receptor of RANKL),Calcitonin,RANKL,D,RANKL與hematopoietic stem cell上的RANK結合後會促進其分化為osteoclast，反之OPG為RANKL的decoy receptor，會防止其結合至RANK而estrogen及calcitonin皆會抑制osteoclast的分化過程。,骨與軟骨生理學,何美泠,
67,Which one of the follows is the most appropriate for the function of PTH (parathyroid hormone)?,Decrease circulating calcium level,Promote bone resorption physiologically,Elevate circulating phosphate level,Suppress bone formation at pharmacological dose,B,PTH生理功能為升血鈣降血磷，增加骨骼Resorption,骨與軟骨生理學,何美泠,
68,Which one of the following factors is to increase bone resorption but inhibit bone formation physiologically?,PTH,Calcitonin,Vitamine D3,Sclerostin,D,,骨與軟骨生理學,何美泠,
69,"In an osteoporosis animal experiment, which one of the following techniques is the most appropriate to measure BV/TV (ratio of trabecular volume to total volume)?",Histomorphometry,Bone mineral density measurement,Micro-CT analysis,MRI analysis,C,,生理學實驗-骨質疏鬆動物模式,何美泠,
70,"Regarding the description of osteonecrosis of femoral head, which of the following is correct?",Drinking alcohol is the main cause of femoral head avascular necrosis in women,Crescent sign is a typical finding in X ray in stage III of femoral head osteo- necrosis,HIV infection is a risk factor even without protease inhibitors,Donut-like change could be seen in MRI in avascular necrosis of the femoral head,C,"(A) 老師上課特別強調，骨頭疾病多數女性發生率高，少數像是骨壞死反而是男性發生率高，其中男生常見的原因又以喝酒居多
(B) Crescent sign是在stage II就可以看到的finding
(C) 正確，HIV病毒的感染本身就是骨壞死的risk factor
(D) donut like是核子醫學檢查的finding，MRI是double line sign",骨質疏鬆與骨壞死,林松彥,
71,Which of the following statements is correct?,The main pathogenesis of osteoporosis is the imbalance of bone modeling.,The lumbar spine and bilateral hips are common sites for testing bone density.,A 65-year-old woman got a slip falling while walking and suffered a fracture of the first lumbar vertebra (L1 compression fracture). The DXA examination showed that T-score of the female neck is -1.2 and the average T-score of L2-L4 is -1.5. The woman was not eligible for the diagnosis of osteoporosis.,"It is necessary to careful survey for coexisting problems or diseases with osteoporosis, when the T-score less than 2.0 was noted in young patients.",B,"(A) 應改為bone remodeling
(B)正確
(C)走路時滑倒骨折屬於低創傷性骨折，因此即使T-score(-1.5)>-2.5，也可以診斷為骨質疏鬆。
(D)應改為Z-score<-2時需careful survey。",骨質疏鬆與骨壞死,林松彥,
72,Which of the following statements is correct?,Bone modeling must have osteoclast and osteoblast coupling,RANK ligand inhibitor binds to RANK on osteoclasts to inhibit the maturation of osteoclasts,Continuous administration of Parathyroid hormone increase bone formation,Anti-sclerostin antibody promotes Wnt signaling pathway to increase bone synthesis and inhibits RANKL-dependent pathway to decrease bone breakdown,D,"(A) Remodeling才會有先後順序之分
(B) RANKL應該為促進嗜骨細胞的成熟和作用
(C) 可參考下圖，間斷性給藥才能促進骨質
(D) 正確，左邊是Wnt pathway，右邊是RANKL的pathway",骨質疏鬆與骨壞死,林松彥,
