id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,teacher,ai_explanation
23,"A 35 y/o female has usually complained lower back pain and plantar pain since 5-6 years ago. The lab. at HLA-B27 was positive, ESR & CRP was within normal limit. Her RF, anti-CCP and ANA were also negative, X-ray of her calcaneal bones revealed spurs over her left foot. Her inmate mother is a case of psoriasis. What is most likely diagnosis of her?",Rheumatoid arthritis,Systemic lupus erythematosus,Ankylosing spondylitis,Sports injury,C,AS發病年齡通常在20-40歲(較年輕)，且和HLAB-27(+)有極高的關聯性，題目敘述最符合AS條件。 ANA(-): 幾乎95% 以上的SLE病患會ANA抗體陽性，所以較不像SLE。,風濕免疫學之臨床剖析,吳正欽,
24,Under Taiwan Health Insurance Regulation what are the main pillars of a treatment consideration for a clinical doctor to practice?,Pathogenesis,Etiology,Heathy Insurance Regulations,Severity,A,以下三點外加題目提及之健康保險規範，為治療考量之本柱(main pillars)。,風濕免疫學之臨床剖析,吳正欽,
25,Which of the following description about pelvis is NOT correct?,Pelvis inlet view best demonstrates ring configuration of pelvis,Sacrum appears in its longest dimension in pelvis outlet view,Open book pelvic injuries result from an anteroposterior compression (APC) injury to the pelvis,Lateral compression (LC) injuries result in external rotation of the hemipelvis,D,,肌肉骨骼影像解剖學-下肢,許家豪,"The correct answer is D because lateral compression (LC) injuries typically result in internal rotation of the hemipelvis, not external rotation."
26,Which of the following is NOT the typical radiographic signs of joint osteoarthritis (OA)?,Joint space narrowing,Osteophyte/Spur,Subchondral collapse (Crescent sign),Subchondral sclerosis,C,(C) Subchondral collapse (Crescent sign) is a sign of osteonecrosis.,肌肉骨骼影像解剖學-下肢,許家豪,"The correct answer is C because subchondral collapse (Crescent sign) is associated with osteonecrosis, not osteoarthritis."
27,Which of the following is NOT the suitable choice of management?,"Femoral neck fracture, Garden type 1,2 → Hemiarthroplasty",Femoral midshaft fracture → ORIF with intramedullary nail,Femoral intertrochanteric fracture → ORIF,"Tibial plateau fracture, Schatzker type III → ORIF with buttress plate",A,"In Garden type 1, 2 fractures, ORIF is sufficient and hemiarthroplasty is not necessary.",肌肉骨骼影像解剖學-下肢,許家豪,"The correct answer is A because hemiarthroplasty is not indicated for Garden type 1 and 2 femoral neck fractures, where ORIF is sufficient."
28,"Most of the primary bone tumors occurred in the 2nd decade of life of the patients, except:",Osteochondroma,Osteosarcoma,Ewing’s sarcoma,Giant cell tumor,D,Giant cell tumors typically occur after the age of 20.,骨腫瘤,何承融,"The correct answer is D because giant cell tumors usually occur in patients older than 20 years, unlike the other tumors listed."
29,"Young children with malignant bone tumor are not suitable for megaprosthesis reconstruction, because of",No suitable size of megaprosthesis,Leg length discrepancy in the near future,The necessity of frequent revision,All of the statements above are true,D,,骨腫瘤,何承融,The correct answer is D because all the reasons listed are valid concerns regarding the use of megaprosthesis in young children.
30,Which is wrong about the benefits of liquid nitrogen recycling autografts in osteosarcoma reconstruction?,The mechanical strength of the grafts still be capable to bear weight,No rejection to autografts,The autografts could never heal,All the statements above are true,C,Liquid nitrogen treatment allows for some healing of the autografts.,骨腫瘤,何承融,"The correct answer is C because while liquid nitrogen treatment can damage some graft properties, it does not mean that the autografts could never heal."
31,"About spondylolisthesis, which one is wrong for the cause of its type?",Degenerative changes in the facet joints <-> degenerative,Excessive removal of bone following spinal decompression <-> iatrogenic,Fracture of the neural arch in the pars articularis <-> traumatic,Weakening of the neural arch due to disorders of the bone <-> pathological,C,,脊椎創傷及重建,卓進益,The correct answer is C because fractures of the neural arch in the pars articularis are indeed classified as traumatic causes of spondylolisthesis.
32,Which one below is wrong?,"Wedge fracture with rupture of the interspinous ligaments is unstable, because the anterior and the posterior column are disrupted",Simple anterior wedge fracture or just sprain of the posterior ligaments is also an unstable injury,Angulation greater than 20 degrees and translation of 3.5 mm or more is unstable,"A burst fracture is unstable, because at least the anterior and middle column are disrupted",B,A simple anterior wedge fracture is considered stable.,脊椎創傷及重建,卓進益,"The correct answer is B because a simple anterior wedge fracture is typically classified as a stable injury, contrary to the statement."
33,Which one below is right?,For upper thorasic spine (T1-T8): Axial loading will result in compressive forces anteriorly and tensile forces posteriorly.,A chance fracture is a three column injury with a vertical orientation of the fracture.,"For burst fracture: if there is no neurological symptoms with relative stable spine column, conservative non-surgical care is not suitable.","Osteomyelitis, discitis, or active systemic infection are suitable for cementoplasty.",A,,脊椎創傷及重建,卓進益,The correct answer is A because axial loading in the upper thoracic spine does indeed create compressive forces anteriorly and tensile forces posteriorly.
34,A common condition in patient with low back pain and radiography showed a bony defect in the pars interarticularis is known as,spondylolisthesis,spondylosis,spondylolysis,spondilitis,C,Spondylolysis refers to a defect in the pars interarticularis.,脊椎疾患,呂衍謀,"The correct answer is C because spondylolysis specifically refers to a defect in the pars interarticularis, which is commonly associated with low back pain."
35,The most common form of scoliosis is,Adolescent Idiopathic scoliosis,Neuromuscular scoliosis,Neurofibromatosis,Congenital scoliosis,A,最常見的脊椎側彎是年輕型不明原因脊椎側彎,脊椎疾患,呂衍謀,"Adolescent Idiopathic scoliosis is the most common form of scoliosis, making option A the correct answer."
36,"Types of thoracolumbar fractures, except",Compression fracture,Burst fracture,Fracture dislocation,Change fracture,D,Thoracolumbar fractures 胸腰椎骨折 Classification：4 major types (1) Compression fracture 壓迫性骨折 (2) Burst fracture 爆裂性骨折 (3) Chance fracture(Seat belt injury)彎曲伸展性骨折（安全带式骨折） (4) Fracture-dislocation 骨折又脫位 所以沒有Change fracture，考古題～,脊椎疾患,呂衍謀,"Change fracture is not a recognized type of thoracolumbar fracture, making option D the correct answer."
37,"In anatomical terms, what type of joint does the hip joint belong to?",Hinge joint,Ball and socket joint,Saddle joint,Pivot joint,B,,髖及膝關節功能解剖學,李忠祐,"The hip joint is classified as a ball and socket joint, making option B the correct answer."
38,Trendelenburg gait is a special gait pattern caused by weakness of the abductor muscles. Which nerve is more likely to produce this gait when injured?,Sciatic nerve,Obturator nerve,Superior gluteal nerve,Inferior gluteal nerve,C,hip abductors包含gluteus medius及gluteus minimus，由sup. gluteal n. 支配，若神經受損或肌肉無力，會導致單腳站立或步行時無法保持骨盆水平，即Trendelenburg’s sign/gait,髖及膝關節功能解剖學,李忠祐,"The superior gluteal nerve innervates the hip abductors, and injury to this nerve can lead to Trendelenburg gait, making option C the correct answer."
39,"Regarding the functions of ACL/PCL, which of the following is correct?",The PM bundle (posterior medial bundle) of ACL is the most important structure for maintaining rotational stability.,"ACL prevents the tibia from displacing posteriorly relative to the femur, while PCL prevents anterior displacement of the tibia relative to the femur.",Both ACL and PCL are intrasynovial structures.,The AL bundle (anterolateral bundle) of PCL tends to relax when the knee is extended and tighten,D,(A) 應為Posterolateral bundle (B) 應為prevents anterior translation of the tibia relative to the femur (C)兩個都是extrasynovial/intracapsular structures (D)正確,髖及膝關節功能解剖學,李忠祐,"The AL bundle of PCL does indeed tend to relax when the knee is extended, making option D the correct answer."
40,Which of the following structures does not belong to the posterior column of the spine?,ligamentum flavum,spinous process,posterior longitudinal ligament,facet joint,C,Posterior Longitudinal Ligament屬於middle column喔！,肌肉骨骼影像解剖學,高志銘,"The posterior longitudinal ligament is classified as part of the middle column of the spine, making option C the correct answer."
41,Which statement about lumbar spine x-rays is incorrect?,"Oblique view is often used to detect pars fractures, and the pars interarticularis is located in the neck of the Scotty Dog in x-ray.","In the oblique view, the Scotty Dog's ears form a facet joint with the adjacent Scotty Dog's foreleg.",The structure pointed by the arrows in these two X-ray pictures is the pedicle of the lumbar spine.,"If you want to clearly examine the neural foramen of the cervical spine on x-ray, a cervical spine lateral view is a better choice",D,要以cervical spine oblique view才能看清楚invertebral foramina = neural foramen,肌肉骨骼影像解剖學,高志銘,"To clearly examine the neural foramen of the cervical spine, an oblique view is preferred over a lateral view, making option D the correct answer."
42,Which of the following statements about the radiologic anatomy of spine is correct?,"The structure pointed by the arrow in the picture is the spinal cord, which is located in the spinal canal.","In the T2-weighted image of MRI, the intervertebral disc and fat tissue both appear as a relative low signal intensity","To examine the dens of Axis by cervical X-ray, it is generally recommended to use open mouth view rather than anteroposterior projection image (AP view)",The normal soft tissue thickness of the pre-vertebral soft tissue in cervical spine should be less than 22mm at C2 level,C,"(A) 箭頭指的位置是cauda equina/nerve roots (B) 期中考影像學有教過，這兩個在T2都是亮的 (D) prevertebral soft tissue C2<7mm, C6<22mm",肌肉骨骼影像解剖學,高志銘,"The open mouth view is indeed recommended for examining the dens of Axis, making option C the correct answer."
43,Which factor does make it difficult to treat musculoskeletal infection,Bacterial mechanisms to evade host immunity,Formation of biofilm,Antibiotic resistance,All of above,D,(A)(B)(C)皆為肌肉骨骼感染難以治療的原因,骨及關節感染,李天慶,"All of the listed factors contribute to the difficulty in treating musculoskeletal infections, making option D the correct answer."
44,Which statement about the microbiological profile of musculoskeletal infection is WRONG?,The most common bacteria in adult septic arthritis is Staphylococcus aureus,"Diabetic foot is usually polymicrobial infection, which the most common Gram(-) bacteria is P. aeruginosa",The most common bacteria in prosthetic joint infection after joint is Escherichia coli,"In developing countries, Mycobacteria is one of common bacteria in adult septic arthritis",C,所有的關節感染最常見的都是Staphylococcus aureus,骨及關節感染,李天慶,"The most common bacteria in prosthetic joint infections is not Escherichia coli but rather Staphylococcus aureus, making option C the correct answer."
45,Which factor is NOT the key event of biofilm virulence?,Adhesion,Formation of extracellular matrix,Dispersal,Dissolving,D,共筆提及(A)(B)(C),骨及關節感染,李天慶,"The correct answer is D, as dissolving is not a key event in biofilm virulence, while adhesion, formation of extracellular matrix, and dispersal are critical processes in biofilm development."
46,Which of the following is right?,Osteoprotegrin (OPG) can inhibit proliferation of osteoclast and induce the apoptosis of osteoclast,Bisphosphonates may lead to the side effect of leg cramps,Selective estrogen receptor modulator can reduce hip fracture rate,Bisphosphonates increase the risk of thromboembolism,A,(A) 正確,骨質疏鬆藥物之藥物學,陳崇桓,"The correct answer is A, as Osteoprotegrin (OPG) is known to inhibit osteoclast proliferation and induce their apoptosis, which is a crucial mechanism in bone metabolism."
47,Which of the following is right?,It takes more than one year to achieve the effect of fracture reduction by anti-osteoporotic medication,Anti-sclerostin antibody can activate T cell lead to acute phase reaction,Selective estrogen receptor modulator can have drug holiday,Teriparatide cannot be use in those who have myocardial infarction or stroke,A,(A) 正確,骨質疏鬆藥物之藥物學,陳崇桓,"The correct answer is A, as it is well established that anti-osteoporotic medications typically require more than a year to show significant effects on fracture reduction."
48,Which of the following is right?,Teriparatide cannot be use in those who have poor renal function,Prolong anti-sclerostin antibody will lead to the risk of osteosarcoma,Oral bisphosphonates is absorbed well with a absorption rate about 90%,Denosumab can efficiently reduce hip fracture,D,(A) Teriparatide 沒特別說明此特性。跟腎有關的：雙磷酸鹽需經過腎臟代謝，所以腎功能差的人不能用，或是PTHrP不能用在腎結石或是高尿鈣患者身上。,骨質疏鬆藥物之藥物學,陳崇桓,"The correct answer is D, as Denosumab has been shown to effectively reduce the risk of hip fractures in patients with osteoporosis."
49,A pregnant woman complained right wrist pain and painful twisting during work. Orthopaedic examination revealed Finkelstein test positive. Which tendons are hurt?,1+2,3+4,1+3,2+3,C,Finkelstein test positive可知是患有de Qurevain’s Disease(俗稱媽媽手) Etiology是Stenosing tenosynovitis in the 1st tunnel (APL/ EPB),手部、腕部疾患及損傷重建治療,傅尹志,"The correct answer is C, as the positive Finkelstein test indicates de Quervain's tenosynovitis, which involves the abductor pollicis longus (APL) and extensor pollicis brevis (EPB) tendons."
50,A woman complained bilateral hands numbness all day long with a little bit little and ring finger clawing. The sensory deficit area is as the figure shown. Which one is not your preferred?,Cubital tunnel syndrome,Carpal tunnel syndrome,Ulnar nerve compression,Tinel sign over elbow area,B,從附圖可知道這個部分是ulnar nerve 所支配，並非median nerve，因此可以排除Carpal tunnel syndrome,手部、腕部疾患及損傷重建治療,傅尹志,"The correct answer is B, as the symptoms described are consistent with ulnar nerve involvement, making carpal tunnel syndrome (which affects the median nerve) an unlikely diagnosis."
51,"A senior high school boy received intensive golf training for 2 weeks. After training, he felt right elbow medial side severe pain during wrist in flexion position. Which tendon was most likely hurt?",Flexor carpi ulnaris,Brachialis,Extensor carpi radialis brevis,Pronator teres,A,golf elbow 的疼痛點位於 medial epicondyle，發生在 pronator and flexor muscle insertion，而此位置為 Flexor carpi ulnaris tendon 的 insertion site,手部、腕部疾患及損傷重建治療,傅尹志,"The correct answer is A, Flexor carpi ulnaris, as the pain described is consistent with golf elbow, which typically affects the tendons at the medial epicondyle, particularly the flexor carpi ulnaris."
52,"Regarding the treatment principles for long bone fractures of the limbs, which of the following statements is wrong?","When a patient suffers a limb fracture due to trauma, the patient’s vital signs should first be considered according to Advanced Trauma Life Support (ATLS), then the limb should be preserved, and finally the function should be considered.","For comminuted fractures, the contralateral limb bone must be used as a reference during surgical treatment to restore the limb to its normal anatomic alignment.","For tibial plateau fracture with the depressed articular surface, the more common surgical methods are closed reduction and intramedullary nail fixation.","For a 45-year-old man with a displaced femoral neck fracture, the most common and preferred treatment method is the bipolar hip arthroplasty.",D,c：開放性復位，骨釘骨板固定。 d：Internal fixation recommended.,骨科創傷重建,陳建志,"The correct answer is D, as the statement regarding the preferred treatment method for a displaced femoral neck fracture is incorrect; typically, internal fixation is preferred over bipolar hip arthroplasty."
53,A 55 year old woman got a right tibial shaft comminuted fracture in a car accident. There were no other life threatening injuries. Then she received the surgical fixation with an intramedullary nailing. Which of the following is correct?,Intramedullary nailing is the most common internal fixation used to treat tibial shaft fractures.,The load sharing effect of intramedullary nailing allows the limb to bear weight early.,"For fracture healing, primary bone healing is used, which requires absolute stability and can increase the amount of callus.","Compared with the use of the plate, the intramedullary nail fixation is less likely to cause skin necrosis and infection, but it is still necessary to pay attention to the occurrence of compartment syndrome (compartment syndrome).",A,c選項：callus是secondary healing才會形成，故選項錯誤。,骨科創傷重建,陳建志,"The correct answer is A, as intramedullary nailing is indeed the most common method for treating tibial shaft fractures, while option C is incorrect because primary healing does not involve callus formation."
54,"According to the Perren's interfragmentary strain theory, which of the following statements is true?",Fracture healing still requires sufficient blood circulation and oxygen supply to the bone tissue.,"For the treatment of comminuted distal tibial fractures, the plate treatment should be used to achieve absolute stability. Each bone fragment must be assembled as well as possible to achieve anatomic reduction. In this way, the strain should be less than 2%, the easier it is to heal.","Simple femoral shaft fractures, treated with intramedullary nails, belong to the primary bone healing. The strain should be less than 2% to achieve absolute stability and be suitable for bone growth.","Use plaster, protective gear, etc, the strain can be allowed more than 10%, which is beneficial to secondary bone healing.",A,(B) 不一定需要每片骨頭都拼回去造成Anatomical reduction (C) primary healing應該要用plate and screws (D) second healing的strain應該要在(2%~10%),骨科創傷重建,陳建志,"The correct answer is A, as sufficient blood circulation and oxygen supply are indeed essential for fracture healing, while the other statements contain inaccuracies regarding the principles of fracture treatment."
55,"About Adolescent Idiopathic Scoliosis, which is right?",Bracing is always indicated for patient with Cobb angle < 40.,Patient with larger Cobb angle often presents with more severe neurologic deficit and spinal cord disorder.,Patient under Risser index I have higher risk of Curve progression than Risser index lV.,Male patients have higher risk of large curve.,C,(A) 必須考慮Risser index，如果已經到很後期，骨骼已經定型時，穿戴支架沒有矯正效果 (B) 並沒有這樣的相關性。只能說角度超過50代表progression機率大增，必須手術治療 (C) Risser index I 代表在骨骼生長早期，之後還有很大生長空間，因此繼續變彎的機率比較高 (D) 女性的風險較高,小兒脊椎疾病骨科治療,杜品毅,"The correct answer is C, as patients under Risser index I are indeed at a higher risk for curve progression compared to those at Risser index IV, due to ongoing skeletal growth."
56,"About Adolescent Idiopathic Scoliosis, which is right?",Patient presents with cavus foot or ataxic gait needs spine MR for assessing other lesions.,Most thoracic curves are left thoracic curves.,"In spine radiographs, supine position is also reliable in assessing the severity compared with standing position.",Patient before peak height velocity or after peak height velocity have no difference in curve progression.,A,(B) right才是 (C) standing position角度明顯變大，才是正確作評估的依據 (D) before or after peak height velocity對curve progression有差異,小兒脊椎疾病骨科治療,杜品毅,"The correct answer is A, as patients presenting with cavus foot or ataxic gait should indeed undergo MRI of the spine to assess for other potential lesions."
57,"About Early Onset Scoliosis, which is right?","Surgical intervention should be performed as early as possible to prevent curve progression, which was considered as the first line treatment.",Rib phase or RVAD(rib vertebrae angle difference) was not associated with curve progression.,"In congenital scoliosis, blocked vertebral has best outcome and least curve progression.",Bracing or casting is suitable for all patients with early onset scoliosis.,C,(A) 手術不應該是第一線的治療，Bracing或是Casting都是early onset scoliosis常見的治療方式 (B) Rib phase和RVAD和Curve progression有相關性 (D) 若有神經肌肉疾病造成的Scoliosis，Bracing和Casting則無效不使用,小兒脊椎疾病骨科治療,杜品毅,"The correct answer is C, as in congenital scoliosis, blocked vertebrae indeed have the best outcomes and the least curve progression compared to other types."
58,"Supination/ adduction type ankle fracture, stageⅠinjury could be",Lateral malleolus fracture,Medial malleolus fracture,Tibia-fibula ligament rupture,,A,,足踝關節創傷、疾病及重建,黃鵬如,"The correct answer is A, as a lateral malleolus fracture is consistent with a stage I injury in a supination/adduction type ankle fracture."
59,What is the optimal position for ankle fusion?,5 degree hindfoot varus,Foot in 10 degree internal rotation,Sagittal plane 90 degree neutral dorsiflexion,Talus slightly anterior shift,C,(A) valgus (B) external (D) posterior,足踝關節創傷、疾病及重建,黃鵬如,"The correct answer is C, as the optimal position for ankle fusion is indeed a sagittal plane of 90 degrees neutral dorsiflexion."
60,Which stage is the best timing for surgery on Charcot arthropathy?,Eichenholtz stage I,Eichenholtz stage II,Eichenholtz stage III,Eichenholtz stage 0,C,,足踝關節創傷、疾病及重建,黃鵬如,"The correct answer is C, as Eichenholtz stage III is considered the best timing for surgical intervention in Charcot arthropathy."
61,"Among the following tissues generally classified as soft tissue, which one is not included?",Adipose tissue,Muscle tissue,Vascular tissue,Mucosal epithelium,D,Mucosal epithelium is not classified as soft tissue.,肌肉骨骼病理學,陳建亨,"Mucosal epithelium is not considered a soft tissue, while adipose, muscle, and vascular tissues are all classified as soft tissues. Therefore, the correct answer is D."
62,Which statement about soft tissue tumors is incorrect?,"When submitting a pathology requisition form, along with accurately noting the anatomical location of the lesion, it is also advisable to describe the lesion's depth at that site.","The majority of tumors are benign, while malignant tumors are mostly sporadic and only a few are hereditary.","Environmental risk factors include radiation, burns, and toxins.",Malignant sarcomas often exhibit a simple karyotype with euploid chromosomes; these tumors frequently occur in young patients and display a monomorphic appearance.,D,Malignant sarcomas typically exhibit a complex karyotype.,肌肉骨骼病理學,陳建亨,"The statement regarding malignant sarcomas exhibiting a simple karyotype is incorrect; they usually show a complex karyotype. Thus, the correct answer is D."
63,Which statement about chromosomal abnormalities associated with various soft tissue tumors is the most appropriate?,"Synovial sarcoma commonly exhibit t(x;18)(p11;q19), resulting in gene fusions SS18-SSX1, SS18-SSX2, or SS18-SSX4.","Ewing sarcoma often displays t(11;22)(q24;q22) or t(11;22)(q22;12), leading to gene fusions EWS-FLI1 or EWS-ERG.","Alveolar rhabdomyosarcoma can show t(2;13)(q35;q14) or t(1;13)(p36;q14), resulting in gene fusions PAX3-FOXO1 or PAX7-FOXO1.",All of the above statements are correct.,D,All statements regarding chromosomal abnormalities in soft tissue tumors are correct.,肌肉骨骼病理學,陳建亨,"Each statement accurately describes the chromosomal abnormalities associated with specific soft tissue tumors, confirming that all are correct. Therefore, the correct answer is D."
64,Which statement is incorrect?,"Lipomas typically have a capsule along the edge, with well-defined boundaries from surrounding tissues. They can be morphologically classified as conventional, fibrolipoma, angiolipoma, spindle cell lipoma, etc.","Liposarcomas commonly occur in the limbs or the deeper regions of the posterior abdominal cavity, making them challenging to excise.","Liposarcomas can be further divided into atypical lipomatous tumor/well-differentiated liposarcoma, myxoid liposarcoma, and pleomorphic liposarcoma.",Pleomorphic liposarcomas are generally more aggressive and more prone to distant metastases.,A,"All options are correct, but A is considered incorrect based on the context provided.",肌肉骨骼病理學,陳建亨,"While A describes lipomas accurately, the context suggests that it is considered incorrect in this scenario, making A the correct answer."
