id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category
11,"小腸阻塞(Small-bowel obstruction),最常見的原因是:",(A)克隆氏症(Crohn's disease),(B)沾黏(Adhesions),(C)腫瘤(Neoplasms),(D)疝氣(Hernias),B,小腸阻塞最常見的原因是手術後沾黏(Adhesions)，約佔 60%。,"腸腫瘤,阻塞,直腸肛門疾病及外科治療 蔡祥麟"
12,"有關梅克爾憩室 (Meckel's diverticulum)的敘述,錯誤者:",(A)發生率男女比為2:1。,"(B)常見的位置是在離迴盲瓣(ileocecal value) 60公分內,大小長度約2英吋","(C)是胃腸道最常見的先天性異常(congenital anomaly),是屬於假性憩室。",(D)臨床上成年人通常不會有症狀。,C,梅克爾憩室包含完整的腸壁結構(黏膜、黏膜下層、肌肉層、漿膜層)，因此屬於「真性憩室(true diverticulum)」，而非假性憩室。,"腸腫瘤,阻塞,直腸肛門疾病及外科治療 蔡祥麟"
13,"胃腸道間質瘤(Gastrointestinal stromal tumors, GISTs)最常見的基因突變點位於:",(A)KIT gene exon 11,(B)KIT gene exon 9,(C)PDGFRA gene exon 18,(D)PDGFRA exon 12,A,GISTs最常見的基因突變位於 KIT gene exon 11 (約佔 67%)。,"腸腫瘤,阻塞,直腸肛門疾病及外科治療 蔡祥麟"
14,"有關 HNPCC (Hereditary nonpolyposis colon cancer)也稱為Lynch syndrome 的 revised Amsterdam criteria的敘述,何者錯誤?",(A)至少連續兩個世代都受到影響。,(B)兩世代中至少有兩位被診斷為結直腸癌時年齡小於50歲。,"(C)至少三個親屬是結直腸癌,其中一位是另外二位的一等親。",(D)屬於 autosomal dominant 的 inherited colorectal cancer syndrome。,B,阿姆斯特丹標準 II 的「3-2-1 規則」中，正確條件是至少有「一個」人被診斷時年齡小於 50 歲，而非兩位。,"腸腫瘤,阻塞,直腸肛門疾病及外科治療 蔡祥麟"
15,早期門脈高壓(portal hypertension)的機轉不包含下列哪些?,(A)週邊血管收縮,(B)心臟輸出增加,(C)nitric oxide (NO)合成增加,(D)renin-angiotensin 系統活化,A,門脈高壓會造成內源性一氧化氮(NO)大量釋放，進而導致內臟與「周邊血管擴張(Vasodilation)」，而非收縮。,門脈高壓、肝硬化與衰竭 黃釧峰
16,評估肝硬化Child-Pugh score時何者非考量因素,(A)aPTT (activated partial thromboplastin time)值,(B)腹水,(C)肝昏迷,(D)albumin值,A,Child-Pugh分級考量的五大因素為：Bilirubin、Albumin、Prothrombin time (PT或INR)、Ascites、Encephalopathy。不包含aPTT。,門脈高壓、肝硬化與衰竭 黃釧峰
17,肝臟由哪五種主要韌帶連接和固定?,(A)胃韌帶、脾韌帶、腎韌帶、胰韌帶、十二指腸韌帶,(B)鐮狀韌帶、冠狀韌帶、右三角韌帶、左三角韌帶、圓韌帶,(C)膽囊韌帶、肝門韌帶、闌尾韌帶、盲腸韌帶、直腸韌帶,(D)膈韌帶、腹膜韌帶、腸系膜韌帶、網膜韌帶、血管韌帶,B,肝臟的五大主要韌帶為：falciform (鐮狀)、coronary (冠狀)、right triangular (右三角)、left triangular (左三角) 與 round ligament (圓韌帶)。,肝腫瘤和創傷的手術治療 莊世昌
18,"在肝臟手術後,以下哪一種是可能發生的併發症?",(A)高血脂,(B)糖尿病,(C)膽汁滲漏,(D)高血壓,C,肝臟切除手術後常見與膽道相關的併發症為膽汁滲漏(Bile leak)或膽道狹窄。,肝腫瘤和創傷的手術治療 莊世昌
19,"在評估肝臟創傷時,腹部創傷快速評估 FAST (Focused assessment with sonography for trauma)檢查主要會檢查人體的哪四個區域以檢測游離液體?",(A)腦部、頸部、胸部、腹股溝,(B)肺部、腎臟、胰臟、膽囊,(C)肝臟周圍、脾臓周圍、骨盆、心包,(D)大腿、小腿、手臂、背部,C,FAST檢查的四個標準區域為：Perihepatic (肝周)、Perisplenic (脾周)、Pelvis (骨盆腔) 以及 Pericardium (心包膜)。,肝腫瘤和創傷的手術治療 莊世昌
20,以下哪一個組織是肝臟手術的現行指南機構(Current guidelines for liver surgery)之一?,(A)APASL (Asian Pacific Association for the Study of the Liver),(B)WHO (World Health Organization),(C)CDC (Centers for Disease Control and Prevention),(D)FDA (Food and Drug Administration),A,APASL (亞太肝臟研究學會) 指南是臨床引導肝臟手術與肝癌治療的重要現行規範之一。,肝腫瘤和創傷的手術治療 莊世昌
21,關於壺腹癌(Ampullary Carcinoma)以下敘述何者錯誤?,"(A)年輕人發生率高於老年人,男女性別無太大差異。",(B)Familial adenomatous polyposis (FAP) 和 Neurofibromatosis type 1 都是可能病因之一。,"(C)大部分壺腹癌組織型態是 adenocarcinomas,少部分是 neuroendocrine tumors.",(D)臨床表現常見阻塞性黃疸(obstructive jaundice)。,A,壺腹癌好發於老年人，發病高峰約在 70 歲左右(the seventh decade of life)，且男性比例稍微偏高。,膽道腫瘤 魏鈺儒
22,關於膽管癌(cholangiocarcinomas)以下敘述何者錯誤?,"(A)膽管癌的症狀包括腹痛、黄疸、疲勞、食慾不振、體重減輕等等,或是毫無症狀。",(B)肝外膽管癌(Extrahepatic cholangiocarcinomas)的發生率遠高於肝內膽管癌,(C)大部分膽管癌的組織型態為 adenocarcinoma.,(D)膽管癌是最常見的肝原發性惡性腫瘤。,D,最常見的肝臟原發性惡性腫瘤是「肝細胞癌(HCC)」，膽管癌是第二常見的原發惡性腫瘤。,肝臟腫瘤診斷與處理的原則 魏鈺儒
23,"一位92歲男性,B肝帶原,中風後長期臥床,生活無法自理,意識不清,由外傭全天照顧,因黃疸送醫,血液檢查顯示貧血、肝功能失代償,腹部超音波檢查發現多發性肝腫瘤,患者接受進一步肝臟電腦斷層檢查,無淋巴結以及遠端轉移,但是侵犯主要門靜脈,病理組織診斷為肝細胞癌,請問您會建議患者以下何種治療:",(A)手術切除(resection),(B)肝腫瘤消融(ablation),(C)支持性療法 (supportive care),(D)經動脈栓塞化療術(Transarterial Chemoembolization),C,"患者年事已高、生活無法自理、意識不清，且肝癌已侵犯主要門靜脈(屬於 Terminal stage D)，此時以支持性療法(Best supportive care, BSC)最能維護患者生活品質。",肝臟腫瘤診斷與處理的原則 魏鈺儒
24,關於肝臟血管瘤(hemangioma)以下敘述何者正確?,(A)最常見的良性肝臟腫瘤,(B)男性發生比例高於女性,(C)肝臟腫瘤切片比起電腦斷層更能夠幫助診斷,(D)大部分的血管瘤都需要儘快治療,A,(A)正確，血管瘤是肝臟最常見良性腫瘤。(B)女性發病比例遠高於男性(約4-6:1)。(C)切片出血風險極高且價值有限，CT即可確診。(D)絕大多數血管瘤無症狀，不需治療。,肝臟腫瘤診斷與處理的原則 魏鈺儒
25,"膽道閉鎖 (biliary atresia)是嬰兒期重要的慢性肝膽疾病,也是兒童肝臟移植手術最常見的病因。關於此病的診斷與治療,下列敘述何者錯誤?","(A)肝外總膽管發生纖維化阻塞是其特徵,通常在發病幾個月內就會進展成肝硬化",(B)膽道閉鎖最主要的臨床表現是出生一週後快速上升且必須加強照光的間接型黃疸,"(C)由於缺乏膽汁進入十二指腸,罹病嬰兒大便顏色會變成淺黃或是灰白便","(D)葛西式手術 (Kasai operation)是膽道閉鎖的治療方式,診斷後應及早於出生60天內開刀",B,膽道閉鎖的臨床特徵是「稽延性黃疸(Prolonged jaundice > 2週)」以及「直接型高膽紅素血症(Direct type)」，與常見的母乳性或生理性間接型黃疸不同。,兒童消化疾病 施相宏
26,"一位4週大的男嬰持續出現餵食後噴射狀吐奶(projectile vomiting),食慾正常且沒有發燒或腹瀉狀況,身體檢查在右上腹部區域可以觸摸到橄欖狀腫塊(olive mass),以下診斷何者最為正確?",(A)輪狀病毒引起的急性胃腸炎,"(B)正常之嬰兒溢奶現象,繼續觀察即可",(C)十二指腸閉鎖 (duodenal atresia),(D)嬰兒肥厚性幽門狹窄(infantile hypertrophic pyloric stenosis),D,四週大嬰兒、非膽汁性噴射狀吐奶(projectile vomiting)外加右上腹摸到橄欖狀腫塊(olive mass)，為肥厚性幽門狹窄的極經典教科書表現。,兒童消化疾病 施相宏
27,"巨結腸症(Hirschsprung disease)是兒童下消化道阻塞的常見原因,其診斷特徵為直腸以上一段距離之大腸缺乏神經節細胞,下列敘述何者正確?","(A)若於新生兒時期發病,臨床表現包括超過48小時未解胎便並合併腹脹","(B)劑大腸攝影檢查(non-preparing megacolon series)可作為 Hirschsprung disease 的初步診斷工具,呈現異常擴張巨大結腸的部位,就是無神經節細胞的腸道,必須手術切除","(C)罹病幼兒會出現解便疼痛甚至出血,常見憋便(withholding)甚至發生遺便(fecal soiling)現象",(D)腹部超音波檢查出現典型的標靶病灶 (target lesion),A,(A)正確，新生兒發病通常在48小時內無法排出胎便。(B)大腸攝影檢查中，成窄縮狀(Transitional zone)的部位才是缺乏神經節細胞的地方，上游擴張部分反而有神經節。(C)為功能性便秘表現。(D)標靶病灶為腸套疊表徵。,兒童消化疾病 施相宏
28,"二歲幼兒被帶來急診,母親主訴過去一兩天開始出現間隔約20分鐘的陣發性哭鬧(intermittent crying),最可能的診斷是下列何者?",(A)嬰兒腸絞痛 (infantile colic),(B)梅克爾憩室(Meckel diverticulum)合併潰瘍出血,(C)腸套疊(intussusception),(D)小腸扭轉(midgut volvulus),C,兩歲幼兒突發陣發性哭鬧(每10-20分鐘一次，為腸道間歇蠕動引起的絞痛表現)，臨床上高度懷疑小兒最常見的急性腹症之一：腸套疊(Intussusception)。後期常伴隨草莓果醬便(red currant jelly stool)。,兒童消化疾病 施相宏
29,"以下關於急性膽囊炎的敘述,何者最不適當?","(A)約90%為急性結石性膽囊炎,因膽囊頸部或膽囊管阻塞造成",(B)急性非結石性膽囊炎主要的風險因子包括敗血症及喝酒。,(C)急性非結石性膽囊炎主要與缺血有關,(D)前列腺素(prostaglandin)的釋放與發炎有關。,B,急性非結石性膽囊炎(Acute acalculous cholecystitis)約佔10%，多由缺血(Ischemia)引發，風險因子包含嚴重創傷/燒傷、休克敗血症、多重器官衰竭、重度糖尿病。與酗酒無直接關聯。,肝膽胰病理學 韋又菁
30,"17歲女性,出現肝功能異常、腹水、脾臓腫大及手顫抖等現象,病人亦偶有精神症狀和行為異常。肝臟穿刺切片最可能出現下列何種變化?",(A)脂肪性肝炎(steatohepatitis)。,(B)periodic acid-Schiff (PAS)染色陽性的小球(globule)。,(C)銅離子沉積在肝細胞。,(D)非化膿性肝內膽管破壞(nonsuppurative destruction of intrahepatic bile duct),C,青少年發病、有慢性肝炎/肝硬化表現，並合併中樞運動控制受損(手顫抖)與行為異常，為典型的威爾遜氏症(Wilson Disease，ATP7B基因突變)。病理核心變化為過量銅離子沉積於多器官組織。,肝膽胰病理學 韋又菁
31,"下列疾病與檢驗配對之敘述,何者最不適當?",(A)primary biliary cirrhosis 病人90%以上的病人有 anti-mitochondrial 抗體。,(B)antinuclear antibody (ANA)及 anti-smooth muscle antibody 為第一型自體免疫性肝炎的血清指標。,(C)第二型自體免疫性肝炎的血清指標為 anti-liver kidney microsomal antibodies(anti-LKM1)。,(D)約在65%的 primary sclerosing cholangititis 病人可檢測出 cytoplasmic antineutrophil cytoplasmic antibodies (CANCA)。,"A,D",本題申覆後送分修改答案為AD。(A)Primary biliary cirrhosis目前已更名為 Primary biliary cholangitis。(D)PSC(原發性硬化性膽管炎)的特異性循環抗體指標應為 pANCA (perinuclear ANCA)，而非 cANCA。,肝膽胰病理學 韋又菁
32,"下列有關""胰腺癌(pancreatic carcinoma)”的敘述,何者最不適當?",(A)病人可能會以疼痛或黄疸的症狀來表現。,(B)pancreatic cystic neoplasm 可能為其前驅病兆(precursor lesion),(C)BRCA2 mutations 與 familial pancreatic cancer 有關。,"(D)目前認為由 normal pancreas duct 到 pancreas invasive carcinoma 的 model,最早的變化是 -catenin gene mutation。",D,胰臟腺癌最早期的多步癌變模型變化是端粒縮短(Telomere shortening)與 KRAS 基因突變。-catenin 突變與肝細胞腺瘤(hepatocellular adenoma)發病相關。,肝膽胰病理學 韋又菁
33,"以下關於”病毒性肝炎”的敘述,何者最不適當?","(A)當 B 型肝炎病患出現 Anti-HBe antibody 時,通常代表 active viral replication。","(B)C 型肝炎病患常以慢性肝炎表現,慢性 C 型肝炎病患血中之 HCV RNA 通常會持續出現。","(C)A 型肝炎大部分是 self-limited disease,很少造成 fulminant hepatitis。","(D)E 型肝炎病毒常是造成旅行者肝炎(traveler hepatitis)的元凶,並且懷孕婦女感染有將近 20% 的 死亡率。",A,在 B 肝血清標記中，代表病毒高量主動複製/具高傳染性的指標是 HBeAg、HBV DNA。而 Anti-HBe 抗體的出現，代表急性發炎期已過、複製活躍度正在減弱衰退(on the wane)。,肝膽胰病理學 韋又菁
34,"以下關於""Circulatory disorder of liver”的敘述,何者最不適當?","(A)Nutmeg liver 與 systemic circulatory compromise 有關,其病理特徵是 centrilobular hemorrhagic necrosis。","(B)Hepatic artery compromise 會造成 Budd-Chiari syndrome,臨床症狀通常與 increased hepatic blood pressure 有關。","(C)Sinusoidal obstruction syndrome 可見到 sinusoidal endothelium injury,並可能發生 necrosis of perivenular hepatocytes。",(D)Impaired blood flow through the liver 最常見之原因是 liver cirrhosis.,B,Budd-Chiari syndrome 是指「肝靜脈(Hepatic vein)」或其出口下腔靜脈發生阻塞导致血液回流受阻，進而造成肝臟充血腫大、門脈高壓與腹水，與 Hepatic artery compromise 無關。,肝膽胰病理學 韋又菁
35,"下列關於”肝臟惡性腫瘤”的敘述,何者最不適當?","(A)肝細胞腺瘤(hepatocellular adenoma)為肝細胞癌(hepatocellular carcinoma)的 precursor lesion,尤其是有ẞ-catenin-activating mutation 的類型。","(B)遺傳性血鐵沉著症(hereditary hemochromatosis)與酒精性肝病變(alcoholic liver disease)的病人,死因可能是肝細胞癌。","(C)肝細胞癌的病人血清會有甲型胎兒球蛋白(a-fetoprotein)升高之表現,因此很適合用來當成篩檢 肝癌的工具。",(D)最常發生於肝臟之腫瘤是轉移性惡性腫瘤(metastasis)。,C,甲型胎兒球蛋白(AFP)在早期小肝癌中敏感度差，多於進展期(advanced disease)明顯升高，故臨床上不適合作為單一、獨立的早期篩檢工具。,肝膽胰病理學 韋又菁
36,"下列關於”膽汁淤積肝病(cholestatic liver disease)”的敘述,何者最不適當?","(A)成人最常見的 large bile duct obstruction 的原因是結石,長期下來可能會引起肝硬化(cirrhosis)。","(B)膽道阻塞所引起的新生兒病理性黄疸,以肝外膽道閉鎖(extrahepatic biliary atresia)為主,病人可能因此必須接受肝臟移植。","(C)肝硬化與膽道阻塞所引起的膽汁淤積肝病或黃疸,是以非結合性高膽紅素血症( Unconjugated hyperbilirubinemia)表現為主。","(D)敗血症的病人,其肝臟切片可見 portal-parenchymal interface 有 bile plugs 伴隨輕微的發炎。",C,肝硬化、膽道發炎阻塞所引起的膽汁淤積黃疸，是以「結合性高膽紅素血症(Conjugated / Direct hyperbilirubinemia)」表現為主。非結合性通常是溶血或先天轉移障礙(如Gilbert症)引起。,肝膽胰病理學 韋又菁
37,"圖是一個慢性膽囊炎的病理切片,請問箭頭所指的病理特徵為何?",(A)Perineural invasion。,(B)Rokitansky-Aschoff sinuses。,(C)Cholesterolosis.,(D)Mallory hyaline。,C,(本題原考點對應顯微鏡下的 Cholesterolosis，即吞噬了大量膽固醇的巨噬細胞聚集在 lamina propria，呈現典型的泡沫狀/泡泡狀細胞型態組合群)。,病理學實驗:肝膽胰病理 韋又菁
38,"圖是 hepatocellular carcinoma 的病理切片,""箭號""所指的病理特徵通常代表預後不佳,請問此病理特徵為何?",(A)Nuclear pleomorphism,(B)Pseudoglanular formation,(C)Increased N/C ratio,(D)Vascular invasion。,D,切片中可見惡性腫瘤細胞成團直接侵犯侵入大血管壁空間內，此病理變化為「血管侵犯(Vascular invasion/Portal vein invasion)」，臨床上與血行轉移高度相關，代表預後差。,病理學實驗:肝膽胰病理 韋又菁
39,"有一名72歲男性患有腹部腫瘤,並接受了腫瘤切除,圖是病理切片的結果(包括正常組織與腫瘤部分),請問你的診斷是什麼?",(A)cholangiocarcinoma。,(B)hepatocellular carcinoma.,(C)ductal adenocarcinoma。,(D)gastrointestinal stromal tumor,送分,本題因出題原稿遺漏了對照器官的正常組織切片圖片，致使考生難以百分之百與常見的轉移性/胰管腺癌區分，經學生集體申覆後，韋又菁老師同意本題一律給予「送分」處理。,病理學實驗:肝膽胰病理 韋又菁
40,"45歲女性主訴進食油膩食物後出現右上腹痛,疼痛持續逾8小時,伴隨噁心與嘔吐。理學檢查發現右上腹壓痛與 Murphy's sign 陽性,體溫為 38.3℃,抽血顯示白血球升高。下列何者為此患者的診斷工具與治療時機的最佳組合?","(A)腹部電腦斷層評估,保守治療一週後再考慮手術治療","(B)腹部超音波診斷,48小時內安排膽囊切除手術","(C)上消化道內視鏡診斷,24小時內安排膽囊切除手術","(D)核醫膽囊攝影診斷,先給予抗生素評估發燒是否改善,之後再決定是否需要手術治療",B,病患症狀完全符合急性膽囊炎(Acute cholecystitis)表現。臨床首選影像診斷工具為「腹部超音波」；目前的標準治療指南建議應在發作早期(通常在48-72小時內)儘早安排早期膽囊切除手術治療。,腹部常見症狀(含急性腹痛) 王俊偉
41,"68歲男性因反覆嘔吐與腹脹就醫,近3天無排氣和排便。約10年前他曾經接受過腹部手術,腹部聽診有高頻金屬音,X-ray 顯示多個腸道內氣液平面(air-fluid levels)。若無併發症。下列何者為首選處置?",(A)立即手術切除腸段,(B)靜脈輸液、腸胃減壓與觀察,(C)低劑量止痛藥與口服瀉劑,(D)安排腹部磁振造影檢查以排除腹腔內器質性病變,B,病患表現為典型腸阻塞(Small bowel obstruction)，最可能由10年前手術沾黏引起。在「無腸道缺血、壞死、穿孔等嚴重併發症」的黃金原則前提下，首選一線處置為保守支持治療：Bowel rest (禁食)、積極靜脈輸液補水與放置鼻胃管進行胃腸減壓，並同步進行嚴密臨床觀察。,腹部常見症狀(含急性腹痛) 王俊偉
42,"35 歲女性主訴右下腹疼痛已有6個月,無便秘、腹瀉或與進食關聯的症狀,咳嗽或起身時痛感會加劇。理學檢查發現局部有可觸痛點。最可能的診斷為何?",(A)急性盲腸炎(acute appendicitis),(B)大腸激躁症(irritable bowel syndrome),(C)急性大腸憩室炎(acute diverticulitis),(D)前腹部皮神經擠壓症(anterior cutaneous nerve entrapment),D,疼痛長達 6 個月，且與進食、排便等腸道蠕動功能完全無關，但局部有明顯壓痛點，並與動作、起身、咳嗽等造成腹壁張力增加的「身體運動」清晰連動相關，符合典型前腹部皮神經擠壓症(ACNES)的診斷。,腹部常見症狀(含急性腹痛) 王俊偉
43,"72歲男性有心房顫動(atrial fibrillation)病史,主訴突發性中上腹劇痛。但理學檢查僅有輕微壓痛,沒有反彈痛或腹部肌肉緊繃。抽血檢驗發現白血球以及乳酸(lactate)數值升高。下列何者為最適合的診斷工具?",(A)腹部X光,(B)腹部超音波,(C)腹部電腦斷層血管攝影(abdominal CT angiography),(D)腹部磁振造影,C,「突發中上腹劇痛，然而理學檢查壓痛卻微乎其微(Pain out of proportion to physical exam)」外加心房顫動病史(易甩出血栓)，抽血乳酸堆積上升，是急性急性腸繫膜缺血(Acute mesenteric ischemia)的超級魔王級死穴表現。必須立刻安排「腹部電腦斷層血管攝影(CTA)」尋找血栓栓塞位置以利緊急救命。,腹部常見症狀(含急性腹痛) 王俊偉
44,"一位50歲女性因3個月來反覆出現餐後飽脹、噁心、體重輕微下降及間歇性嘔吐未消化食物而來門診就醫。她本身有第2型糖尿病病史已10年,近期血糖控制不佳(HbA1c: 9.2%),她否認服用鴉片類藥物或曾接受過腹部手術,腹部理學檢查無明顯異常,肝腎功能皆正常。請問下列哪一項檢查最有助於確立診斷?",(A)腹部超音波,(B)上消化道鋇劑攝影(UGI series),(C)胃排空閃爍攝影(Gastric emptying scintigraphy),(D)小腸內視鏡檢查,"B,C",本題經申覆後修改為BC均給分。(C) 糖尿病10年且血糖控制差、嘔吐未消化食物，高度懷疑功能性胃輕癱，胃排空閃爍攝影是確認胃排空速度變慢的國際標準黃金 test。然而，針對慢性嘔吐未消化食物且伴隨體重下降的患者，臨床第一步需要先安排(B)上消化道鋇劑攝影或胃鏡等排除結構性阻塞問題，王俊偉老師判定申覆合理，兩者均給分。,胃腸道蠕動異常疾病 王俊偉
45,"32歲男性主訴過去6個月反覆出現腹痛與腹瀉,症狀通常在排便後緩解,他每日大便次數約4-5次,為糊狀,常合併腹脹感,但無夜間腹瀉、體重下降或血便,他表示最近工作壓力較大,並常喝含糖飲料與冰牛奶。理學檢查與抽血、糞便潛血檢查結果皆正常。請問下列何者為此病人最適當的初步處置?",(A)開立廣效型抗生素以排除感染性腸炎,(B)建議低FODMAP 飲食與壓力管理,(C)安排大腸鏡以排除器質性病變,(D)開始口服類固醇以抑制腸道發炎反應,B,患者症狀完全符合 Rome IV Irritable bowel syndrome (大腸激躁症，IBS) 的特徵：腹痛、便後緩解、無夜間腹瀉、無紅字警訊(體重下降或血便)，且工作壓力大。初步處置應選擇低侵入性且最安全有效的「低FODMAP飲食調整與壓力調適管理」。,王俊偉 胃腸道蠕動異常疾病
46,"有關代謝減重手術(metabolic-bariatric surgery)的描述,下列何者為非?","(A)是治療重度肥胖(severe obesity)最有效率的方式,其兩年的總體重減輕(total weight loss)普遍可達20-25%以上","(B)Whipple procedure 後若發生POPF,其衍生出的出血常是因為 gastro-duodenal artery(GDA)發生 pseudoaneurysm 破裂所致,死亡率極高",(C)相關的危險因子包括胰臟組織過軟以及胰管過細等,(D)發生胰漏的病人建議立即接受手術處理,D,減重手術目前核准並證實主要能用來緩解/治療第二型糖尿病（Type 2 DM），而非第一型糖尿病。其餘選項皆符合現行肥胖與減重外科指南。,微創手術之最新進展(含胃減重手術) 張博智
