id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,ai-explanation
15,關於消化道運動與神經調控，下列何者錯誤？,迷走神經可促進胃及小腸平滑肌收縮，也促進大腸的分節運動。,腸神經叢可在無中樞神經參與下獨立調節部分腸道運動。,交感神經釋放去甲腎上腺素會抑制腸胃平滑肌收縮。,腸道平滑肌的節律性去極化由間質細胞(ICC)主導，並能引發動作電位。,A,,消化系統生理學:消化道 黃烱瑋,
16,關於食物進入消化道後的消化及吸收過程，何者描述最正確？,進食後食物首先在胃內被完全分解為單醣。,吸收葡萄糖時需鈉離子共同運輸。,胰液中的脂肪酶作用不需膽鹽參與。,單醣進入小腸細胞後即直接進入乳糜管。,B,,消化系統生理學:消化道 黃烱瑋,
17,胚胎發育中，哪一個結構會形成 lesser omentum？,肝臟(liver),橫中膈(septum transversum),背側繫膜(dorsal mesogastrium),腹側繫膜(ventral mesogastrium),D,,消化系統胚胎學 陳永佳,
18,下列那個構造非中腸頭端(cranial limb of midgut)發育而成？,遠端十二指腸 (distal duodenum),遠端空腸(distal jejunm),遠端迴腸(distal ileum),近端迴腸(proximal ileum),C,,消化系統胚胎學 陳永佳,
19,肝臟(liver)的造血功能(hematopoiesis)最早開始於胚胎的哪個時期？,第六週(6th week),第十二週(12th week),第十六週(16th week),出生後,A,,消化系統胚胎學 陳永佳,
20,肛管(anal canal)的形成涉及哪兩個結構的融合？,泌尿生殖膜(urogenital membrane) 和肛膜(anal membrane),肛膜(anal membrane)和後腸,泌尿生殖膜(urogenital membrane)和泄殖腔膜(cloaca membrane),後腸(hindgut)和外胚層(ectoderm)/原肛(proctodeum),D,,消化系統胚胎學 陳永佳,
21,關於功能性便秘的定義(ROME IV)，一週排便需小於幾次？,1,2,3,4,C,,消化系統簡介 王耀廣,
22,以下何者非便秘的警示症狀(alarm symptom)？,血便,體重減輕,貧血,吃軟便藥無效,D,,消化系統簡介 王耀廣,
23,Peutz-Jeghers syndrome 的表現最不可能有以下何者,黏膜皮膚色素堆積,骨肉瘤(Osteosarcoma),多發腸胃道息肉,大腸癌,B,,消化道病理學 馬佑鈞,
24,"腸胃道基質瘤(gastrointestinal stromal tumor, GIST)最不常見的突變基因是：",PDGFRA,PDGFRB,SDH,c-KIT,B,,消化道病理學 馬佑鈞,
25,有關克隆氏病(Crohn disease)的敘述，下列何者最正確？,好發於小腸及右半結腸,常出現連續性病灶,病理特徵是表淺的潰瘍,腸壁纖維化不是常見的併發症,A,,消化道病理學 馬佑鈞,
26,在大腸癌產生機轉中，adenoma-carcinoma sequence 與什麼基因異常較無關係？,KRAS,APC,SMAD,MLH1,D,,消化道病理學 馬佑鈞,
27,何種淋巴癌與胃幽門螺旋桿菌感染最相關？,anaplastic large cell lymphoma,Burkitt lymphoma (伯基氏淋巴癌),marginal zone (邊緣區) lymphoma of mucosa-associated lymphoid tissue (黏膜淋巴組織),mantle cell (被套細胞) lymphoma,C,,消化道病理學 馬佑鈞,
28,在大腸癌產生機轉中，the mismatch repair pathway 與什麼基因異常較無關係？,MDM2,BRAF,BAX,TCF4,A,,消化道病理學 馬佑鈞,
29,一位80歲男性因嘔吐來急診，醫師檢查嘔吐物時發現內含膽汁，則最可能是下列那種疾病？,大腸癌,胃癌,食道腫瘤,胰管癌,A,,消化道病理學 馬佑鈞,
30,出生三週的男孩，餵食時常出現嘔吐，進而演變成不含膽汁的嘔吐，身體檢查發現腹部有一腫塊，最可能的診斷為何？,胃腸道基質細胞瘤(GIST),巨結腸(megacolon),幽門狹窄(pyloric stenosis),"壞死性小腸結腸炎(Necrotizing enterocolitis, NEC)",C,,消化道病理學 馬佑鈞,
31,下列何者在粘膜下層(submucosa)會有腺體(submucosal gland)？,胃(stomach),空腸(jejunum),食道(esophagus),直腸(rectum),C,,消化系統組織學 林含貞,
32,下列敘述何者錯誤？,主細胞(chief cell)分泌 HCI,胃底腺(fundic/gastric glands)主細胞 (chief cell)最多,幽門腺(pyloric glands)的pit 跟gland 的深度比約2:1,壁細胞(parietal cell)分泌內在因子(intrinsic factor),A,,消化系統組織學 林含貞,
33,玻片標籤遺失，紅姐在顯微鏡下觀察到此玻片上皮不具有杯狀細胞(goblet cells)，請問此玻片最可能是下列何種器官？,直腸(rectum),小腸(small intestine),大腸(colon),胃(stomach),D,,消化系統組織學 林含貞,
34,下列何者不是用來增加表面積的構造？,絨毛(villi),小腸的環狀皺襞(plica circulares),胃的皺褶(rugae),微絨毛(microvilli),C,,消化系統組織學 林含貞,
35,下列有關牙齒的敘述何者正確？,牙釉質(enamel)是由成釉細胞(ameloblasts)所分泌形成,齒堊質(cementum)覆蓋牙冠(crown),Tomes' process 是牙本質細胞(odontoblasts)伸到牙本質(dentin)的突起,contour lines of Retzius 可以在牙本質(dentin)觀察到,A,,消化系統組織學 林含貞,
36,關於唾液腺(salivary glands)的敘述，下列何者錯誤？,腮腺 (parotid glands)為最大的唾液腺,閏管(intercalated duct)在腮腺(parotid glands)很發達,頜下腺(submandibular glands)是混合腺體(mixed gland),大部分的唾液腺腫瘤源自頜下腺(submandibular glands),D,,消化系統組織學 林含貞,
37,關於味蕾(taste buds)的敘述何者正確？,絲狀乳頭(filiform papilla)沒有味蕾,蕈狀乳頭(fungiform papilla)的味蕾位於乳頭頂端,葉狀乳頭(foliate papilla)的味蕾位於乳頭側邊,支持細胞(supporting cells)是味蕾中數量最多的細胞,A,,消化系統組織學 林含貞,
38,下列何者位於腸道的粘膜下層(submucosa)？,歐巴氏神經叢(Auerbach's plexus),梅斯納氏神經叢 (Meissner's plexus),蒲金氏纖維 (Purkinje fiber),梅斯納氏小體(Meissner's corpuscle),B,,消化系統組織學 林含貞,
39,關於肝細胞的敘述何者錯誤？,細胞質呈嗜酸性染色(acidophilic),具有再生能力,會和相鄰的肝細胞形成膽小管(bile canaliculus),過氧化小體(peroxisome)負責分解細胞內老化受損的胞器,D,,消化系統組織學 林含貞,
40,下列關於肝臟的敘述何者正確？,毛細膽管(canal of Hering)管壁皆由膽管上皮細胞(cholangiocytes)構成,伊東細胞位於莫氏空間(space of Mall),庫氏細胞(Kupffer cells)位於迪氏空間(space of Disse),肝臟缺血時最先受到傷害的是肝腺泡(hepatic acinus)的第三區(zone 3),D,,消化系統組織學 林含貞,
41,關於膽囊壁的組織學構造敘述，下列何者正確？,具有粘膜下層(submucosa),肌外層(muscularis externa)的平滑肌走向為不規則排列,粘膜肌層(muscularis mucosa)很明顯,固有層(lamina propria)富含竇狀微血管(sinusoidal capillaries),B,,消化系統組織學 林含貞,
42,關於胰臟的敘述，下列何者錯誤？,泡心細胞(centroacinar cells)屬於胰臟的管道細胞,用電子顯微鏡觀察 cell的顆粒中間有結晶的構造,H&E 染色可以區分蘭氏小島中的內分泌細胞,外分泌部的腺泡(pancreatic acinus)組成細胞內部有許多嗜酸性的酶原顆粒(zymogen granules),C,,消化系統組織學 林含貞,
43,下列有關腸桿菌(Enterobacterales)的敘述何者最不適當？,"可發酵葡萄糖，不具有氧化酶(oxidase)，可發酵乳糖者如 E. coli, Klebsiella，在 MacConkey agar 形成粉紅至紫色的菌落",大腸桿菌O157:H7 常引起出血性腹瀉，H7的H指的是細菌的脂多醣(lipopolysaccharide),Shigella dysenteriae 可產生 Shiga toxin，此毒素可抑制宿主細胞蛋白質的合成,傷寒病人發病第1週，血液培養通常可呈現陽性,B,,消化系統之細菌感染 張仲羽,
44,引起腸胃炎的大腸桿菌(E. coli)與其致病機轉間的配對，何者最不適當？,Enterotoxigenic E. coli (ETEC):產生腸毒素，導致水分及電解質流失,"Enteropathogenic E. coli (EPEC): 細菌附著到小腸上皮後造成附著和抹殺(A/E, Attachment/Effacement)組織病理變化，破壞微絨毛",Shiga toxin-producing E. coli (STEC): 細菌在小腸上皮細胞上產生如堆疊磚塊般(stacked-brick)的聚集黏附，減少液體吸收,Enteroinvasive E. coli (EIEC):侵入並破壞大腸表皮，造成黏膜潰瘍發炎,C,,消化系統之細菌感染 張仲羽,
45,下列可能引起食物中毒病原菌的敘述，何者最不適當？,金黃色葡萄球菌 (Staphylococcus aureus)的食物中毒是由不具耐熱性的腸毒素引起的,金黃色葡萄球菌(Staphylococcus aureus)的食物中毒通常症狀不會持續超過24小時且不需使用抗生素治療,"腸炎弧菌(Vibrio parahaemolyticus)會污染海鮮，並產生熱穩定溶血素(thermostable direct hemolysin, Kanagawa hemolysin)引起食物中毒",因食入受汙染的米飯而引起的食物中毒，最有可能是由蠟狀桿菌(Bacillus cereus)對熱穩定腸毒素(heat-stable enterotoxin)引起的,A,,消化系統之細菌感染 張仲羽,
46,下列有關幽門螺旋桿菌(Helicobacter pylori)的敘述，何者最不適當？,可在大氣環境(含約20%氧氣)和一般細菌培養基上培養,cagA (cytotoxin-associated gene)陽性菌株及IL-1高度產生與導致胃癌高風險有關,可能會導致胃潰瘍(gastric ulcer)或十二指腸潰瘍 (duodenal ulcer),針對此菌的呼氣測試是檢測此菌的尿素酶(urease)活性，偵測的氣體為二氧化碳(CO2)，是一種非侵入性的檢驗方法，有不錯的敏感度及專一性,A,,消化系統之細菌感染 張仲羽,
47,下列敘述何者最不適當？,霍亂毒素(cholera toxin)為A-B毒素(A-B toxin)，能活化 adenylate cyclase，增加 cyclic AMP濃度，造成腹瀉症狀,霍亂病人可能出現嚴重水瀉、脫水、酸中毒和低血鉀等症候，需先補充液體和電解質，再以抗生素 azithromycin 治療,無症狀的傷寒沙門氏桿菌(Salmonella Typhi) 帶原者如傷寒瑪莉(Typhoid Mary)，通常細菌最常躲在帶原者的肝臟中,空腸曲狀桿菌(Campylobacter jejuni)需在微需氧(microaerophilic)環境下生長，感染會引起腸胃炎(gastroenteritis)，可能引起 Guillain-Barré syndrome,C,,消化系統之細菌感染 張仲羽,
48,下列敘述何者最不適當？,吃漢堡及生菜沙拉後，出現出血性腹瀉症狀，且可能併發溶血性尿毒症(hemolytic uremic syndrome)的病原菌，最有可能是產志賀氏毒素大腸桿菌 STEC (Shiga toxin-producing E. coli),肝硬化病史的病人，因傷口接觸海水後感染，出現紅腫與水泡(bullae)，且引起組織壞死(tissue necrosis)甚至敗血症，最可能的病原是創傷弧菌(Vibrio vulnificus),蠟狀桿菌(Bacillus cereus) 普遍存在於環境土壤中，可能造成眼球感染，例如桿菌型全眼球炎(Bacillus panophthalmitis),志賀氏桿菌(Shigella)主要由帶菌的家禽或家畜直接傳染給人，且感染需要超過100000000的菌量,D,,消化系統之細菌感染 張仲羽,
49,關於艱難梭狀芽胞桿菌(Clostridium difficile)的敘述，下列何者最不適當？,疾病經常是因長期使用抗生素，造成腸道菌群改變所引起,偽膜性腸炎(pseudomembranous colitis)的致病菌,可用甲硝達唑(Metronidazole)或萬古黴素(Vancomycin)治療,糞便移植(fecal transplantation)通常不具療效,D,,消化系統之細菌感染(II) 張仲羽,
50,下列敘述何者最不適當？,產氣莢膜梭菌(Clostridium perfringens) 食物中毒多是由A型菌株分泌腸毒素(enterotoxin)所導致,產氣莢膜梭菌(Clostridium perfringens)引起壞死性腸炎(necrotizing enteritis)，最可能是由B型菌株分泌毒素所導致,鬆脆類桿菌(Bacteroides fragilis)可產生不耐熱(heat-labile)的鋅金屬蛋白酶(zinc metalloprotease)毒素造成腹瀉,鬆脆類桿菌(Bacteroides fragilis)具有多醣莢膜(polysaccharide capsule)，是主要的毒力因子(virulence factor),B,,消化系統之細菌感染(II) 張仲羽,
51,下列何者說法是錯的？,呼吸道感染和病毒性胃腸炎是最常見的人類感染症,大多數急性傳染性胃腸炎是細菌性的。,病毒性胃腸炎的主要途徑是糞口傳播，而不是經呼吸道傳染。,病毒性胃腸炎的糞便，通常不存在肉眼可見的血液、黏液和白血球,B,,消化系統之病毒感染 張榮叁,
52,"可透過其他途徑傳播病毒性胃腸炎的病毒，包括下列何者？1.輪狀病毒(Rotavirus), 2. 星狀病毒(Astrovirus), 3. 杯狀病毒(Calicivirus)","1, 2","1, 3","2, 3","1, 2, 3",B,,消化系統之病毒感染 張榮叁,
53,請問右圖切片取自何種器官？,Colon,Duodenum,Jejunum,"Stomach, fundus region",B,,消化系統組織學實驗(I) 張瀛双,
54,請問右圖切片取自何種器官？,Pancreas,Jejunum,Gallbladder,Liver,C,,消化系統組織學實驗(II) 林含貞、張瀛双,
55,請問右圖箭頭所指為何種細胞？,Parietal cells,Chief cells,Kupffer cells,Centroacinar cells,A,,消化系統組織學實驗(I) 張瀛双,
56,請問右圖切片取自何種器官？,Pancreas,Jejunum,Gallbladder,Liver,D,,消化系統組織學實驗(I) 張瀛双,
57,關於 H. pylori，下列何者為非：,世界衛生組織 WHO 將 H. pylori列為人類胃癌第一級致癌物是根據動物實驗直接證據。,目前唯一的自然宿主只有人類。,革蘭氏陰性螺旋狀細菌。,微需氧菌，可產生尿素酶。,A,,消化性潰瘍及幽門螺旋桿菌 吳政毅,
58,關於幽門螺旋桿菌的檢查，下列何者為非,對於治療幽門螺旋桿菌後的追蹤可以用糞便抗原檢測。,治療幽門螺旋桿菌後，如使用碳13尿素呼氣法追蹤治療效果，仍可持續使用氫離子阻斷劑。,碳13尿素呼氣法可用於監測治療成功與否,快速尿素酶試驗變成紅色代表陽性，乃因為酸鹼度變化。,B,,消化性潰瘍及幽門螺旋桿菌 吳政毅,
59,交感神經系統對消化道平滑肌的作用是：,促進收縮,抑制收縮,沒有明顯影響,使反應變慢,B,,消化系統生理學實驗 鄭琮霖,
60,在離體消化道平滑肌實驗中，使用阿托品(Atropine)作為藥物阻斷劑，主要會影響哪種神經傳導物質的作用？,去甲腎上腺素(Norepinephrine),組織胺(Histamine),血清素(Serotonin),乙醯膽鹼(Acetylcholine),D,,消化系統生理學實驗 鄭琮霖,
61,關於胃癌的描述下列何者為非？(1)早期胃癌如果發現有區域淋巴轉移，依然可以優先考慮內視鏡切除。(2)Linitis plastica (皮革胃)通常治療預後極佳。(3)不管胃腫瘤位置在何處，位於左胃動脈的淋巴結都是屬於第二群(group2)的淋巴結。(4)Roux-en-Y 重建方式需要做兩個位置的吻合，而Billroth II 重建方式則需要做一個位置的吻合。,1 + 2,1 + 2 + 4,2 + 3,3 + 4,A,,胃腫瘤及消化性潰瘍之外科治療 張琮琨,
62,關於消化性潰瘍手術的描述，下列何者為非？(1)所有消化性潰瘍穿孔皆須接受手術治療(2)接受選擇性迷走神經切斷手術(selective vagotomy)後，潰瘍依舊復發可能是因為沒有保留 criminal nerve of Grassi(3)胃引流手術(gastric drainage surgery)中，以胃幽門整形手術(pyloroplasty)的長期併發症較少。(4)輸入環症候群(Afferent loop syndrome)可以接受保守性治療，不需要積極手術處理。,1 + 2,1 + 2 + 4,2 + 3,3 + 4,B,,胃腫瘤及消化性潰瘍之外科治療 張琮琨,
63,下列之敘述何者正確？a. Type B 慢性胃炎大多與基因或自體免疫相關 b. 巴瑞特氏食道(Barrett's esophagus)是逆流性食道炎(GERD)之併發症，男性有較高風險 c. 幽門桿菌(H. pylori)可導致黏膜腺體萎縮與胃癌風險上升 d. 胃內 pH 值大於4以上之時間比例越久，逆流性食道炎(GERD)癒合比例越高,a + b + c,b + c + d,a + b + d,a + c + d,B,,胃食道逆流性疾病及胃炎 郭昭宏,
64,下列藥物有幾項會加重逆流性食道炎之發生？(a) Anticholinergics (b) Beta-adrenergic antagonists (c) Dihydropyridine calcium channel blockers (d) Benzodiazepines,1項,2項,3項,4項,C,,胃食道逆流性疾病及胃炎 郭昭宏,
65,潰瘍性大腸炎(Ulcerative colitis) 和克隆氏症(Crohn disease) 的鑑別診斷下列何者為錯？,Ulcerative colitis: superficial lesion; Crohn disease: transmural lesion,Ulcerative colitis: continuous lesion; Crohn disease: skip lesion,Ulcerative colitis: rare rectal sparing; Crohn disease: rectal sparing,Ulcerative colitis: backwash ileitis; Crohn disease: skip lesion of cecal patch,D,,發炎性腸病 盧建宇,
66,"下列有關炎性腸病(Inflammatory bowel disease, IBD)的治療，何者為錯？",Anti-TNFa(tumor necrosis factor-a)是最早發展應用於IBD的生物製劑。,Anti-integrin 生物製劑比較少全身性副作用。,抗生素使用對於IBD的緩解不可或缺。,使用JAK(Janus kinase) inhibitor 生物製劑要特別注意 herpes zoster and thromboembolism 副作用。,C,,發炎性腸病 盧建宇,
