id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,teacher,ai_explanation
12,下列哪一項檢查通常無法提供肝臟腫瘤的血流動力學(Hemodynamic)資訊？,動態對比增強電腦斷層掃描,動態對比增強磁振造影,數位減影血管造影術,B 模式（亮度調變）超音波檢查,D,CT、MRI、血管造影術均可提供血流動力學資訊,消化系統(肝膽胰)放射線學,,B模式超音波檢查主要用於評估肝臟的形態和結構，並不具備提供血流動力學資訊的能力。相比之下，動態對比增強電腦斷層掃描（CT）、動態對比增強磁振造影（MRI）和數位減影血管造影（DSA）都能夠有效地評估肝臟腫瘤的血流動力學特徵，這對於腫瘤的診斷和治療計劃至關重要。這些檢查方法能夠提供腫瘤的血流供應、灌注特徵及其與周圍組織的關係，從而幫助醫生做出更準確的診斷。因此，B模式超音波檢查在這方面的局限性使其無法提供必要的血流動力學資訊。
13,下列何項影像工具無法提供肝臟硬度的測量(Liver Stiffness Measurement)？,超音波檢查,磁振造影,電腦斷層掃描,以上皆能提供肝臟硬度測量,C,僅超音波、MRI 可提供肝臟硬度的測量,消化系統(肝膽胰)放射線學,,肝臟硬度測量是一種評估肝臟纖維化程度的重要檢查，通常使用超音波檢查（如瞬時肝彈性測量）和磁振造影（MRI）來進行。這些技術能夠提供準確的肝臟硬度數據，幫助醫生評估肝臟健康狀況。然而，電腦斷層掃描（CT）並不具備測量肝臟硬度的能力，因為CT主要用於提供肝臟的形態學資訊，而無法直接評估其彈性或硬度。因此，選擇C作為正確答案，因為CT無法提供肝臟硬度的測量。
14,"下列何種影像特徵並非典型肝細胞癌(Hepatocellular Carcinoma, HCC)的表現？",電腦斷層(CT)或磁振造影(MRI)的動脈相呈現高對比劑顯影,電腦斷層(CT)或磁振造影(MRI)的延遲相呈現比非腫瘤區肝臟較低程度的顯影,磁振造影擴散權重影像呈現高訊號强度,組織特異性對比增強磁振造影的肝膽相呈現高訊號強度,D,典型 HCC 因為缺乏有功能的正常肝細胞，在肝膽相中無法攝取對比劑，因此影像上會呈現低訊號而非高訊號,消化系統(肝膽胰)放射線學,,典型肝細胞癌（HCC）在影像學上有特徵性的表現，尤其是在動脈相和延遲相的顯影特徵。動脈相的高對比劑顯影和延遲相的低顯影是HCC的典型特徵。然而，在組織特異性對比增強磁振造影的肝膽相中，HCC因為缺乏正常的功能性肝細胞，無法有效攝取對比劑，通常會呈現低訊號而非高訊號。因此，選擇D作為正確答案，因為這一特徵並不符合典型HCC的影像學表現。
15,一位免疫低下且發燒的病患，其肝臟與脾臟影像中出現多發性小靶心狀結節，最有可能的診斷是？,真菌感染,化膿性肝膿瘍,阿米巴肝膿瘍,病毒感染,A,肝脾影像中看到“多發性小靶心狀結節“就是真菌感染（這是考古題！）,消化系統(肝膽胰)放射線學,,在免疫低下的患者中，出現多發性小靶心狀結節的影像特徵通常提示真菌感染，特別是肝脾部位的真菌感染（如肝脾念珠菌病）。這些結節的形成是由於真菌在肝臟和脾臟的擴散，導致局部的炎症反應和病變。這種影像學表現對於免疫低下患者來說是相對典型的，因為他們的免疫系統無法有效抵抗感染，因此更容易發生這類感染。及早識別這種影像特徵對於及時治療和改善患者預後至關重要。
16,關於消化道内視鏡下列何者敘述有誤？,儀器昂貴需重複使用，須依内視鏡消毒規範進行消毒,低侵略性檢查，無需通過患者/家屬同意即可施行,臨床常用内視鏡檢查：胃鏡，大腸鏡，可在無全身麻醉下執行,醫師及護理師皆須接受專業訓練/認證，方能執行,B,内視鏡是高侵略性的檢查，一定需要患者/家屬的同意,消化系內視鏡學簡介,,内視鏡檢查是一種相對高侵略性的醫療程序，通常需要患者或其家屬的知情同意。這是因為内視鏡檢查可能涉及到不適感和潛在的風險，因此在進行之前必須確保患者充分了解檢查的目的、過程及可能的併發症。儘管内視鏡檢查在技術上可以在無全身麻醉的情況下進行，但仍然需要專業的醫療人員進行操作，並遵循嚴格的消毒規範以確保安全。因此，選擇B作為正確答案，因為這一敘述不符合内視鏡檢查的實際情況。
17,關於消化道腫瘤的特性，下列何者敘述有誤？,90%以上的腫瘤，源自於黏膜病變，可藉消化道內視鏡早期診斷早期治療,內視鏡的腫瘤切除技術：內視鏡息肉切除術、內視鏡黏膜切除術、內視鏡黏膜下剝離術,內視鏡切除術的風險有出血及腸道穿孔,若消化道惡性腫瘤已侵犯肌肉層或淋巴轉移，仍可首選消化道內視鏡切除,D,有侵犯肌肉層或淋巴轉移時，內視鏡切除無法將癌細胞拿乾淨，此時首選應為外科手術切除加上淋巴結廓清,消化系內視鏡學簡介,,消化道腫瘤的特性中，內視鏡切除術是一種有效的早期治療方法，但當腫瘤已經侵犯到肌肉層或出現淋巴轉移時，內視鏡切除就不再是首選。這是因為內視鏡切除無法完全清除腫瘤，可能會導致癌細胞殘留，進而影響患者的預後。在這種情況下，外科手術切除加上淋巴結廓清才是更合適的治療方案。因此，選擇D作為正確答案，因為這一敘述不符合消化道腫瘤的治療原則。
18,"關於影像強化內視鏡(image enhanced endoscopy, IEE)，下列敘述何者為非？",以化學法或光學法，凸顯正常黏膜與異常組織間的差異,可用於評估早期消化道黏膜腫瘤侵犯的深度,有助於治療方法的決定,可取代病理切片檢查,D,IEE 無法直接取代病理切片,消化系內視鏡學簡介,,影像強化內視鏡（IEE）是一種先進的內視鏡技術，能夠通過化學或光學方法強調正常黏膜與異常組織之間的差異，這對於早期腫瘤的檢測和評估非常有幫助。IEE可以用於評估腫瘤的侵犯深度，並且有助於醫生決定最佳的治療方案。然而，IEE並不能取代病理切片檢查，因為病理切片檢查仍然是確診腫瘤的金標準，能夠提供組織學上的詳細資訊。因此，選擇D作為正確答案，因為這一敘述不符合IEE的實際應用情況。
19,下列關於慢性胃炎的敘述有幾項正確？,止痛藥或Aspirin 是常見之慢性胃炎原因之一,慢性胃炎在低社經階層者較常見,慢性B 型胃炎常常需要補充維生素B12,慢性A 型胃炎常常呈現低胃酸或無胃酸,C,慢性A 型胃炎才需要補充Vit B12（因爲會引起惡性貧血），而非慢性B 型胃炎。其他敘述皆爲正確，故答案為C,胃食道逆流性疾病及胃炎,,慢性胃炎的病因和特徵多樣，其中慢性A型胃炎通常與自體免疫有關，會導致胃酸分泌減少，並可能引起維生素B12的缺乏，進而導致惡性貧血。而慢性B型胃炎則多與幽門螺旋桿菌感染有關，通常不需要補充維生素B12。其他敘述如止痛藥和社經階層對慢性胃炎的影響都是正確的。因此，選擇C作為正確答案，因為這一敘述正確地反映了慢性A型胃炎的特徵。
20,下列有幾項屬於逆流性食道炎(GERD)之致病因子？,食道蠕動功能不良,Transient low esophagus sphincter relaxation (tLESR)太短,服用Beta-adrenergic antagonists,病人有Hiatal hernia,B,其他：tLESR 過長與使用beta-adrenergic agonist 才為GERD 的致病因子 故敘述中只有3 項符合GERD 的致病因子,胃食道逆流性疾病及胃炎,,逆流性食道炎（GERD）是一種由於食道下端括約肌功能不全或食道蠕動異常導致胃內容物反流至食道的疾病。其致病因子包括食道蠕動功能不良、短暫的食道下端括約肌放鬆（tLESR）過短、使用某些藥物如Beta-adrenergic antagonists、以及腹內壓力增加等。根據題目所列的選項，只有三項符合GERD的致病因子，因此正確答案為B。
21,下列關於逆流性食道炎(GERD)的敘述哪幾項正確？,巴瑞特氏食道(Barrett's esophagus)是逆流性食道炎(GERD)之併發症，女性有較高風險,prokinetic agent 不建議作為GERD 的單一療法,theophylline 會加重GERD 的症狀,治療的pH 值目標是大於6,D,a. BE 的男女比例為2：1（非女性風險較高） d. 治療的pH 值目標是大於4（非6）,胃食道逆流性疾病及胃炎,,逆流性食道炎（GERD）是一種常見的消化系統疾病，其併發症之一為巴瑞特氏食道，這是一種食道上皮的變化，與食道癌風險增加有關。雖然女性的風險並不比男性高，但治療GERD的pH值目標應為大於4，而非6。prokinetic agents通常不建議作為單一療法，因為其效果有限。theophylline則可能加重GERD的症狀，因此正確的選項為D。
22,下列對 acute appendicitis 的腹部身體檢查何者為是？,身體檢查先做聽診，以及時找出可能的 bruit，及早診斷 renal artery stenosis 等病變,尊重女性病人隱私，生育年齡的女性應在所有檢查完成後再做懷孕試驗,Rovsings sign 是指按壓右側 right iliac fossa 時會引起或增加左側 left iliac fossa 的疼痛,Psoas sign 在對病患右側大腿髖關節進行曲彎與伸展時，病患要以 left lateral decubitus position,D,Rovsings sign 是指按壓左下腹（left iliac fossa），推擠結腸內的氣體，引起右下腹（right iliac fossa）疼痛。,腹部常見症狀(含急性腹痛),,急性闌尾炎的診斷通常依賴於臨床檢查，包括特定的身體檢查徵象。Rovsing's sign是指按壓左下腹時引起右下腹的疼痛，這是急性闌尾炎的一個重要徵象。Psoas sign則是檢查右側大腿髖關節的疼痛反應，通常病人需採取左側臥位。正確的選項為D，因為Psoas sign的檢查方式正確。
23,下列對 acute cholecystitis 的敘述何者為非？,常好發於老年男性,膽囊呈現怒張性腫脹、周圍常有積液、常呈現三層結構(3-layer formation),腹部超音波檢查為快速有效率的診斷工具,身體檢查常可見 Murphy's sign (+),A,"急性膽囊炎的典型好發族群為女性（口訣「4F」：Female, Forty, Fat, Fertile），而非老年男性",腹部常見症狀(含急性腹痛),,"急性膽囊炎是一種常見的膽道疾病，通常好發於女性，特別是符合「4F」特徵的女性（即：Female, Forty, Fat, Fertile）。這與題目中的選項A相矛盾，因為它指出老年男性是主要的好發族群。急性膽囊炎的診斷通常依賴於腹部超音波檢查，並且在身體檢查中常可見Murphy's sign。正確答案為A，因為這是錯誤的敘述。"
24,下列對急性胰臟炎 acute pancreatitis 的敘述何者為非？,"nausea/vomiting, paraumbilical pain 是常見的症狀",大量飲酒、膽道結石與高三酸甘油酯血症是最常見的原因,knee-chest position 時可能會加重疼痛感覺,影像學的檢查與 lipase 的升高是診斷的條件,C,胰臟位於後腹腔，採胸膝位（knee-chest position）或身體前傾姿勢時，疼痛通常會減輕（relieved），而非加重,腹部常見症狀(含急性腹痛),,急性胰臟炎是一種急性腹痛的常見原因，通常伴隨噁心、嘔吐及腹部疼痛。其主要病因包括大量飲酒、膽道結石及高三酸甘油酯血症。診斷急性胰臟炎的關鍵在於影像學檢查及血液中lipase的升高。題目中的選項C指出在膝胸位時疼痛會加重，這是錯誤的，因為在這個姿勢下，疼痛通常會減輕。因此正確答案為C。
25,下列有關台灣肝炎的流行病學敘述何者為非？,慢性肝病及肝硬化於 2022 年已被排除在國人十大死因排行中,台灣是全球第一個國家開始 B 型肝炎疫苗接種計劃，兒童帶原率與肝癌發生率逐年下降,脂肪肝病的危險因子主要為第二型糖尿病與肥胖,A 型與 C 型肝炎是可以預防的傳染性病毒疾病,A,慢性肝病及肝硬化至今仍長期位居國人十大死因之中（例如 2022 年位居第 10 位），並未被排除,病毒性肝炎(I),,台灣的肝炎流行病學顯示，慢性肝病及肝硬化仍然是國人十大死因之一，並未被排除。台灣在B型肝炎疫苗接種計劃方面走在全球前列，這有助於降低兒童的帶原率及肝癌的發生率。脂肪肝的主要危險因子包括第二型糖尿病和肥胖，而A型和C型肝炎則是可以預防的傳染病。因此，選項A的敘述為錯誤，正確答案為A。
26,有關代謝性脂肪肝病的敘述何者為是？,代謝性脂肪肝合併第二型糖尿病是最容易發生嚴重纖維化的族群,最主要的死因為肝硬化等肝臟併發症,BMI 正常或過低的人不會罹患脂肪肝病,脂肪肝程度越嚴重反而罹患高血壓的風險會降低,A,合併第二型糖尿病（T2DM）是代謝性脂肪肝病演變成嚴重肝纖維化（Advanced Fibrosis）與非酒精性脂肪肝炎（NASH）最強烈的危險因子,病毒性肝炎(I),,代謝性脂肪肝病（MAFLD）是一種與代謝異常相關的肝臟疾病，特別是與第二型糖尿病（T2DM）密切相關。研究顯示，合併T2DM的患者更容易發展為嚴重的肝纖維化或非酒精性脂肪肝炎（NASH）。此外，脂肪肝的嚴重程度與高血壓的風險並無直接關聯，因此選項A的敘述是正確的。
27,世界衛生組織敦促各國政府達成肝炎消除(hepatitis elimination)，何者為非？,2030 年達標。我國則宣示要在 2025 年達標,減少 90% 的肝炎新感染病例,感染應接受治療的病例有 90% 接受治療,減少 65% 因肝炎導致的死亡率,C,WHO 設定的治療目標為將符合治療條件的診斷病例中，有 80% 接受治療（80% treatment coverage），而非 90%（90% 為診斷率目標，即 90% 的感染者被診斷出）,病毒性肝炎(I),,世界衛生組織（WHO）對肝炎消除的目標包括到2030年減少90%的新感染病例，並且希望80%的符合治療條件的病例能夠接受治療。根據題目中的選項，C的敘述指出90%的病例應接受治療，這與WHO的目標不符，因此是錯誤的。正確答案為C，因為WHO的治療目標是80%。
28,下列有關胃腺癌的病理分類敘述何者錯誤？,依 Lauren classification 可分成兩種類型：瀰漫型(diffuse type)及腸道型(intestinal type),腸道型胃腺癌常出現在胃遠端部位,胃腺癌常以潰瘍來表現，可能和胃幽門螺旋桿菌感染相關,瀰漫型胃腺癌好發族群較腸道型老，其腫瘤之黏附能力消失，且容易造成胃壁之浸潤和增厚，稱為皮革胃（linitis plastica）,D,瀰漫型（Diffuse type）好發於較年輕的族群（非較老；較老的族群多為腸道型），常因 E-cadherin 基因突變導致細胞間黏附力喪失（常見印戒細胞 Signet-ring cells），浸潤整個胃壁形成皮革胃（linitis plastica）,胃腫瘤,,胃腺癌的病理分類依據Lauren分類法可分為瀰漫型和腸道型。瀰漫型胃腺癌通常好發於年輕族群，而腸道型則多見於年長者。瀰漫型胃腺癌的特徵是細胞間黏附力的喪失，導致腫瘤浸潤胃壁，形成皮革胃（linitis plastica）。因此，選項D的敘述是錯誤的，因為它錯誤地指出瀰漫型胃腺癌好發於較老的族群。
29,原發性胃淋巴瘤（primary gastric lymphoma）的相關敘述，何者錯誤？,胃的惡性腫瘤中，約有 15% 為惡性淋巴瘤,絕大多數為 T-細胞淋巴瘤,若為mucosa-associated lymphoid tissue（MALT）淋巴瘤，應考慮使用抗生素治療清除 H. pylori,若為 high-grade、large-cell 淋巴瘤，治療首選為化學治療,B,"原發性胃淋巴瘤中，絕大多數（超過 95%）為 B-細胞淋巴瘤（如 MALT lymphoma 或 Diffuse Large B-Cell Lymphoma, DLBCL），而非 T-細胞淋巴瘤，因此 (B) 敘述錯誤。MALT 淋巴瘤常與幽門螺旋桿菌（H. pylori）感染密切相關，早期可透過抗生素根除治療而緩解。",胃腫瘤,,原發性胃淋巴瘤是一種相對少見的胃部惡性腫瘤，約15%為惡性淋巴瘤。大多數的原發性胃淋巴瘤實際上是B-細胞淋巴瘤，而非T-細胞淋巴瘤。MALT淋巴瘤與幽門螺旋桿菌感染有關，通常可以透過抗生素治療來清除H. pylori。選項B的敘述是錯誤的，因為它錯誤地指出大多數為T-細胞淋巴瘤。
30,胃的惡性腫瘤相關敘述，下列何者錯誤？,女性的發生率高於男性,雖然西方化的飲食習慣普及，胃腺癌在台灣的發生率仍逐步下降,瀰漫型胃腺癌若轉移至卵巢，稱為 Krukenberg's tumor,接受 Billroth type II 次全胃切除術，10 年後發生殘胃癌的機會上升,A,胃惡性腫瘤（如胃腺癌）在流行病學上，男性的發生率顯著高於女性（約為女性的 1.5～2 倍），因此 (A) 敘述錯誤,胃腫瘤,,胃的惡性腫瘤，尤其是胃腺癌，男性的發生率顯著高於女性，這一點在流行病學研究中得到了充分的證實。根據統計，男性的發病率約為女性的1.5至2倍，這意味著女性並不是主要的高風險群體。因此，選項A的敘述是錯誤的。其他選項中提到的西方化飲食習慣對胃腺癌的影響、Krukenberg腫瘤的定義以及Billroth II手術後的殘胃癌風險都是正確的。這些知識對於臨床醫師在診斷和治療胃腫瘤時具有重要意義。
31,"關於功能性消化不良(functional dyspepsia)的藥物治療,下列敘述何者正
(1)質子幫浦抑制劑(PPI)與 H2 受體拮抗劑(H2RA)雖常用,但其改善症狀的
相對風險(relative risk)實證效果有限
(2)三環抗憂鬱藥物(tricyclic antidepressants)等神經調節劑,主要針對傳入神
經向中樞神經系統發出的異常訊號
(3)促蠕動劑(motility agents)如 Metoclopramide 對於緩解所有功能性消化不
良患者症狀皆有強大的臨床試驗證據支持
(4)對於難治性功能性消化不良(refractory functional dyspepsia),應考慮是否
存在小腸細菌過度生長(small intestinal bacterial overgrowth)或食物驅動的免
疫反應",12,24,34,13,B,(1)PPI 與 H2RA 在臨床指引中已被大型 RCT 證實對部分患者（尤其是胃痛型 PDS 或 Postprandial distress）具有明確療效，實證證據充分 (3) 促蠕動劑對某些類型（如飽脹感為主）有效，但並非「所有」患者皆有強大證據支持，且 Metoclopramide 具錐體外路症狀（EPS）風險，不建議長期普遍使用,胃腸道蠕動異常疾病,,功能性消化不良的藥物治療中，質子幫浦抑制劑（PPI）和H2受體拮抗劑（H2RA）是常用的藥物，但其改善症狀的相對風險在臨床研究中顯示效果有限。三環抗憂鬱藥物（如tricyclic antidepressants）則被證實能有效調節神經系統，針對異常的神經信號進行治療。促蠕動劑如Metoclopramide雖然對某些患者有效，但並不適用於所有患者，且有可能引起錐體外路症狀，因此不建議長期使用。對於難治性功能性消化不良，考慮小腸細菌過度生長或食物驅動的免疫反應是必要的。
32,"關於胃輕癱(gastroparesis)的診斷與病生理,下列敘述何者錯誤?
(1)胃排空檢查是診斷胃輕癱的黃金標準檢測方式,臨床上只需進行這項檢查即能
診斷出胃輕癱。
(2) 糖尿病(第一型與第二型)與特發性(Idiopathic)是最常見的兩大病因。
(3) 胃排空檢查(gastric emptying test)的標準測試為 1 小時與 2 小時的影像掃
描。
(4) 病理機制涉及卡氏間質細胞(ICC)的損傷,且巨噬細胞驅動的免疫失調可能參
與",12,24,13,34,C,"(1)診斷胃輕癱前，必須先透過胃鏡或影像學排除機械性阻塞（mechanical obstruction），不能僅憑胃排空檢查就直接診斷 (3) 胃排空攝影（Gastric Emptying Scintigraphy）的標準國際規範（Consensus protocol）為 4 小時 的核醫影像測量（通常在 0, 1, 2, 4 小時拍照），僅做 1～2 小時敏感度不足",胃腸道蠕動異常疾病,,胃輕癱的診斷需要依賴胃排空檢查，但這並不是唯一的檢查方式。在進行胃排空檢查之前，必須先排除任何可能的機械性阻塞，這是診斷的必要步驟。胃排空檢查的標準測試時間為4小時，而不是1或2小時，因為這樣的時間設定能夠提供更準確的診斷結果。糖尿病和特發性胃輕癱是最常見的病因，而病理機制則涉及卡氏間質細胞的損傷及免疫失調。
33,"下列有關大腸激躁症(irritable bowel syndrome)診斷準則與排除警訊的敘述,
何者錯誤?
(1)腹痛症狀必須與排便相關,或伴隨排便頻率、糞便型態的改變。
(2) 若患者出現夜間腹痛或夜間腹瀉,仍可視為典型的大腸激躁症,不需進一步
檢查。
(3) 觸診發現腹部腫塊或淋巴結腫大屬於警訊徵象,應懷疑其他器官性疾病。
(4) 糞便潛血反應呈陽性或是鐵質缺乏性貧血,是大腸激躁症常見的臨床",13,23,24,14,C,(2)夜間腹痛或夜間症狀（Nocturnal symptoms）屬於警訊症狀（Red flag signs），並非典型功能性腸疾表現，必須安排進一步檢查（如大腸鏡）排除器質性病變。 (4) 錯誤：糞便潛血陽性與缺鐵性貧血亦屬於警訊徵象，代表腸道可能有出血、發炎或腫瘤，不屬於 IBS 本身的臨床。,胃腸道蠕動異常疾病,,大腸激躁症的診斷準則要求腹痛症狀必須與排便相關，並伴隨排便頻率或糞便型態的改變。然而，若患者出現夜間腹痛或夜間腹瀉，這些症狀被視為警訊徵象，並不符合典型的大腸激躁症的診斷標準，必須進一步檢查以排除其他器質性疾病。觸診發現的腹部腫塊或淋巴結腫大也應引起警覺，因為這可能暗示著其他潛在的健康問題。
34,小腸腺癌最好發的位置是在？,Duodenum,Jejunum,Ileum,各區域發生率相似,A,小腸原發性腺癌（Adenocarcinoma）最好發於十二指腸（Duodenum），佔所有小腸腺癌的 50% 以上；而小腸的神經內分泌腫瘤（NET/Carcinoid）則最好發於迴腸,小腸疾病的診斷與治療,,小腸腺癌的發生率在不同部位並不均勻，根據研究，十二指腸（Duodenum）是小腸腺癌最常見的發病部位，佔所有小腸腺癌的50%以上。這一點對於臨床診斷和治療具有重要意義，因為早期發現和治療可以顯著改善患者的預後。相對而言，迴腸則是小腸神經內分泌腫瘤的主要發病部位，這些知識對於醫療專業人員在進行相關診斷時至關重要。
