id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,teacher,ai_explanation
16,下列(1)~(4)為引起腸道感染之大腸桿菌相關敘述: (1) 細菌在小腸上皮細胞上產生如堆疊磚塊般的聚集黏附，減少液體吸收 (2) 旅行者腹瀉的主要病原菌，產生腸毒素，導致水分及電解質流失 (3) 細菌黏附到小腸上皮，產生附著和抹殺的組織病理變化，破壞腸道微絨毛 (4) 產生stx1或stx2毒素，會引起出血性腹瀉，常引起人類嚴重感染症的血清型為O157:H7，請問(1)~(4)依序最可能各為何種大腸桿菌？,"Shiga toxin-producing E. coli, Enterotoxigenic E. coli, Enteropathogenic E. coli, Enteroaggregative E. coli","Enteroaggregative E. coli, Enterotoxigenic E. coli, Enteropathogenic E. coli, Shiga toxin-producing E. coli","Enteropathogenic E. coli, Shiga toxin-producing E. coli, Enteroaggregative E. coli, Enterotoxigenic E. coli","Enteroaggregative E. coli, Enteropathogenic E. coli, Enterotoxigenic E. coli, Shiga toxin-producing E. coli",B,,消化系統之細菌感染,,這道題目涉及四種不同類型的大腸桿菌及其致病機制。選項B正確地將每種大腸桿菌與其特徵相對應。Enteroaggregative E. coli（EAEC）以堆疊磚塊的方式附著於小腸上皮，導致液體吸收減少；Enterotoxigenic E. coli（ETEC）是旅行者腹瀉的主要病原，產生腸毒素；Enteropathogenic E. coli（EPEC）則會破壞腸道微絨毛；而Shiga toxin-producing E. coli（STEC）則產生stx1或stx2毒素，導致出血性腹瀉。
17,下列有關幽門螺旋桿菌(Helicobacter pylori)的敘述，何者錯誤？,能產生尿素酶以避免菌體被胃酸破壞,人類為其主要宿主，糞口途徑為可能的傳染方式,可能會導致胃潰瘍或十二指腸潰瘍,針對此菌的呼氣測試是檢測此菌的蛋白酶活性，偵測的氣體為氧氣,D,檢測urease偵測CO2(碳13),消化系統之細菌感染,,幽門螺旋桿菌是一種能夠在胃酸環境中生存的細菌，主要通過產生尿素酶來中和胃酸，從而保護自身。選項D的敘述是錯誤的，因為呼氣測試是用來檢測尿素酶的活性，而不是蛋白酶。該測試通常檢測的是呼出的二氧化碳（CO2），而不是氧氣（O2）。這一點對於診斷幽門螺旋桿菌感染至關重要，因為這種感染與胃潰瘍和其他胃腸道疾病有關。
18,下列病原菌的敘述，何者錯誤？,傷寒沙門氏桿菌大多由帶菌的家禽或家畜直接傳染給人,傷寒沙門氏桿菌可在人體的吞噬細胞內存活並繁殖，傷寒的無症狀帶原者，細菌通常潛伏在膽囊,蠟狀桿菌與食入受污染的米飯而引起的食物中毒有關,創傷弧菌可因傷口接觸海水後感染，出現紅腫與水泡，且引起組織壞死,A,沙門氏菌的感染是人與人之間的傳播，因此A選項錯誤。,消化系統之細菌感染,,傷寒沙門氏桿菌（Salmonella Typhi）主要是通過人與人之間的傳播，而非直接由帶菌的家禽或家畜傳染。這是因為傷寒沙門氏桿菌在感染者的糞便中排出，並可通過糞口途徑傳播。選項A的敘述因此是錯誤的。其他選項均正確地描述了相關病原菌的特性和傳播途徑，特別是創傷弧菌和蠟狀桿菌的感染機制。
19,下列細菌與其致病因子的描述，何者錯誤？,辨識具有毒力之腸炎弧菌，通常是依據此菌所產生的熱安定溶血素,金黃色葡萄球菌的食物中毒是由具耐熱性的腸毒素所造成，疾病潛伏期平均約 4 小時,Shigella dysenteriae產生的Shiga toxin 可刺激腸道上皮細胞的adenylate cyclase-cAMP 系統，導致小腸黏膜之水分及電解質大量流失,霍亂弧菌之霍亂毒素為 A-B 毒素，會造成腹痛、腹瀉等症狀,C,,消化系統之細菌感染,,Shigella dysenteriae所產生的Shiga toxin主要通過抑制腸道上皮細胞的蛋白質合成來引起細胞損傷，而不是通過刺激腺苷酸環化酶-cAMP系統。這導致腸道上皮細胞的死亡和水分及電解質的流失，從而引起腹瀉。因此，選項C的描述是錯誤的。其他選項正確地描述了相關細菌的致病機制和毒素的作用。
20,下列敘述何者錯誤？,Bacillus cereus產生的對熱穩定腸毒素可造成嘔吐型食物中毒,金黃色葡萄球菌的食物中毒通常症狀至少持續四至五天，應使用大量抗生素治療,霍亂弧菌具有氧化酶，對胃酸敏感，造成腸胃道感染需要超過100000000的菌量,空腸曲狀桿菌屬微需氧菌，可引起腸胃炎、Guillain- Barre Syndrome,B,,消化系統之細菌感染,,金黃色葡萄球菌的食物中毒通常是由耐熱性腸毒素引起，症狀通常在數小時內出現，而不是持續四至五天。這種食物中毒的治療通常不需要使用抗生素，因為毒素已經在食物中存在，抗生素對於已經產生的毒素無效。因此，選項B的敘述是錯誤的。其他選項正確地描述了相關細菌的特性和致病機制。
21,下列部位何者吸收水份量最多？,Esophagus,Jejunem,Cecum,Stomach,B,水份主要在小腸吸收，其中又以空腸最多,消化系統簡介,,小腸是人體吸收水分的主要部位，尤其是空腸（Jejunum）部分，因為其表面積大且有豐富的微絨毛，能有效地進行水分和營養物質的吸收。雖然食道和胃也能吸收少量水分，但其吸收能力遠不及小腸。大腸的盲腸部分也有水分吸收的功能，但主要的水分吸收仍然發生在小腸。因此，選擇B是正確的。
22,下列何為可能造成急性腹瀉的原因？,(1)+(4),(1)+(2)+(4),(1)+(2)+(3),(1)+(2)+(3)+(4),D,,消化系統簡介,,急性腹瀉的原因多樣，包括細菌感染、抗生素使用、缺血性大腸炎和毒菇中毒等。這些因素都能引起腸道的炎症或功能障礙，導致水分和電解質的流失，從而引發腹瀉。因此，選擇D是正確的，因為所有列出的選項都可能導致急性腹瀉。
23,關於偽膜性大腸炎的敘述，何者正確？,此為一自體免疫疾病。,此疾病可由任何腸道菌所造成。,偽膜指的是在腸道表面的一層膜狀構造，由細菌分泌物所構成。,此疾病的發生與先前使用抗生素有關。,D,,病理學實驗：消化道系統,,偽膜性大腸炎是一種由Clostridium difficile感染引起的腸道疾病，通常與先前使用抗生素有關。抗生素的使用會破壞正常腸道菌群，導致C. difficile的過度生長，進而引發炎症和偽膜的形成。選項D正確地指出了這一關聯，而其他選項則不正確，因為偽膜性大腸炎並非自體免疫疾病，也不是由任何腸道菌引起的。
24,下列圖 1 及圖 2 分別為兩種大腸腫瘤，關於兩者型態之比較何者錯誤？,圖 1 的細胞核大部分位於基底，而圖二的細胞核位置則較凌亂。,圖 1 的細胞核質比較圖 2 來的低。,圖 1 可見完整形成之腺體構造，圖 2 則可發現篩版狀、構造不完整之腺體。,圖 1 與圖 2 之腫瘤皆屬惡性腫瘤。但唯有圖 2 之腫瘤才有轉移到腸道以外其他位置的能力。,D,圖 1 Tubulovillous Adenoma良性腫瘤不具有侵犯性，圖 2 Adenocarcinoma屬惡性腫瘤才有轉移到腸道以外其他位置的能力。,病理學實驗：消化道系統,,這道題目比較了兩種不同類型的大腸腫瘤。圖1代表的是Tubulovillous Adenoma，這是一種良性腫瘤，通常不具侵犯性；而圖2則是Adenocarcinoma，屬於惡性腫瘤，具有轉移的能力。因此，選項D的敘述是錯誤的，因為只有圖2的腫瘤具備轉移到腸道以外其他位置的能力。其他選項正確地描述了兩者的細胞特徵和結構差異。
25,下圖顯示一食道腫瘤，關於此腫瘤的敘述何者錯誤？,可發現排列凌亂之腫瘤細胞侵犯間質，所以此為一侵襲癌。,此腫瘤的特色為細胞質豐富、可能觀察到Keratin pearl與dyskeratotic cells。,此腫瘤位於消化道，屬於腺癌的一種。,,C,此腫瘤位於消化道，屬於腺癌的一種。,病理學實驗：消化道系統,,食道腫瘤的分類主要包括鱗狀細胞癌和腺癌。根據題目描述，選項C指出該腫瘤屬於腺癌，但實際上，食道最常見的惡性腫瘤是鱗狀細胞癌，這是由於食道的上皮組織主要由鱗狀上皮組成。題目中的腫瘤特徵如Keratin pearl和dyskeratotic cells，進一步證實了這是一種侵襲性鱗狀細胞癌。因此，選項C的描述是錯誤的，因為它將腫瘤錯誤地歸類為腺癌。
26,關於胃腺癌(adenocarcinoma)的症狀和治療何者不正確,胃癌轉移至肺和肝仍可手術切除後追加化療,胃癌起初的症狀和其他胃部疾病如潰瘍、消化不良等不易區分,晚期胃癌可能出現肚臍附近腫瘤，稱為Sister Mary Joseph nodes,東亞國家胃癌的標準術式是胃切除加上D2淋巴結廓清,A,胃癌轉移至肺和肝仍可手術切除後追加化療,胃腫瘤,,胃腺癌的治療通常取決於腫瘤的分期和轉移情況。當胃癌已經轉移至肺或肝時，手術切除的可能性大幅降低，因為這通常表示癌症已經進入晚期，手術的風險和效果都會受到影響。此時，治療的重點會轉向緩和治療和化療，而不是手術。因此，選項A的說法是不正確的，因為轉移性胃癌通常不適合進行手術切除。
27,下列關於胃癌的分類何者為非？,Siewert classification是胃食道交界癌(esophagogastric junction adenocarcinoma)的分類法，以腫瘤中心的位置作分類,Paris classification 用於晚期胃癌的內視鏡分類,Lauren classification 是胃腺癌的病理組織分類,Borrmann type IV cancer 俗稱皮革胃,B,Paris classification 是用於早期胃癌的內視鏡分類,胃腫瘤,,胃癌的分類方法有多種，其中Paris classification主要用於早期胃癌的內視鏡分類，這一點在臨床上非常重要，因為早期胃癌的治療和預後與晚期胃癌有顯著差異。選項B的描述不正確，因為它將Paris classification錯誤地歸類為晚期胃癌的分類。其他選項均正確地描述了不同的胃癌分類方法，顯示了胃癌的多樣性和複雜性。
28,關於早期食道癌的臨床表現，下列何者錯誤？,早期的食道癌可能不會有症狀,多數食道癌患者最初是以胃食到逆流來表現,容易反覆吸入性肺炎，暗示著食道與氣管間有廔管產生,聲音沙啞常因喉返神經侵犯所致,B,,食道疾病,,早期食道癌的臨床表現往往不明顯，許多患者在早期階段可能沒有任何症狀。選項A是正確的，因為早期食道癌可能不會引起明顯的症狀。選項B則是錯誤的，因為多數食道癌患者的初期症狀通常不會以胃食道逆流的形式表現，而是可能出現吞嚥困難或胸痛等症狀。選項C和D則描述了食道癌可能導致的其他併發症，如吸入性肺炎和聲音沙啞，這些都是由於腫瘤對周圍組織的侵犯所引起的。因此，選項B是錯誤的。
29,確定食道癌腫瘤侵犯深度的檢查中，下列哪一項檢查最具準確性？,電腦斷層檢查,上消化道內視鏡,核磁共振檢查,內視鏡超音波,D,,食道疾病,,在確定食道癌腫瘤的侵犯深度時，內視鏡超音波（EUS）被認為是最具準確性的檢查方法。這是因為EUS能夠提供腫瘤與周圍組織的詳細影像，並能夠評估腫瘤的浸潤深度及淋巴結的狀態。相比之下，電腦斷層檢查（CT）和核磁共振檢查（MRI）雖然能夠提供腫瘤的整體評估，但在評估腫瘤的具體侵犯深度方面不如EUS精確。上消化道內視鏡則主要用於直接觀察食道內部情況，但無法提供深度的評估。因此，選擇D作為正確答案。
30,關於胃癌下列何者為是？,遠端胃癌患者接受全胃切除手術(total gastrectomy)，不管是預後或生活品質都優於接受次全胃切除手術(subtotal gastrectomy)者。,Roux-en-Y重建方式只需要做一個位置的吻合，而Billroth II重建方式則需要做兩個位置的吻合。,不管腫瘤位置在何處，位於左胃動脈的淋巴結都是屬於第二群(group 2)的淋巴結。,Linitis plastica (皮革胃) 通常治療預後極佳。,C,,胃腫瘤及消化性潰瘍之外科治療,,胃癌的手術治療方式取決於腫瘤的位置和病理特徵。選項C是正確的，因為無論腫瘤位於胃的哪個部位，左胃動脈的淋巴結通常被歸類為第二群淋巴結，這對於手術切除和淋巴結廓清的策略至關重要。選項A的說法不正確，因為全胃切除手術的預後和生活品質並不一定優於次全胃切除手術，這取決於患者的具體情況。選項B的描述也不正確，因為Roux-en-Y重建方式通常需要兩個吻合，而Billroth II重建方式則需要一個吻合。選項D則是錯誤的，因為Linitis plastica的預後通常較差。
31,關於消化性潰瘍手術，下列何者為是？,消化性潰瘍穿孔皆須接受手術治療。,接受選擇性迷走神經切斷手術(selective vagotomy)後，潰瘍依舊復發可能是因為未保留criminal nerve of Grassi。,胃引流手術(Gastric drainage surgery)中，以胃空腸繞道手術(gastrojejunostomy)的長期併發症最少。,輸入環症候群(Afferent loop syndrome)為需要積極手術處理的腹部急症。,D,,胃腫瘤及消化性潰瘍之外科治療,,消化性潰瘍的手術治療通常取決於潰瘍的性質和併發症。選項D是正確的，因為輸入環症候群是一種需要積極手術處理的急症，若不及時處理可能導致腸道破裂等嚴重後果。選項A的說法過於絕對，並非所有消化性潰瘍穿孔都必須手術，某些情況下可選擇保守治療。選項B提到的criminal nerve of Grassi的保留與潰瘍復發的關聯性在臨床上並不明確。選項C則不正確，因為胃空腸繞道手術的長期併發症並不一定是最少的，這取決於多種因素。
32,下列關於輪狀病毒(Rotavirus)的說法何者是正確的？,8種輪狀病毒(A-H)中有兩種(A和B)可以感染人類，其中以A佔優勢,"病毒蛋白(VP)1,2,4帶有中和抗原的決定簇(epitope)，其中以VP4為主要",B組可以引起成人腹瀉，因此免疫功能低下的會者需要口服減毒活疫苗進行預防,新生兒通常在冬季以亞臨床感染(subclinical infection)為主,D,,消化系統之病毒感染,,輪狀病毒是引起兒童腹瀉的主要病原體之一，特別是在冬季。選項D是正確的，因為新生兒在冬季常見亞臨床感染，這意味著他們可能不會出現明顯的症狀，但仍然可以傳播病毒。選項A的說法不完全正確，因為輪狀病毒A、B、C均可感染人類，但A型是最常見的。選項B提到的病毒蛋白VP4和VP7是中和抗原的主要成分，而不是VP1、2、4。選項C則不正確，因為B型輪狀病毒主要影響兒童，而非成人，且目前並沒有針對B型的疫苗。
33,諾羅病毒(norovirus)的傳染途徑可為下列何者？,1,1.2,1.2.3,1.2.3.4,D,,消化系統之病毒感染,,諾羅病毒是一種高度傳染性的病毒，主要通過糞口途徑傳播。選項D是正確的，因為諾羅病毒的傳播途徑包括人與人之間的接觸、接觸受污染的物品以及通過空氣中的飛沫傳播。這使得諾羅病毒在密閉空間中容易爆發，特別是在冬季。選項A、B和C的描述不完整，未能涵蓋所有可能的傳播途徑，因此選擇D作為正確答案。
34,以目前關於免疫治療(immunotherapy)的研究與文獻，下列何者消化道癌症的治療成效較差？,食道癌,胃癌,胰臟癌,膽囊癌,C,轉自老師上課口述：目前IO(immunotherapy)對大概五分之一到四分之一的癌症有用，有些則療效沒那麼好，像是胰臟癌的反應就非常差，這是很重要的觀念。,,陳以勳,免疫治療是一種新興的癌症治療方法，透過激活患者的免疫系統來對抗癌細胞。然而，對於某些癌症類型，免疫治療的效果並不理想。根據目前的研究，胰臟癌的治療成效較差，這主要是因為胰臟癌的微環境對免疫細胞的抑制作用強，導致免疫治療的效果不如預期。相比之下，食道癌和胃癌的治療反應相對較好，這可能與其腫瘤微環境的差異有關。因此，了解不同癌症對免疫治療的反應差異，對於臨床治療策略的制定至關重要。
35,下列何者是位於T細胞膜上關於免疫治療(immunotherapy)的免疫檢查點(immune checkpoint)？,(1)+(2)+(3),(1)+(3)+(5),(1)+(3)+(4)+(5),(1)+(2)+(3)+(4)+(5),B,,,陳以勳,免疫檢查點是調節免疫反應的重要分子，位於T細胞膜上的PD-1和CTLA-4是主要的免疫檢查點。這些分子在正常情況下有助於防止過度的免疫反應，但在癌症中，腫瘤細胞可以利用這些檢查點來逃避免疫系統的攻擊。選項B中的(1)+(3)+(5)正確地指出了PD-1和CTLA-4的存在，這些分子在免疫治療中成為重要的靶點，通過抑制這些檢查點，可以增強T細胞對腫瘤的攻擊能力。
36,下列何者為病患接受免疫治療(immunotherapy)後須注意的副作用(adverse effect)？,(1)+(2)+(3),(1)+(2)+(3)+(4),(1)+(2)+(3)+(5),(1)+(2)+(3)+(4)+(5),D,根據上課講義第35頁，免疫治療可能發生的副作用包含肺部異常：肺炎、過敏性鼻炎，腹瀉，皮膚異常：紅疹、搔癢、白斑、蕁麻疹、落髮等，生化數值異常：AST↑、ALT↑、TSH↑，內分泌異常：甲狀腺功能低下/亢進，輸注反應或過敏。,,陳以勳,免疫治療的副作用多樣，主要是由於免疫系統的過度激活所引起。常見的副作用包括肺部間質性肺炎、腹瀉、皮膚紅疹以及甲狀腺功能異常等。這些副作用的發生是因為免疫治療不僅針對腫瘤細胞，也可能影響正常組織，導致免疫系統攻擊自身組織。了解這些副作用對於臨床醫師在治療過程中進行監測和管理至關重要，能夠及時調整治療方案以減少患者的不適。
37,關於免疫治療(immunotherapy)下列敘述何者為非？,大多數免疫治療藥物只能限於少數特定癌別。,免疫治療目前大多癌別還是處於健保沒有給付狀態。,免疫治療目前研究最多的是黑色素細胞瘤(melanoma)、非小細胞肺癌(non–small-cell lung cancer)等。,目前已有多項研究證實免疫治療可增加癌症治療反應比率(response rate)，增加整體存活率 (overall survival rate)。,A,老師講義內容~一種免疫藥物可適用於多種癌別。,,陳以勳,免疫治療的發展使得許多癌症的治療選擇增加，許多免疫治療藥物已被證實對多種癌症有效，而不僅限於少數特定癌別。這一點在臨床實踐中越來越明顯，許多藥物如PD-1抑制劑和CTLA-4抑制劑已被應用於多種腫瘤類型的治療中。儘管目前仍有許多癌症類型尚未納入健保給付範圍，但免疫治療的潛力和應用範圍正在不斷擴大，這對於癌症患者的治療選擇具有重要意義。
38,以下何者是前腸(foregut)或前腸衍生物(foregut derivatives)發育而來？,原始咽部(primordial pharynx),空腸(jejunum),降結腸(descending colon),十二指腸遠端(distal part of duodenum),A,(A) 原始咽部及其衍生物來自前腸 (B)(D) 都是中腸的頭端發育來的 (C) 是從後腸來的,消化系統胚胎學,,前腸是胚胎發育過程中的一個重要結構，原始咽部及其衍生物確實來自前腸的發育。前腸的發育涉及到多個器官的形成，包括食道、胃和部分十二指腸等。相對而言，空腸和降結腸則是來自中腸的發育，而十二指腸的遠端部分也屬於中腸的範疇。因此，選擇原始咽部作為前腸的衍生物是正確的，這一知識對於理解消化系統的發育至關重要。
39,下列哪個器官不會因為腸道的旋轉而造成發育前後的位置改變？,胃(stomach),胰臟的尾部(tail of pancreas),空腸(jejunum),總膽管(bile duct),B,,消化系統胚胎學,,腸道的旋轉在胚胎發育過程中對於器官的位置改變有著重要影響。胰臟的尾部由於其發育位置在前腸與中腸交界處，並不會隨著腸道的旋轉而改變位置。相對而言，胃和空腸的發育位置會受到腸道旋轉的影響而改變。這一點在胚胎學中是非常重要的，因為它有助於理解器官的正常發育及其解剖位置的確定。
